Job	Running time [min]	Start date	Start time	End date	End time
Configuring 	0.0335487166666667	31/10/2023	20:55:56	31/10/2023	20:55:58
Assemble run info 	0.4847502	31/10/2023	20:55:58	31/10/2023	20:56:27
Finish run info 	0.0167786833333333	31/10/2023	20:56:27	31/10/2023	20:56:28
Testing fasta files 	0.03344755	31/10/2023	20:56:28	31/10/2023	20:56:30
Testing raw files 	0.11803365	31/10/2023	20:56:30	31/10/2023	20:56:37
Feature detection 	9.9359638	31/10/2023	20:56:37	31/10/2023	21:06:34
Deisotoping 	15.0534512166667	31/10/2023	21:06:34	31/10/2023	21:21:37
MS/MS preparation 	4.55194125	31/10/2023	21:21:37	31/10/2023	21:26:10
Calculating peak properties 	0.901611633333333	31/10/2023	21:26:10	31/10/2023	21:27:04
Combining apl files for first search 	2.25043108333333	31/10/2023	21:27:04	31/10/2023	21:29:19
Preparing searches 	3.8840231	31/10/2023	21:29:19	31/10/2023	21:33:12
MS/MS first search 	18.62045905	31/10/2023	21:33:12	31/10/2023	21:51:49
Read search results for recalibration 	3.01839896666667	31/10/2023	21:51:49	31/10/2023	21:54:50
Mass recalibration 	16.5036894166667	31/10/2023	21:54:50	31/10/2023	22:11:21
Calculating masses 	1.41823918333333	31/10/2023	22:11:21	31/10/2023	22:12:46
MS/MS preparation for main search 	4.13685866666667	31/10/2023	22:12:46	31/10/2023	22:16:54
Combining apl files for main search 	2.21710838333333	31/10/2023	22:16:54	31/10/2023	22:19:07
MS/MS main search 	16.5870532	31/10/2023	22:19:07	31/10/2023	22:35:42
Preparing combined folder  	0.0667840833333333	31/10/2023	22:35:42	31/10/2023	22:35:46
Correcting errors 	1.98372466666667	31/10/2023	22:35:46	31/10/2023	22:37:45
Reading search engine results 	1.85158486666667	31/10/2023	22:37:45	31/10/2023	22:39:36
Preparing reverse hits 	0.133464833333333	31/10/2023	22:39:36	31/10/2023	22:39:44
Finish search engine results 	0.218064416666667	31/10/2023	22:39:44	31/10/2023	22:39:57
Filter identifications (MS/MS) 	0.301412033333333	31/10/2023	22:39:57	31/10/2023	22:40:15
Calculating PEP 	3.73388655	31/10/2023	22:40:15	31/10/2023	22:44:00
Copying identifications 	0.118054133333333	31/10/2023	22:44:00	31/10/2023	22:44:07
Applying FDR 	0.5668555	31/10/2023	22:44:07	31/10/2023	22:44:41
Assembling second peptide MS/MS 	2.4017097	31/10/2023	22:44:41	31/10/2023	22:47:05
Combining second peptide files 	2.86719746666667	31/10/2023	22:47:05	31/10/2023	22:49:57
Second peptide search 	48.3576455166667	31/10/2023	22:49:57	31/10/2023	23:38:18
Reading search engine results (SP) 	1.1683928	31/10/2023	23:38:18	31/10/2023	23:39:28
Finish search engine results (SP) 	0.134732716666667	31/10/2023	23:39:28	31/10/2023	23:39:36
Filtering identifications (SP) 	0.168067	31/10/2023	23:39:36	31/10/2023	23:39:46
Applying FDR (SP) 	2.15039955	31/10/2023	23:39:46	31/10/2023	23:41:56
Re-quantification 	0.06805195	31/10/2023	23:41:56	31/10/2023	23:42:00
Reporter quantification 	0.06806035	31/10/2023	23:42:00	31/10/2023	23:42:04
Retention time alignment 	65.6428295	31/10/2023	23:42:04	01/11/2023	00:47:42
Matching between runs 1 	0.601458283333333	01/11/2023	00:47:42	01/11/2023	00:48:18
Matching between runs 2 	0.10012455	01/11/2023	00:48:18	01/11/2023	00:48:24
Matching between runs 3 	0.400168716666667	01/11/2023	00:48:24	01/11/2023	00:48:48
Matching between runs 4 	0.16680195	01/11/2023	00:48:48	01/11/2023	00:48:58
Prepare protein assembly 	0.23347895	01/11/2023	00:48:58	01/11/2023	00:49:12
Assembling proteins 	3.8020076	01/11/2023	00:49:12	01/11/2023	00:53:01
Assembling unidentified peptides 	0.0513912	01/11/2023	00:53:01	01/11/2023	00:53:04
Finish protein assembly 	8.38475365	01/11/2023	00:53:04	01/11/2023	01:01:27
Updating identifications 	0.0847240666666667	01/11/2023	01:01:27	01/11/2023	01:01:32
Label-free preparation 	0.0167802333333333	01/11/2023	01:01:32	01/11/2023	01:01:33
Label-free normalization 	0.0167788833333333	01/11/2023	01:01:33	01/11/2023	01:01:34
Label-free quantification 	1.65160635	01/11/2023	01:01:34	01/11/2023	01:03:13
Label-free collect 	0.283485816666667	01/11/2023	01:03:13	01/11/2023	01:03:30
Estimating complexity 	0.234740083333333	01/11/2023	01:03:30	01/11/2023	01:03:44
Prepare writing tables  	0.0334483333333333	01/11/2023	01:03:44	01/11/2023	01:03:46
Writing tables 	17.7870143666667	01/11/2023	01:03:46	01/11/2023	01:21:33
Finish writing tables  	0.483516316666667	01/11/2023	01:21:33	01/11/2023	01:22:02
