"protein_group","number_of_peptides_12500.amol_1","number_of_peptides_12500.amol_2","number_of_peptides_12500.amol_3","number_of_peptides_125.amol_1","number_of_peptides_125.amol_2","number_of_peptides_125.amol_3","number_of_peptides_25000.amol_1","number_of_peptides_25000.amol_2","number_of_peptides_25000.amol_3","number_of_peptides_2500.amol_1","number_of_peptides_2500.amol_2","number_of_peptides_2500.amol_3","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_50000.amol_1","number_of_peptides_50000.amol_2","number_of_peptides_50000.amol_3","number_of_peptides_5000.amol_1","number_of_peptides_5000.amol_2","number_of_peptides_5000.amol_3","number_of_peptides_500.amol_1","number_of_peptides_500.amol_2","number_of_peptides_500.amol_3","number_of_peptides_50.amol_1","number_of_peptides_50.amol_2","number_of_peptides_50.amol_3","differential_abundance_pvalue_X125.amol.12500.amol","differential_abundance_pvalue_X250.amol.12500.amol","differential_abundance_pvalue_X2500.amol.12500.amol","differential_abundance_pvalue_X25000.amol.12500.amol","differential_abundance_pvalue_X50.amol.12500.amol","differential_abundance_pvalue_X500.amol.12500.amol","differential_abundance_pvalue_X5000.amol.12500.amol","differential_abundance_pvalue_X50000.amol.12500.amol","differential_abundance_qvalue_X125.amol.12500.amol","differential_abundance_qvalue_X250.amol.12500.amol","differential_abundance_qvalue_X2500.amol.12500.amol","differential_abundance_qvalue_X25000.amol.12500.amol","differential_abundance_qvalue_X50.amol.12500.amol","differential_abundance_qvalue_X500.amol.12500.amol","differential_abundance_qvalue_X5000.amol.12500.amol","differential_abundance_qvalue_X50000.amol.12500.amol","abundance_12500.amol_1","abundance_12500.amol_2","abundance_12500.amol_3","abundance_125.amol_1","abundance_125.amol_2","abundance_125.amol_3","abundance_25000.amol_1","abundance_25000.amol_2","abundance_25000.amol_3","abundance_2500.amol_1","abundance_2500.amol_2","abundance_2500.amol_3","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_50000.amol_1","abundance_50000.amol_2","abundance_50000.amol_3","abundance_5000.amol_1","abundance_5000.amol_2","abundance_5000.amol_3","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3"
"sp|P00761|CON__TRYP_PIG;CON__P00761",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.990722375882933,0.51100223225222,0.862161797330496,0.943560663122842,7.30747166173259e-05,0.0100103133854422,0.144642043444355,0.429202548986644,0.998172661707846,0.926667999776985,0.994092954940937,0.971614132523051,0.00238988398498236,0.276615711243159,0.570379215469778,0.592521256472263,29.1334503167506,29.1973866142967,29.2152375588619,29.1982932994826,29.138510528572,29.2127139264606,29.0215191022499,29.2491884806025,29.2544018638045,29.0611240976685,29.2094462454322,29.3269368591226,29.0488578517039,29.1519783642078,29.1495158245078,29.0943972696269,29.0287269076218,29.1869501179034,29.3087732663224,29.334770766064,29.3466318606076,28.8529701076041,28.9444311920106,28.9157965009131,28.4892211425909,28.783814098555,28.8145432514643
"sp|P01966|CON__HBA_BOVIN;CON__P01966",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.7823912697062,23.5941493447732,24.1091719055726,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P02768ups|ALBU_HUMAN_UPS;sp|P02768|CON__ALBU_HUMAN;CON__P02768-1;sp|P02768-3|CON__ALBU_HUMAN;sp|P02768-2|CON__ALBU_HUMAN;sp|P02769|CON__ALBU_BOVIN;CON__P02769",22,13,12,0,0,0,19,17,20,3,5,6,0,1,1,29,30,31,5,7,8,0,1,0,0,0,1,NA,4.28463779997244e-13,1.88230663038095e-09,0.000744693747115039,1.90097228523404e-11,4.08352761125151e-12,1.96773833858967e-06,1.81751959929533e-07,NA,3.13225601262774e-10,3.81167092652142e-07,0.0261614151160414,1.55309435703621e-08,3.17698448155367e-09,0.00019057964249471,1.45765071863486e-05,27.5768238992002,27.0943759493729,27.3009077554616,NA,NA,NA,28.3218507128947,28.2632169491336,28.3646873624523,23.5869055115742,23.9412708455984,24.3553951487918,NA,19.878795289616,19.9787787054597,29.6263592790437,29.4919837757625,29.7062484606535,24.9865173119902,25.5705267480208,25.8791156915172,NA,19.5076495042609,NA,NA,NA,20.4138862859381
"sp|P04264|CON__K2C1_HUMAN;CON__P04264;tr|G3N0V2|CON__G3N0V2_BOVIN;CON__ENSEMBL:ENSBTAP00000038253",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,0,1,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1604901901551,22.7494232772548,23.2400761241288,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P13645;sp|P13645|CON__K1C10_HUMAN;CON__P02535-1;sp|P02535|CON__K1C10_MOUSE;sp|P02535-3|CON__K1C10_MOUSE;sp|P02535-2|CON__K1C10_MOUSE;CON__Q7Z3Z0;CON__Q7Z3Y7;sp|Q7Z3Z0|CON__K1C25_HUMAN;CON__Q148H6;sp|Q148H6|CON__K1C28_BOVIN;sp|Q7Z3Y7|CON__K1C28_HUMAN;sp|Q7Z3Y8|CON__K1C27_HUMAN;CON__Q7Z3Y8;sp|Q9Z2K1|CON__K1C16_MOUSE;CON__Q9Z2K1;CON__P02533;sp|P02533|CON__K1C14_HUMAN;CON__P08779;sp|P08779|CON__K1C16_HUMAN;CON__Q3ZAW8;CON__A2A4G1;tr|Q3ZAW8|CON__Q3ZAW8_MOUSE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.4964014527109,23.5310863310783,23.1608953494495,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q14CN4-3|CON__K2C72_HUMAN;sp|Q14CN4-2|CON__K2C72_HUMAN;sp|Q14CN4|CON__K2C72_HUMAN;CON__Q14CN4-1",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,2,2,1,1,1,1,0,1,1,1,1,0.249376656558247,0.533294545339209,0.409557997404786,0.81622897761455,0.872190988524395,0.439502075212255,0.549944107477732,0.565027152527068,0.715443972922688,0.926667999776985,0.907193197451746,0.914309122303163,0.947472045072458,0.91511811173924,0.848218877635146,0.693034659320888,23.4473181696646,23.2534852425824,23.3937341397363,23.6390754770239,23.4512887226595,23.3724002478946,23.3132619668925,23.4425250804392,23.4116016980327,23.2031091740438,23.3320368019066,NA,23.3491567628858,23.2342266390063,NA,23.3130476332864,23.3631857798478,23.2371657523776,23.5250538259336,23.3435262580694,23.414240434377,23.5308913883714,NA,23.3809330701229,23.2001643751704,23.4014577451061,23.4425063082789
"sp|Q2KIS7|CON__TETN_BOVIN;CON__Q2KIS7",2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.0288817141184802,NA,NA,NA,0.00036714073667291,NA,NA,NA,0.186691400061856,NA,NA,NA,0.0046007323564324,22.1287641944283,NA,NA,NA,NA,NA,22.7584875493783,23.6566426301616,23.2170153992343,NA,NA,NA,NA,NA,NA,25.0703758452943,24.9848464467832,24.6763832743106,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|Q6IFZ6|CON__K2C1B_MOUSE;CON__Q6IFZ6;sp|Q9R0H5|CON__K2C71_MOUSE;CON__Q9R0H5;sp|Q6NXH9|CON__K2C73_MOUSE;CON__Q6NXH9;sp|Q7Z794|CON__K2C1B_HUMAN;CON__Q7Z794;sp|P35908|CON__K22E_HUMAN;CON__P35908v2;CON__P35908",0,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4452642958699,23.5127809300573,23.5406072902218,23.2119888010357,NA,NA,23.5153103434138,NA,23.8255144293657,NA,23.433901219943,NA,NA,23.2404296086028,NA,23.6869143447222,NA,NA,NA,NA,23.629366276294,NA,NA,23.6805304155929
"O00762ups|UBE2C_HUMAN_UPS",8,5,3,0,0,0,6,5,7,1,1,1,0,0,0,8,9,8,4,3,2,0,1,0,0,0,0,NA,NA,1.93574387711572e-08,0.00104785519716227,NA,7.1587136458851e-07,0.00186655942360058,3.00345618101673e-06,NA,NA,2.23993220066247e-06,0.0308347011332096,NA,0.00027847396082493,0.0424642268869133,8.92137724879785e-05,26.7068511630565,25.9976839313242,25.2734814396204,NA,NA,NA,27.430178215732,26.894352269487,27.4825957291322,21.9559718205923,22.2961120422327,21.9403267992945,NA,NA,NA,28.4536716959496,28.3669098600843,28.5056774914967,25.0041657911305,24.8635500973491,24.5719517411538,NA,22.0133560097299,NA,NA,NA,NA
"O76070ups|SYUG_HUMAN_UPS",5,5,4,0,0,0,6,8,6,1,0,1,0,0,0,9,9,10,1,1,1,0,0,0,0,0,0,NA,NA,6.65874986295802e-09,7.00116156083959e-06,NA,NA,5.79164369803459e-08,4.25645587945376e-09,NA,NA,8.98931231499333e-07,0.00227839682896544,NA,NA,1.18583904717258e-05,2.49452245102839e-06,25.1493560878593,24.9726949471667,24.8041470161808,NA,NA,NA,26.1255054785321,26.5624142127375,26.3761530076302,22.1369494125372,NA,21.6102310832871,NA,NA,NA,27.8600576793708,27.7022926705844,28.0533376517983,22.694839899643,22.7336362693981,22.7540474972765,NA,NA,NA,NA,NA,NA
