task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	24/f6abd4	20278	NFCORE_WOMBAT:WOMBAT:PREPARE_FILES	COMPLETED	0	2022-11-01 09:09:58.135	11.9s	6.6s	35.3%	66 MB	247.3 MB	10.6 MB	7.3 MB
4	5c/8a5047	20970	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (1)	COMPLETED	0	2022-11-01 09:10:10.349	3m 36s	3m 30s	91.2%	712.1 MB	1.9 GB	472.1 MB	447.3 MB
6	a6/14c1ed	20938	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (3)	COMPLETED	0	2022-11-01 09:10:10.192	3m 47s	3m 41s	93.5%	743 MB	2 GB	494.6 MB	481.9 MB
3	be/32f868	30285	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (1)	COMPLETED	0	2022-11-01 09:13:57.107	3m 19s	3m 16s	97.6%	701.9 MB	1.9 GB	472.2 MB	447.3 MB
8	83/4cc459	29175	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (5)	COMPLETED	0	2022-11-01 09:13:46.049	4m	3m 57s	97.5%	810.3 MB	2 GB	538.9 MB	538.6 MB
10	74/6a9ab4	7065	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (2)	COMPLETED	0	2022-11-01 09:17:46.169	1m 42s	1m 39s	101.8%	951.8 MB	19.3 GB	830.8 MB	481.2 MB
7	5d/0023cb	5276	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (4)	COMPLETED	0	2022-11-01 09:17:16.130	3m 16s	3m 12s	98.0%	713.6 MB	2 GB	467.6 MB	448.1 MB
11	e9/6b033b	11124	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (3)	COMPLETED	0	2022-11-01 09:19:28.477	1m 43s	1m 40s	105.4%	1008.9 MB	19.3 GB	934.7 MB	529.1 MB
14	0a/b9fce2	13971	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (2)	COMPLETED	0	2022-11-01 09:20:31.826	3m 15s	3m 12s	97.6%	683.7 MB	1.8 GB	460.1 MB	438.9 MB
5	95/0a4225	16004	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (2)	COMPLETED	0	2022-11-01 09:21:11.896	3m 19s	3m 13s	97.5%	698.5 MB	1.9 GB	460.1 MB	438.9 MB
12	74/6c803a	25595	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (4)	COMPLETED	0	2022-11-01 09:24:30.785	1m 39s	1m 35s	105.2%	964.3 MB	19.2 GB	852.1 MB	491.8 MB
16	b0/718c75	21694	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (4)	COMPLETED	0	2022-11-01 09:23:46.574	3m 19s	3m 16s	97.1%	697 MB	1.9 GB	467.6 MB	448.1 MB
