"protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_control_","abundance_hcc_","abundance_hcc_","abundance_hcc_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_control_","abundance_hcc_","abundance_control_","log_fold_change_","differential_abundance_pvalue_","differential_abundance_qvalue_"
"P05154",3,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,-Inf,16.5715273438994,18.6498914180204,19.4145215583127,19.8537606397011,15.1667918378529,17.196353806193,18.2861844472244,18.5619161460751,14.8568489298991,16.8442912471152,16.1888859080423,-Inf,17.0008506932806,15.1967353827319,15.1305998581263,16.5793258311688,16.999175977027,18.3199069640775,18.2998578973045,-Inf,16.3610638865431,15.7376596865311,15.7236403098694,17.4783270968472,17.6269239649706,17.4433964499902,16.2557741845296,-Inf,19.1059836807699,16.4958545693334,14.6264371015013,16.7471910767477,16.3460389343268,17.0750976286465,16.541622786988,16.9115148468528,14.9499190281058,-0.673322902338186,0.00231831128088363,0.00809244141510481
"O15042",NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,13.5839960932358,-Inf,14.2462528115321,13.6055256578662,18.9586915680744,-Inf,-Inf,-Inf,16.2344922151582,-Inf,-Inf,-Inf,13.8354970206215,15.8631145537441,-Inf,-Inf,14.1923259508148,-Inf,13.0189216342784,14.9873996181168,-Inf,-Inf,13.9467700432561,-Inf,16.383522646585,-Inf,-Inf,-Inf,14.6460822923237,16.4336947873411,14.926549028879,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,-Inf,NA,NA,NA
"Q9Y490",46,12,22,32,45,28,31,32,33,14,30,6,38,23,26,23,28,6,27,36,29,35,28,20,39,33,26,40,34,31,27,23,47,28,28,27,34,33,20.3471555659448,20.2563338403441,19.6548993866724,21.4233461606338,21.8017013246644,20.132834103628,18.4617962430882,19.1731763854678,20.1934766355545,20.2788710792338,21.6786186847875,20.5721579593887,20.4254356661294,20.4396684736907,19.1791895995925,19.7898492532174,21.0142138245914,21.4354642001121,21.1107568879709,20.3318201558108,21.129712528811,22.4844476944346,20.8673217461034,20.8983972265793,19.9998328391153,21.2728994314558,20.958062633755,20.5097839569409,22.5647811630394,20.0938779290212,20.1348871837587,20.1763529733275,19.8748850981939,19.8026777124171,19.9014724569822,21.1789159229889,20.0996326713092,19.8047167673555,-0.513042379931304,0.00514444088857503,0.0156232946335454
"Q9BUP0",NA,5,NA,NA,NA,2,NA,NA,NA,4,NA,5,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16.5358364009115,18.2433736578652,-Inf,-Inf,-Inf,-Inf,17.6131153117641,19.4764507912609,-Inf,18.9116424457065,15.9078350415354,-Inf,-Inf,-Inf,18.9588204263075,17.9220235441669,18.7950243200106,-Inf,17.5591327606403,-Inf,18.9177188501777,16.7512388933702,-Inf,18.3136805898491,-Inf,11.8565718418015,-Inf,17.5604072176258,-Inf,-Inf,-Inf,14.8137025433781,18.8067232942282,13.1556996420507,-Inf,12.9866907787408,-Inf,-Inf,2.22834047113054e-20,0.999999999847825,1
"Q9NVA2",4,6,NA,5,6,6,3,2,2,3,5,6,1,4,2,5,4,3,1,3,NA,3,5,1,NA,2,6,6,3,2,5,3,6,2,3,NA,6,2,19.3340159688555,18.7335807270192,18.6425156371284,19.3529763068073,20.5002867104219,16.6416571287652,17.9341722629089,19.2561857400749,18.3520242678571,18.5170646057384,17.9842692597833,17.7847994531799,18.1095706760169,17.6200527061343,19.0986911028568,18.3589154077174,19.8149913557716,17.9989314640376,19.5496860419154,18.3499704959365,19.4181290127686,18.6613766369703,18.284744375259,19.3745904819467,18.1482001057748,18.5659661790292,18.279127181323,18.0875443098295,18.2158786339213,18.493961129982,17.316589956427,17.6833087680482,18.4449297228842,18.3807563340307,18.5615963418373,18.1962568555226,19.3454456667894,17.3504162345759,-0.104191107744046,0.379042890774784,0.569256525517133
"Q7KZF4",26,12,29,20,23,19,26,20,18,18,18,14,28,15,18,17,25,13,25,22,20,17,24,16,22,18,19,18,26,16,19,25,20,18,29,23,23,20,21.4772456101443,21.5362900295065,21.4698436905329,21.9623909538238,22.6455925223991,20.0743803739886,20.5153868397659,20.3013707259571,21.9024882450423,20.9272457719799,20.814134514968,21.9171205144514,21.90155434542,21.3645672139488,20.7339179044188,20.762545504256,22.3561993591602,19.5399912418626,20.4056627312043,21.097397033479,21.9351662141899,21.1424261609305,21.5602963822379,21.059243525203,21.3563519168401,21.149281396066,21.2544044220963,20.4378033185235,20.4983609305771,21.3770050800271,20.5720048470101,20.0157093157633,20.0951825745681,20.9554284493887,20.8964350571171,21.1318338908371,20.8349421525265,20.4798405206099,-0.566582242212726,1.54891534486385e-06,1.49510326246013e-05
"O95342",NA,NA,3,1,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-Inf,12.2205671089356,-Inf,-Inf,14.9533923456548,14.837451918402,-Inf,-Inf,17.2448760147811,16.1397973895428,16.1630542872036,11.7997033418164,16.8973456356245,13.8289644573374,-Inf,17.2396982386855,-Inf,-Inf,13.2244077010657,-Inf,-Inf,17.4682509223366,-Inf,16.567139472023,16.6760365127933,-Inf,12.4402652660164,16.3409737569554,-Inf,-Inf,14.3034761357757,15.8266231794915,-Inf,13.678194172765,15.9620383286416,15.650035937373,-Inf,14.6361369759599,0.102002632210373,0.491074601811192,0.715555904552665
"P09327",16,1,NA,NA,7,17,NA,NA,NA,NA,2,8,NA,NA,NA,1,NA,NA,16,3,5,19,15,NA,NA,NA,NA,NA,18,5,9,NA,2,NA,NA,NA,NA,6,16.8720997305026,17.9111408710009,19.8443940783558,20.7822477930619,20.5827881688275,17.4173837061015,17.6772692195398,18.72423223697,18.2099860602279,19.2439458167419,17.3645790445205,17.0663344498661,16.7762705588538,19.0624934499444,18.4234272573833,18.2359033252741,18.4278841632936,17.0614777542955,17.9791013594102,-Inf,19.1318236578059,18.3587103297511,16.1600486868945,18.0475164790294,19.8662246040989,18.4925957665077,16.468887602869,20.3142418304043,17.1914105112655,20.4501004115682,18.1873924800027,18.7029532398957,18.9609432168215,17.491299720812,19.8497212891654,17.4183601827073,18.1204859857143,15.6955354691808,-0.113689311023285,0.5186616686564,0.747803920587348
"P19404",7,5,2,4,3,4,NA,4,2,5,7,5,3,5,NA,6,5,6,NA,3,2,6,5,3,1,6,3,3,5,3,3,3,3,3,3,3,4,4,20.0241102217461,19.9074178281267,19.4608849749012,20.5018199443138,20.1850118994225,18.5536835889122,20.0264259531496,20.3562642489815,19.5001294031874,19.5897606374601,19.8058977287863,19.2921959858212,19.7336441132801,19.5385299289132,20.2781409162331,19.4666691022289,20.187020327432,20.3572907477068,18.6008276467553,19.2387466929414,20.4017974676909,19.9789411744454,19.4631388506676,19.3007180239481,18.3622524354583,20.1164707223302,18.5812351287353,18.9230373134193,18.0368480540107,18.5853081563815,18.5468373838174,18.8838399891947,20.2244613702063,19.3058988667145,19.5752188862552,19.8287843910099,20.4152909458523,19.0252406339212,0.433370635238532,0.00495453673488368,0.0152037724282401
"P54802",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,15.8515196553983,15.4133075639172,15.9872380020277,15.0423025311873,-Inf,16.3008568243929,16.491929630341,15.7330099612155,14.5956623909994,17.6920533095419,-Inf,15.1827127344472,17.3694211777836,17.7694271523014,16.2102337249596,-Inf,15.0291017082139,16.1624724538969,16.2127770097933,17.6525661457885,15.9868277338604,16.9730739395553,16.5792633753154,13.3107922438808,16.6946921337111,-Inf,15.6468516069055,16.0387924971718,16.3737907742819,14.7619816271817,-Inf,16.5149149136441,15.9798004428837,14.6428219710622,15.0284790957281,17.7150982452713,-Inf,1.16382638763009e-19,0.999999999353654,1
