"protein_group","number_of_peptides_hcc_1","number_of_peptides_control_1","number_of_peptides_hcc_1.1","number_of_peptides_control_1.1","number_of_peptides_hcc_1.2","number_of_peptides_control_1.2","number_of_peptides_hcc_1.3","number_of_peptides_control_1.3","number_of_peptides_hcc_1.4","number_of_peptides_control_1.4","number_of_peptides_hcc_1.5","number_of_peptides_control_1.5","number_of_peptides_control_1.6","number_of_peptides_hcc_1.6","number_of_peptides_control_1.7","number_of_peptides_hcc_1.7","number_of_peptides_control_1.8","number_of_peptides_hcc_1.8","number_of_peptides_control_1.9","number_of_peptides_hcc_1.9","number_of_peptides_control_1.10","number_of_peptides_hcc_1.10","number_of_peptides_hcc_1.11","number_of_peptides_control_1.11","number_of_peptides_hcc_1.12","number_of_peptides_control_1.12","number_of_peptides_hcc_1.13","number_of_peptides_control_1.13","number_of_peptides_hcc_1.14","number_of_peptides_control_1.14","number_of_peptides_hcc_1.15","number_of_peptides_control_1.15","number_of_peptides_control_1.16","number_of_peptides_hcc_1.16","number_of_peptides_control_1.17","number_of_peptides_hcc_1.17","number_of_peptides_control_1.18","number_of_peptides_hcc_1.18","differential_abundance_pvaluecontrol.hcc","differential_abundance_qvaluecontrol.hcc","abundance_hcc_1","abundance_control_1","abundance_hcc_1.1","abundance_control_1.1","abundance_hcc_1.2","abundance_control_1.2","abundance_hcc_1.3","abundance_control_1.3","abundance_hcc_1.4","abundance_control_1.4","abundance_hcc_1.5","abundance_control_1.5","abundance_hcc_1.6","abundance_control_1.6","abundance_hcc_1.7","abundance_control_1.7","abundance_hcc_1.8","abundance_control_1.8","abundance_hcc_1.9","abundance_control_1.9","abundance_hcc_1.10","abundance_control_1.10","abundance_hcc_1.11","abundance_control_1.11","abundance_hcc_1.12","abundance_control_1.12","abundance_hcc_1.13","abundance_control_1.13","abundance_hcc_1.14","abundance_control_1.14","abundance_hcc_1.15","abundance_control_1.15","abundance_hcc_1.16","abundance_control_1.16","abundance_hcc_1.17","abundance_control_1.17","abundance_hcc_1.18","abundance_control_1.18"
"CON__Q3MHN5;CON__ENSEMBL:ENSBTAP00000018229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239529033077265,0.402041356404023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8374359920973,19.7082761449088,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__ENSEMBL:ENSBTAP00000038253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0.904822829172055,0.942720271231749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6795333328365,NA,NA,19.4455561928015,19.4852210297338,NA,NA
"sp|O95678|K2C75_HUMAN;CON__O95678",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.963960012344004,0.977009702571675,NA,NA,NA,NA,NA,19.1384641468831,18.0865303636386,NA,NA,NA,NA,18.0453162629916,NA,NA,18.4704485722069,18.2032329951413,NA,NA,NA,NA,NA,NA,NA,NA,18.7399133084052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P00761",2,2,1,2,1,2,1,2,1,2,1,2,1,1,1,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,1,1,0.555198483949352,0.694608481458183,26.2881528638697,26.2602779448248,25.4583510347045,25.6220656754631,23.4780651792279,25.7629028828306,24.0564377256308,25.0545979202868,24.7228164302809,25.0783846478943,24.656706259891,25.6461595259512,24.738463960329,25.9716765569086,24.6529800241029,24.3098477884791,23.2018230362599,23.8383739170684,25.0492187639607,24.4359721514231,25.2082628936376,25.2370469488893,25.3300264884943,25.1476108414359,24.4932461000172,25.6471440011008,25.5937734257319,25.1398553792432,25.6165741330409,25.2829973182174,25.976951776604,24.7230764235676,25.1803770791394,24.0150403369554,24.642684623417,23.9503219538228,26.0036326283008,26.1785296764441
"CON__P01030",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.860688671772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__P01966",1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,1,2,2,1,2,1,2,3,2,3,1,1,2,1,1,1,1,1,2,0.0491260235379996,0.134517359928401,26.7375051719923,28.4315968079432,25.9071425631143,28.5032620480825,26.5338435402654,27.342023252776,28.4993561013925,28.9523138388626,29.5677936701876,28.873037127221,26.8414884058091,28.707049606903,26.7198884431097,28.9258251201497,26.5911555579084,28.6001588592991,26.8366605840343,28.2541280415925,28.0486935852639,26.7658638609521,25.2148781025542,27.7686606648434,26.064265299601,27.7956535910845,27.9333340432226,28.7657466845938,28.1841648697641,28.5028421475964,27.9707549072275,29.1448621104119,27.0620200397946,28.070504111613,29.8157280004211,28.6959716857011,30.1642774610665,27.5482197317819,29.965022555897,28.9367452589966
"sp|P02533|K1C14_HUMAN;CON__P02533;CON__Q6IFX2;CON__Q61782",6,1,2,2,1,1,1,1,1,1,3,1,0,5,2,0,1,2,0,1,1,0,2,0,1,3,2,2,1,2,1,1,2,1,1,0,1,1,0.698159283582067,0.800912565238298,23.8777565290542,18.5648198562619,20.7170600572766,20.9393384554311,18.2654345375907,20.4255749275276,NA,20.0400241541609,19.8940376699634,19.4887394512162,21.2918882415803,20.9562099048871,19.3090262174243,19.0940675961041,18.9063552635334,19.1651826834383,18.9929831957084,19.7739154111892,22.1956475548742,NA,21.879460394861,20.7265781743923,NA,18.9303258960348,20.626295984758,NA,19.2393771888306,19.4957955148741,NA,NA,19.1550181481548,21.3370179912606,21.4057704906244,21.3245462315653,19.0810558217152,20.7618936314524,19.0524983448507,NA
"CON__P02754",3,2,1,3,0,5,1,1,4,0,1,7,0,1,3,1,2,0,1,1,1,0,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0.55170949390282,0.691155222436602,21.3783898240401,26.5583386499673,26.1124941745123,20.8582371552968,17.0822094202483,NA,NA,NA,26.0390642746723,20.6520087092498,19.9522914985999,21.6706761833939,NA,24.9710734120601,20.0642202617056,20.2367591723741,23.5007294436206,NA,21.5512325140555,NA,18.8342640310485,22.233118191244,19.2003414056987,21.9251096249331,NA,20.6883162964773,21.1314482220617,19.8593158297886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P02768|ALBU_HUMAN;CON__P02768-1",20,18,21,15,18,18,19,15,20,17,19,18,20,20,20,20,23,22,19,21,20,19,18,19,20,21,25,19,22,19,20,19,19,22,23,19,18,22,0.027794001252089,0.0878395446655083,31.0530738497197,28.8045921403278,29.8574788868246,30.8253275752196,30.9370958778162,30.6610558914557,29.9307808920862,30.477522798916,30.9186971959549,29.1592899034752,31.408699001704,28.0952527479249,30.5859310467697,31.1814573231055,30.4209955244164,29.1296789936261,30.2773720949322,28.6833652360733,30.6522702676436,30.5745722585144,30.62702074468,30.9244251248912,30.2904431917716,30.4729242215079,31.5115849475193,30.6691315213332,30.2938473458205,31.5109023768745,30.8663581702782,31.1970412507485,30.9468555330213,30.237691750265,32.5802063104083,30.3703628685297,30.5723727764916,29.5338116878872,31.1199947339765,30.6012576612161
"CON__P02769",2,3,1,4,0,9,7,0,1,4,2,8,3,2,9,12,2,2,1,6,2,0,4,3,4,0,0,1,1,1,1,3,2,1,4,0,0,4,0.975283406851792,0.98427857129952,19.3266596398206,24.0115169107769,22.2454152575238,19.4305678456017,18.005897308065,21.1479748997395,NA,NA,21.621332046338,20.5432227627106,17.5885843616262,21.46205018816,NA,24.3931410562785,25.0700420170372,NA,18.9571433228576,22.1359745079524,21.1282104267568,20.8447492602235,20.3613742322391,25.9356459442549,28.3514917709704,20.3112709580292,19.3756752247695,17.8998124156479,23.8897835259432,18.874278412474,NA,20.6913803589114,22.1848943381186,NA,NA,18.7500751498934,18.1461654030387,19.1183321088716,18.9323890923635,20.2068276094945
