"","protein_group","number_of_peptides_OEI06439","number_of_peptides_OEI06441","number_of_peptides_OEI06443","number_of_peptides_OEI06445","number_of_peptides_OEI06447","number_of_peptides_OEI06449","number_of_peptides_OEI06453","number_of_peptides_OEI06455","number_of_peptides_OEI06459","number_of_peptides_OEI06461","number_of_peptides_OEI06463","number_of_peptides_OEI06465","number_of_peptides_OEI06467","number_of_peptides_OEI06469","number_of_peptides_OEI06471","number_of_peptides_OEI06473","number_of_peptides_OEI06475","number_of_peptides_OEI06477","number_of_peptides_OEI06481","number_of_peptides_OEI06483","number_of_peptides_OEI06485","number_of_peptides_OEI06487","number_of_peptides_OEI06489","number_of_peptides_OEI06491","number_of_peptides_OEI06493","number_of_peptides_OEI06495","number_of_peptides_OEI06497","number_of_peptides_OEI06499","number_of_peptides_OEI06504","number_of_peptides_OEI06506","number_of_peptides_OEI06508","number_of_peptides_OEI06510","number_of_peptides_OEI06518","number_of_peptides_OEI06520","number_of_peptides_OEI06522","number_of_peptides_OEI06526","number_of_peptides_OEI06528","number_of_peptides_OEI06530","abundance_hcc_1","abundance_control_1","abundance_hcc_2","abundance_control_2","abundance_hcc_3","abundance_control_3","abundance_hcc_4","abundance_control_4","abundance_hcc_5","abundance_control_5","abundance_hcc_6","abundance_control_6","abundance_hcc_7","abundance_control_7","abundance_hcc_8","abundance_control_8","abundance_hcc_9","abundance_control_9","abundance_hcc_10","abundance_control_10","abundance_hcc_11","abundance_control_11","abundance_hcc_12","abundance_control_12","abundance_hcc_13","abundance_control_13","abundance_hcc_14","abundance_control_14","abundance_hcc_15","abundance_control_15","abundance_hcc_16","abundance_control_16","abundance_hcc_17","abundance_control_17","abundance_hcc_18","abundance_control_18","abundance_hcc_19","abundance_control_19","log_ratios_control..vs.hcc.","differential_abundance_qvalue_control..vs.hcc."
"1","sp|Q09666|AHNK_HUMAN",58,75,36,41,73,27,114,22,26,26,21,61,16,28,52,61,25,33,44,42,74,52,48,21,19,22,48,61,56,25,27,26,101,17,61,17,16,32,24.7210968934298,25.3196754281777,24.4653512951561,24.1926451424359,25.8040609890715,23.0984676329427,26.5798905410459,22.3229179625343,23.440877402958,22.9298476705314,22.877432616489,24.4440752432659,22.8623109208349,23.5118112755722,23.9359604743792,24.7154544061424,22.9626900581296,23.1323149001001,23.9895051167399,24.5791535156656,25.0633865226349,24.1978486913968,23.820790737825,23.1751627110601,23.7203525093022,23.5744832376965,24.5148882278411,24.8534793727917,23.9389684380502,22.754345412932,22.3833255266622,23.6736313870696,25.2500177420298,23.0723112390676,24.163816717727,22.5718168609837,22.6524406285018,23.7453574548942,-0.383282305976195,0.491461518581663
"2","sp|P31327|CPSM_HUMAN",76,61,70,75,55,90,9,63,81,74,115,63,77,77,67,67,70,66,25,86,78,78,101,93,64,82,70,73,39,75,44,90,56,97,83,92,NA,79,29.2574146042938,27.6056402464338,28.1366152257337,29.1617955659126,26.9936641977884,28.891394168948,23.3429271532361,26.9802311171836,27.197464936179,27.9374450348628,30.096567825528,27.0980552213459,28.5116668879464,28.7943385185656,26.9831604521126,27.7950467900448,27.3290169733757,27.6522059123028,23.4646065712702,29.2771972845046,28.2429259257045,28.4626839879433,29.4224495388252,29.0374681965221,27.3265270028115,29.1470761754722,28.167357960818,28.8758169259306,24.4109595360543,28.2071875891315,25.2526626897473,28.8936491724267,26.8678842508168,29.5366250027228,28.060750511636,28.3772781922078,19.5766293058011,29.0091299858237,1.68942176518982,0.000454473943683225
"3","sp|Q15149|PLEC_HUMAN",56,NA,63,31,99,25,33,32,50,5,51,NA,29,14,30,2,81,NA,42,43,36,18,36,18,88,23,32,31,48,17,24,16,87,27,58,34,73,27,24.2820362550012,22.2484569056258,24.854642046739,23.4174170655413,25.9325950422668,22.4577994246153,24.31105035616,22.2731442141767,24.4554364697393,22.0709796153658,23.8044224403972,21.7916040905207,23.2712591188788,22.5184252868096,23.2125412098586,22.194460501988,23.9721386802705,21.5787536565279,23.4660301453419,24.3854030983825,23.2509648224119,22.8123020856791,22.9497719535045,23.1821342566706,24.9318807888453,22.8215532921572,23.0914972092151,23.4057205885115,23.0264003458389,22.1721091321411,21.7252037654691,22.9064990641093,24.8041750480701,23.0923237349832,23.6773587748109,23.0878960915371,24.3639437003947,22.9945946186564,-1.15640902364288,1.16197523075241e-05
"4","sp|Q13813|SPTN1_HUMAN",76,21,77,57,80,42,98,44,59,24,24,16,57,35,60,39,39,12,56,56,43,61,44,41,43,42,58,60,58,44,44,49,65,58,71,40,64,56,24.9123685844057,23.2675665324519,25.258153805171,24.708638628935,25.8659359815743,23.6679345630504,26.3797179871481,22.9992844607486,24.8253493533462,23.1869570549212,23.1932773410821,23.026228769706,24.0329937530116,23.835501784932,24.0606141403463,23.8511118352854,23.2019050897003,22.3282600637183,24.658060211823,24.9220497124518,23.7763834315603,23.9781809840187,23.6783550252673,23.771508914035,23.8621621978434,23.9539129439166,24.2858212664884,24.7790410009848,23.6086947484359,23.603368721154,22.7385668955405,24.5657712582755,24.5770143101123,24.5072236204045,24.9445229825675,23.3964617171845,24.8903803492238,24.3195093682719,-0.530619237905363,0.0228231063513441
"5","sp|P35579|MYH9_HUMAN",74,21,48,53,100,49,61,52,76,20,40,15,46,31,59,30,56,11,68,54,52,50,55,36,45,46,54,56,61,43,36,37,73,47,69,44,60,49,26.4145577599106,22.9778255349154,25.3612982040444,24.9768500666333,27.5487646538619,24.0135985275248,26.0013839682937,23.5292500239033,25.3765199600537,22.3383903762695,24.1248203758119,22.4670602017776,24.3871627662633,23.7922307826786,24.7920420785452,23.3700341613145,24.5750113966107,21.4785958436213,25.4640804102518,25.2569120939687,24.8168133602992,24.3785245351242,24.7438723000956,23.744157460828,24.5409220310843,24.2818164349188,25.2091338329625,25.4183888562207,24.6975509060332,23.6402716394068,23.5420320601509,23.7206411041829,26.0196463767614,24.3529746095699,24.9461901470881,23.5375837296848,25.83318311524,24.4759498423398,-1.40231209886734,2.6160679814107e-10
"6","sp|P04114|APOB_HUMAN",13,5,57,60,70,34,47,10,54,3,5,1,11,29,71,8,27,2,12,47,33,30,43,18,NA,20,29,39,63,36,22,4,62,29,52,15,8,48,22.9617222244147,23.214862766119,24.6499160561598,24.4339983433672,25.3063364008021,22.7936163066523,24.8475136116921,21.6998644934964,23.9618870774343,22.151407583817,22.383222545286,22.8742394871685,22.4508440010826,22.9611798513272,24.3231097507798,23.1951028725402,22.9730856235588,22.8518218470569,22.2939333907011,24.7512132526392,23.3673668900637,22.9525411322749,23.5047200813167,23.1127212238317,22.1282294302276,23.1894578169872,23.3518090871794,23.9277884491013,23.5597192336557,22.6806682468137,21.8815823602636,22.9343384978975,24.0365023142095,23.2335254751868,23.6374246382813,22.0188100672036,23.009286348753,23.6337605412979,-0.316699621635963,0.022456207616558
"7","sp|P49327|FAS_HUMAN",16,1,43,48,82,32,65,48,73,28,32,18,46,27,45,22,45,26,34,65,67,50,63,70,43,52,65,48,43,56,49,65,56,59,61,46,1,36,22.2371224136574,19.8756691201521,24.5654326395015,24.6128210389632,27.8869744678657,23.000941297868,26.4475639169681,23.9655356836482,26.5550975378973,22.8326346124087,23.1440481065626,21.7499852955055,24.5230616540402,22.8928311787592,23.777386764706,22.3440112586037,23.9437549763268,22.7556439255757,23.7431702996381,26.539064361802,26.0495381633114,24.4905519846323,26.1175162837654,26.1945481216475,24.3078286646392,24.9914164874813,25.9187185030608,24.8440711875123,23.8928321049821,24.2945848533654,24.2929750868903,25.9702552166371,25.3755801263506,25.3290815942654,25.112423279731,23.7447184786314,20.4462246226033,23.8184594996876,-0.741601285018484,0.181341246504458
"8","sp|Q01082|SPTB2_HUMAN",51,3,50,39,70,29,55,35,38,2,22,4,41,14,42,10,32,3,50,36,17,37,31,28,26,24,35,36,33,25,24,16,37,35,48,29,48,34,24.5087220655973,22.1036924849896,24.7714741554859,23.7696674726388,25.9860088326111,22.8125857881632,25.4793607696379,22.419455411613,23.8264475307002,20.97214876207,22.3681390077372,21.4318779573228,23.5371418391454,22.67137704056,23.7327362292971,22.1010276653458,22.8461751867543,20.2333584131719,24.2481499513278,24.1675861299013,22.6671841071978,23.1977857139547,22.79817166064,22.7772734780135,23.1641307897478,22.862288026818,23.7129186298752,23.9517889425134,22.8969705468579,22.3474705249023,22.0462787349648,22.5115224858685,23.660662083992,23.4130666944486,23.8743125739415,22.5033260660381,23.8599351967649,23.5124006180216,-1.06448527452216,0.00150049107269787
"9","sp|O75369|FLNB_HUMAN",36,9,47,52,58,42,47,33,44,5,52,2,35,30,41,8,35,NA,32,45,54,45,38,30,27,32,41,50,38,34,33,16,37,37,35,36,34,46,23.9811616139135,21.3168569866477,24.4561443209837,24.5677466537781,25.4999743153499,23.6874654979293,25.2247985148843,22.3637438992678,24.170644855853,21.1100308163697,24.5164740824657,20.0071229417249,23.1290114356926,23.3344620696742,23.7884487164782,21.7084542441804,23.2422091231639,19.0057299099755,23.5244971188833,24.6638650158562,24.7178823234865,23.9272915880368,23.4444503994406,23.2504678670638,23.0557325718847,23.6090866212053,24.1483598947314,24.6303407894461,23.0694682879757,22.799390722727,22.4263737955811,22.7227598034645,23.7496167965222,23.4523185458501,23.4720290037547,22.7299072831628,23.4024744880785,23.8029817101686,-1.06998572066288,0.00986670932804498
"10","sp|P02751|FINC_HUMAN",28,10,41,24,66,13,26,18,20,5,24,13,26,11,12,15,23,3,41,13,50,17,41,5,27,10,23,17,37,17,40,9,36,11,22,11,40,14,24.1991403219615,21.5739526902234,25.3895049124347,23.4115033591345,28.7891150985873,21.5271998086496,24.2340012472272,21.437167374534,23.4606869834247,20.4119713561822,23.2889484255222,21.5774324009484,23.3542141325601,22.6302109019889,21.654129130941,22.356511209748,22.9211795551118,19.9028576310365,25.0736120547204,22.7540573642785,27.0350881975802,22.2428701177284,25.324151148823,20.9477203128154,23.8391763907752,21.5260363830188,23.4685130531587,23.0506014734107,24.0575814564448,21.6700154112954,25.3175372381169,21.9616476061162,24.2976508390606,22.0732034280453,23.4820843819027,21.3420629996313,24.8413262193643,21.9648432850272,-2.6139881933634,1.28203581141638e-13
