"protein_group","abundance_control_1","abundance_control_10","abundance_control_11","abundance_control_12","abundance_control_13","abundance_control_14","abundance_control_15","abundance_control_16","abundance_control_17","abundance_control_18","abundance_control_19","abundance_control_2","abundance_control_3","abundance_control_4","abundance_control_5","abundance_control_6","abundance_control_7","abundance_control_8","abundance_control_9","abundance_hcc_1","abundance_hcc_10","abundance_hcc_11","abundance_hcc_12","abundance_hcc_13","abundance_hcc_14","abundance_hcc_15","abundance_hcc_16","abundance_hcc_17","abundance_hcc_18","abundance_hcc_19","abundance_hcc_2","abundance_hcc_3","abundance_hcc_4","abundance_hcc_5","abundance_hcc_6","abundance_hcc_7","abundance_hcc_8","abundance_hcc_9","number_of_peptides_control_1","number_of_peptides_control_10","number_of_peptides_control_11","number_of_peptides_control_12","number_of_peptides_control_13","number_of_peptides_control_14","number_of_peptides_control_15","number_of_peptides_control_16","number_of_peptides_control_17","number_of_peptides_control_18","number_of_peptides_control_19","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_control_4","number_of_peptides_control_5","number_of_peptides_control_6","number_of_peptides_control_7","number_of_peptides_control_8","number_of_peptides_control_9","number_of_peptides_hcc_1","number_of_peptides_hcc_10","number_of_peptides_hcc_11","number_of_peptides_hcc_12","number_of_peptides_hcc_13","number_of_peptides_hcc_14","number_of_peptides_hcc_15","number_of_peptides_hcc_16","number_of_peptides_hcc_17","number_of_peptides_hcc_18","number_of_peptides_hcc_19","number_of_peptides_hcc_2","number_of_peptides_hcc_3","number_of_peptides_hcc_4","number_of_peptides_hcc_5","number_of_peptides_hcc_6","number_of_peptides_hcc_7","number_of_peptides_hcc_8","number_of_peptides_hcc_9","differential_abundance_pvalue_control_vs_hcc","differential_abundance_qvalue_control_vs_hcc","log_ratios_control_vs_hcc"
"sp|A0A2R8Y4L2|RA1L3_HUMAN",NA,NA,-17.897319251,-17.6881114358,-17.7278827817,-17.9780536222,-17.6973152253,-17.8295006231,NA,-17.909974858,-17.9259866411,-17.8894425427,-17.9450861984,-17.9130236697,-17.7751333637,-17.7286236139,NA,-17.6130533355,-17.5146784324,-18.0494334815,-17.4278577798,-17.7584957279,-17.6140055668,-17.7099423086,-17.6699251383,NA,NA,-17.7877924145,NA,NA,-16.9938219288,-17.9175434897,-17.7954925032,NA,NA,-17.670626993,-17.7991530012,NA,3,1,1,1,2,3,3,1,1,1,4,4,4,3,3,4,1,4,2,4,3,4,3,1,2,4,2,2,0,4,3,2,3,NA,1,4,4,4,0.369146879756469,0.746177370030581,-0.119371511858336
"sp|A6ND91|ASPDH_HUMAN",-17.5010705317,-17.6199461245,-17.6459887292,-16.9002360999,-16.9324445753,-16.9464910953,-17.2387794626,-16.6278972979,-17.2521271823,-17.4298404087,-17.6153243526,-16.985421488,-17.6780273878,-17.6571290075,-17.275884808,-16.7340706051,-17.3590314522,-16.8384472213,-16.7026247243,NA,NA,NA,NA,NA,-17.2628070342,NA,NA,NA,NA,NA,-17.5996858156,NA,-17.62449471,-16.4073373922,NA,NA,-17.5284424661,-17.6540723024,5,2,2,5,3,2,5,6,4,3,3,4,3,2,6,5,2,6,7,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,3,5,NA,NA,4,3,0.452712328767123,0.78772378516624,0.138730345300878
"sp|O00148|DX39A_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.7763600112,NA,NA,NA,NA,3,2,3,2,2,4,3,3,2,3,3,3,2,3,3,3,1,3,3,5,4,6,1,4,4,6,4,5,5,6,4,3,5,3,4,4,3,5,NA,NA,NA
"sp|O00231|PSD11_HUMAN",-18.3327729909,-17.0152161133,-17.4530876585,-16.7257755937,-17.341351311,-18.5697238008,NA,-16.699308179,-17.3179416039,-17.3081970191,-18.4961264935,-18.5670090703,-18.4189622613,-17.5293559739,-17.2469591354,-16.4754728192,-18.3100460186,-18.2682165682,-18.1623644543,-17.0875219762,-16.9900877096,-17.3704415398,-17.2583955997,-16.7268487231,-17.2439717872,-17.5242819306,-18.575453348,NA,-18.3695628554,-17.3121858525,-17.5078291629,-16.8439149587,-17.3876240913,-18.2253218161,-17.4568232933,-16.7521193853,-17.4276269663,-17.4116350213,5,4,3,4,3,4,2,5,5,3,2,6,3,3,5,5,2,5,3,4,3,5,2,4,3,4,4,2,4,5,3,5,5,3,2,4,2,5,0.193484779299848,0.6,-0.264791169311113
"sp|O00483|NDUA4_HUMAN",NA,NA,NA,NA,-16.2525483195,NA,-16.1933254202,NA,NA,NA,NA,NA,NA,-16.2980956632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.1482603647,NA,-16.4091987451,NA,NA,NA,-16.125351749,NA,NA,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,0.871183409436834,0.960132890365448,-0.0203861813666677
"sp|O00571|DDX3X_HUMAN",NA,-18.327427074,-18.3403453663,NA,-19.4607258164,-18.4202665084,NA,-18.8942397433,NA,-18.2546750293,-19.2016688062,-18.3705581939,-19.0817459124,-19.0553435082,-18.2694928157,-19.1139591027,-19.1462280636,-18.180643808,-18.9092015927,NA,-18.7758630398,-18.2404149062,-18.8252786069,-18.0690726043,-18.9893430254,-19.1250016206,-18.199528896,-18.1649422397,-19.0902746349,-18.1423412892,NA,NA,-18.2583594043,NA,-18.3069608839,-19.4370288415,NA,NA,3,3,2,1,3,3,2,1,2,2,4,2,2,2,2,3,2,3,2,4,4,2,2,3,3,4,3,2,2,4,5,3,2,NA,2,3,2,5,0.407027397260274,0.767045454545455,-0.148608346378463
"sp|O00625|PIR_HUMAN",-18.2477532321,-18.2256745857,NA,-17.9848161948,NA,NA,-17.9935755221,NA,NA,-18.2698638124,NA,-18.3912243082,NA,NA,NA,NA,NA,-18.0655958021,-17.829299232,NA,NA,-18.1875360438,-18.0920762097,-18.0964434229,-18.3531138081,NA,-18.0734598273,NA,-18.349234677,-18.3964726637,NA,NA,-18.1580933225,NA,NA,-17.0772898193,-18.1840512204,NA,2,2,1,2,2,1,2,1,1,2,1,1,NA,2,2,2,2,1,3,NA,1,3,2,2,4,3,4,1,1,1,2,NA,3,1,1,3,2,2,0.84772602739726,0.947278911564626,-0.0291982347049995
"sp|O00748|EST2_HUMAN",-17.5523875093,-18.1495468792,-17.8863101319,-18.3721328971,NA,-17.9740765333,-17.7378531728,NA,-17.7082137456,-18.9471467163,-17.3659345253,NA,-18.888134044,-17.3035287233,-17.61682307,-18.6521068861,-17.5415374584,-18.3978508592,-18.4269657885,-18.1368486318,NA,-17.9324470415,NA,NA,NA,-17.9837653685,NA,-18.5608686867,-17.7479107574,NA,-19.1637697099,NA,-17.7835346301,-18.5219148972,-19.1863476883,NA,-17.9544758068,-18.0348746915,4,4,4,4,4,4,4,2,3,3,4,4,4,4,5,4,5,3,2,3,NA,4,2,2,3,4,NA,2,3,NA,4,NA,2,3,3,2,5,4,0.231435312024353,0.629166666666667,0.240807319385794
"sp|O00764|PDXK_HUMAN",NA,-18.4656775976,NA,-18.3620096981,NA,NA,NA,NA,NA,NA,-18.5325648502,-18.2598673136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.0350736738,NA,NA,NA,NA,NA,-18.3815792724,-17.3559954967,-18.4683915341,-18.1397744468,NA,NA,NA,-18.3439701795,NA,4,2,1,2,1,1,1,3,3,2,4,4,2,NA,1,2,2,2,2,3,NA,2,1,3,1,2,3,1,3,1,5,2,4,2,2,2,3,2,0.171518264840183,0.565656565656566,-0.284232430991668
"sp|O14756|H17B6_HUMAN",NA,-17.1137116278,NA,NA,-16.9242354653,-17.1967992925,-17.8772658996,NA,NA,NA,NA,-16.9606540821,-17.9565936475,-16.4128844133,NA,NA,NA,NA,NA,NA,NA,-18.0120543706,NA,NA,-17.7894973385,NA,NA,NA,-17.8998608661,NA,-18.1679058318,-18.2457855968,-18.3046552419,-17.8379259947,NA,NA,NA,-17.7089609267,1,3,2,5,5,4,3,1,2,2,4,6,6,5,2,1,3,2,NA,4,NA,3,2,NA,5,4,1,1,8,NA,4,2,3,2,1,NA,3,7,0.00127321156773212,0.0476190476190476,0.789810138301785
