"protein_group","number_of_peptides_Cu complex_1","number_of_peptides_Cu complex_2","number_of_peptides_Cu complex_3","number_of_peptides_Cu complex_4","number_of_peptides_Cu complex_5","number_of_peptides_Cu complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn complex_1","number_of_peptides_Mn complex_2","number_of_peptides_Mn complex_3","number_of_peptides_Mn complex_4","number_of_peptides_Mn complex_5","number_of_peptides_Mn complex_6","abundance_Cu complex_1","abundance_Cu complex_2","abundance_Cu complex_3","abundance_Cu complex_4","abundance_Cu complex_5","abundance_Cu complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn complex_1","abundance_Mn complex_2","abundance_Mn complex_3","abundance_Mn complex_4","abundance_Mn complex_5","abundance_Mn complex_6","log_fold_change_genotypeDMSO.genotypeCu.complex.","differential_abundance_pvalue_genotypeDMSO.genotypeCu.complex.","differential_abundance_qvalue_genotypeDMSO.genotypeCu.complex.","log_fold_change_genotypeMn.complex.genotypeCu.complex.","differential_abundance_pvalue_genotypeMn.complex.genotypeCu.complex.","differential_abundance_qvalue_genotypeMn.complex.genotypeCu.complex."
"Q9NQP4",NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,1,16.4644139051553,16.1869734514823,15.7800507829719,16.168792650735,15.5500796840884,16.4330433664032,18.5669131678177,18.2381245925445,18.2736604840033,18.3734993813551,18.157532600476,18.2903911737516,17.4500234337722,17.1118998415127,17.4055653985467,17.981043202577,17.414345316206,17.5726635546104,1.52008497211421,1.83243173583892e-14,1.25354989201708e-13,1.21034173099769,1.27306128682283e-11,1.68874041417768e-10
"O15042",NA,NA,1,NA,NA,NA,8,7,5,5,4,6,NA,3,2,1,4,NA,16.3367947868499,16.4908960259316,16.2880523819019,16.7508733929298,15.8293462430878,15.5819035608754,17.5363941235659,17.1248750961563,16.8851082766958,17.299297997808,17.1494630579319,17.3603561890136,16.3441959827877,16.5002561876599,16.3175131921435,17.020885337609,16.3891512648562,16.1776010105775,0.414149429503941,2.85541816501526e-05,5.82698893335316e-05,0.0115829763879671,0.907674697511371,1
"P02786",13,19,14,17,21,19,1,NA,1,1,3,5,5,9,6,9,11,7,18.0137884528096,18.7259043313134,17.8617574908098,18.5480345887032,18.5674548470334,18.470354359495,16.0975037936565,15.7023871748549,16.0859541354065,16.0604522045181,16.3820879843104,16.7363764921325,16.9204280191493,17.124607257488,16.843217442657,18.2108457208966,17.3684708323095,17.0432407608607,-2.85339363224506,3.33370104877582e-33,1.51463247650041e-31,-1.32766824694919,1.7557074301728e-10,1.98842148105891e-09
"P07954",11,11,10,13,11,10,9,9,10,9,10,10,10,10,12,8,11,12,18.524673893991,19.4193013550103,18.241749641801,19.3437219901899,19.0681828373715,18.6308327867155,19.004019450931,18.626218317522,18.3494983397552,18.5084304259046,18.3473165541511,18.5802372748687,18.8831100570787,18.3739246914226,18.1557045613309,19.4373082729004,18.6567648503697,18.561446269253,-0.841042955508411,5.5211772105221e-06,1.24835631201288e-05,-0.38838805705823,0.030433840411658,0.0556948558143223
"Q9Y490",22,3,22,NA,NA,7,24,25,28,26,22,21,18,17,18,17,17,17,17.7398689456943,15.3539772346149,17.6392986493612,15.6547485563606,15.6465533805441,16.1622905360815,18.0838547081224,17.7493449495768,17.8287667129365,17.9240241668929,17.7869028071052,18.1751033982376,17.5371530450685,17.450319162425,17.3820191367623,18.23833136591,17.4015810940787,17.3056797845381,0.711368952153784,0.0113218259842437,0.0163762642215544,0.764929659690622,0.00657953715215396,0.0151898737522324
"Q96S52",NA,2,1,3,2,3,NA,NA,1,NA,2,NA,1,2,3,1,2,3,16.9625041429591,17.4079184936882,16.531309655639,16.8373003538143,16.834252085731,16.5649349284322,16.2058453153572,16.0944828500033,15.8017492194232,15.7959720399956,16.7023783251413,16.6589841894927,16.8239814760323,16.7642589743833,16.8314457655553,17.3404099331584,16.8809508585995,16.9176505774354,-1.36918160373358,1.55747595366081e-12,8.29734977083013e-12,-0.183231745453049,0.1613751480985,0.231874165520346
"P35221",2,NA,2,NA,NA,NA,4,2,2,6,5,4,NA,NA,NA,NA,NA,NA,17.0052578430901,NA,16.9723596430241,15.7225448890068,15.5833893940508,16.0152758461241,17.1797753046508,16.9682874184118,16.4656579391294,17.2487713533533,17.3333625345097,16.8756287796188,16.5754298997178,16.3650198034886,16.410253358107,17.1515442929503,16.4232879562683,15.9522191597346,1.87177356593701e-20,0.999999999879913,1,-3.23948321834088e-20,0.999999999789309,1
"Q96C19",NA,NA,NA,NA,NA,NA,2,3,NA,1,NA,NA,NA,NA,1,1,3,2,16.4485048710304,16.0361839390275,NA,NA,NA,16.5580514239298,NA,16.8298317972681,16.0753428058074,17.7707400520955,NA,18.0546481921765,18.1215714747537,16.9996407473033,17.5322540664599,17.8486115218684,17.3006561382459,17.3852193808764,0.423954636225186,0.137367810589937,0.173456574672558,0.882143845528152,0.00184956088047661,0.00508100191535964
"Q9GZT9",2,NA,NA,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,5,NA,16.2074022834461,16.3366394287175,16.1840953626654,16.9023560667662,16.3341341235049,16.532183464285,16.6106743545388,16.2861656888833,15.3816199218787,15.931235738345,16.3952242481258,15.3323980675446,16.1291013701807,15.8150560495272,15.6261251768583,16.5442476527242,15.6091556416414,15.8259740195404,-0.729738161824682,0.00172506346701343,0.00275826881047035,-0.533147068301629,0.00293187261369865,0.00761842656438361
"O15427",4,4,3,2,4,3,2,2,2,3,2,2,2,4,2,2,2,4,19.04376858185,18.8913208844166,18.5594643066104,18.8190114741496,18.7033711462352,18.5526671734432,16.9459945806735,16.6821050964197,17.6128232864936,17.0702767812747,18.222381035001,18.0357543127481,18.3014230040425,18.3728362202339,18.1085986430754,18.8819031126272,18.4733176381768,18.3210986019897,-1.94512184488195,2.21292877850682e-09,7.91787889843152e-09,-0.538882878939502,0.0283207896703348,0.0525082749022965
