"protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","differential_abundance_pvalue_DMSO.Cu.complex","differential_abundance_pvalue_Mn.complex.Cu.complex","differential_abundance_qvalue_DMSO.Cu.complex","differential_abundance_qvalue_Mn.complex.Cu.complex","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6"
"CON__P02769;CON__|ALBU_BOVIN|",30,29,27,25,31,29,32,31,31,32,34,31,32,31,30,29,31,30,1.03509904423466e-05,0.750111903382847,5.6757930925534e-05,0.840657447784323,31.3202144757429,32.6126059117563,31.6690626231225,32.39659769777,32.5115919444019,31.2819846454604,30.2748966261541,30.4054067734539,30.9843035579812,30.2352697934131,29.70192834006,29.4979045341775,32.0435586987623,31.6369783363823,31.9526798809476,32.5862428957755,32.0865786518912,32.0666173541019
"sp|P02768|ALBU_HUMAN;CON__P02768-1;CON__|ALBU_HUMAN|",14,18,16,17,6,2,4,4,7,7,11,9,12,13,10,17,17,16,0.010452507482915,2.55450520254968e-08,0.0202485277441357,5.56030632421646e-06,25.2356013800896,25.5480062036027,24.9583993243223,25.7948233834714,25.7154003866081,25.2428892562607,26.5768200453815,26.5580685243561,26.2863900875201,26.6216352638178,26.0189530529972,26.2915074494743,22.6507950966418,21.0372140556728,21.8170250713182,21.9765966790899,22.3916464866246,23.8746630864328
"CON__|ANXA5_HUMAN|;sp|P08758|ANXA5_HUMAN",14,11,14,13,12,11,10,12,12,15,13,13,15,13,11,11,11,14,0.0037500112756739,0.668459995592834,0.00823417381332622,0.781798884397828,26.8507253663189,26.5594107293116,26.3216793070867,26.8641441090993,26.7781899804319,26.9400281953278,25.0900085385337,25.7354817921351,26.4686347380687,25.1968703923457,26.5341176836702,26.1679820944936,26.4458364682188,26.5489431078571,26.4393451504936,26.4866197188104,26.8037234601285,26.9158194954703
"sp|P61769|B2MG_HUMAN;CON__|B2MG_HUMAN|",2,1,1,1,1,1,1,1,1,2,1,1,2,2,1,0,1,1,4.67477404860543e-05,0.00020563189210214,0.000189486734536902,0.00195549940110724,23.4739097100114,23.8719482843793,23.5762576900789,23.9726502067862,24.2713436706695,23.7461951289344,NA,21.8378213239498,22.3659370317467,21.8215318652086,23.1214325245031,22.9113579059075,22.4501900498688,22.7352300383401,22.4464975708756,22.6783719586422,22.5880514881886,23.0031767053088
"CON__|CATA_HUMAN|;sp|P04040|CATA_HUMAN",16,12,13,12,17,16,14,15,15,15,19,16,16,15,17,13,16,12,1.06655785283412e-06,0.170263425243006,8.92112373514642e-06,0.301736675493764,26.8391085106612,27.5954744408631,26.5278896303213,27.5593541572065,27.5723833621871,27.3725159064409,25.9367652919692,25.9731263431403,25.6100039432547,25.6147900108517,25.4226599545663,25.6045104061426,27.1797719403578,26.8376552382957,26.7533888282457,26.7619573711895,27.0095344287814,27.0462733114083
"sp|P07339|CATD_HUMAN;CON__|CATD_HUMAN|",10,10,11,12,11,10,10,10,10,10,11,11,11,10,10,11,10,11,0.00477251121213033,0.522502164046701,0.0101737981995089,0.657388257259732,27.4646872819115,27.6381180696789,27.2167403990504,27.5106400011502,27.3705474994712,27.1218370325976,26.9770851428672,26.8421710898731,26.9681182864628,26.7486990397813,26.7679036642689,26.5940178806153,26.9432000789316,27.3208923434788,27.2922549143774,27.3818918538366,27.5169367264656,27.169691642546
"CON__|CYB5_HUMAN|;sp|P00167|CYB5_HUMAN",3,4,4,4,3,3,3,3,4,4,3,3,2,3,3,4,4,4,0.0193727401498267,0.0882399228957771,0.0347768467664396,0.190586558933658,24.8777434280542,24.3172524727217,24.3070028463445,24.2204817995462,23.974027717569,24.7218137255106,24.4750203229969,25.0700330065047,25.0736127318509,24.9114610625504,25.3424664480241,25.1907540314182,23.8606018571508,23.4538854279648,23.9747286384377,23.6474457918501,24.5050106601588,24.4133641208913
"CON__|CYC_HUMAN|;sp|P99999|CYC_HUMAN;CON__P62894;CON__|CYC_HORSE|",2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,0.0350410118162762,0.000939997647502316,0.0584214166599064,0.00652998365764907,24.5405262851865,25.0837656914833,23.2368058649691,24.9151686112054,24.9061997957489,25.0080051792002,23.6173535606453,23.5070553584368,23.9301408518104,23.5319427870927,24.2455622299056,23.9092729403332,22.1618042252989,23.4903526340004,22.1865783177519,23.6339318694257,24.0091586081036,23.6741885415488
"sp|P06396|GELS_HUMAN;CON__|GELS_HUMAN|",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4389070343419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|GSTA1_HUMAN|;sp|Q16772|GSTA3_HUMAN;sp|P09210|GSTA2_HUMAN;sp|P08263|GSTA1_HUMAN;sp|Q7RTV2|GSTA5_HUMAN",2,2,2,2,1,1,1,1,1,1,0,1,0,0,0,2,2,2,0.000284986161566035,0.113757659544301,0.000862826200814957,0.227167436337703,21.1265768238848,NA,20.4593356609751,NA,NA,NA,23.2727857376214,21.8251971686626,23.4944038723292,23.0649926067626,22.8770881819449,23.0226829139034,NA,19.7033921201311,20.3869064835773,19.985992891263,20.5798030443595,19.4760369872998
