"","protein_group","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","abundance_Cu.complex_1","abundance_DMSO_1","abundance_Mn.complex_1","abundance_Cu.complex_2","abundance_DMSO_2","abundance_Mn.complex_2","abundance_Cu.complex_3","abundance_DMSO_3","abundance_Mn.complex_3","abundance_Cu.complex_4","abundance_DMSO_4","abundance_Mn.complex_4","abundance_Cu.complex_5","abundance_DMSO_5","abundance_Mn.complex_5","abundance_Cu.complex_6","abundance_DMSO_6","abundance_Mn.complex_6","log_ratios_DMSO..vs.Cu.complex.","log_ratios_Mn.complex..vs.Cu.complex.","log_ratios_Mn.complex..vs.DMSO.","differential_abundance_qvalue_DMSO..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.Cu.complex.","differential_abundance_qvalue_Mn.complex..vs.DMSO."
"1","sp|P49327|FAS_HUMAN",57,10,60,15,11,31,83,80,74,84,79,78,53,52,50,51,54,49,25.3357339468262,26.8950107871905,25.0217157191373,22.9589388672971,26.5815062134612,24.9174319957788,25.4699074484901,26.5175561013183,24.7826801359678,23.299609242339,26.6423985817703,25.5517998923504,22.9913490989272,26.282635427046,25.028410454065,23.7132455359495,26.7336397466852,24.8600023790039,2.64732711960707,1.06554273941235,-1.58178438019472,8.53102424076308e-07,0.00473745089620244,1.62599056355244e-06
"2","sp|O75369|FLNB_HUMAN",48,7,49,13,14,30,66,53,48,59,49,52,40,43,34,42,42,39,25.1220773962426,25.7842053881528,24.7206397474523,21.5164393357692,25.4419650691547,24.64041728444,25.2070426286515,25.1890920378342,24.4200438599192,23.0128638789037,25.5831914833493,25.4242985576905,22.7717005243945,25.2401454015422,24.6090883125117,23.6133310779791,25.5927167308649,24.51088873126,1.93131021149292,1.18032027522218,-0.750989936270733,0.000322879568514865,0.0106333099669991,0.000103910795554524
"3","sp|P10809|CH60_HUMAN",47,55,42,55,53,50,40,38,34,37,35,37,40,45,41,47,41,45,28.3122966327512,27.960164506603,28.5172947748965,29.0679973768982,27.586346984468,28.110995698801,27.9259747795682,27.5177586417878,27.9871618992244,29.1074916728506,27.8042083382021,29.076382431304,28.9028737312743,27.4105794495142,28.3047280049345,28.3892331163284,27.7679901259382,28.3380275517654,-0.9431365438596,-0.228546158124184,0.714590385735416,0.000812574394395584,0.475696119123333,0.0135500266150441
"4","CON__|ALBU_BOVIN|",45,60,44,53,60,42,41,41,45,40,38,37,52,52,50,61,52,47,28.0293901930098,27.5037386505544,28.7911239291058,29.4346339537529,27.3322689295746,28.3391116729443,28.4333518819929,27.8884718129722,28.5356165201949,29.1624856814167,27.3466456069222,30.050384423139,29.1054320373319,26.8687135883384,28.5572664259501,27.8159538309649,26.8759350097101,28.4616167068186,-1.3609123300662,0.125645349947266,1.48655768001347,0.000473722969798151,0.0640449010411388,0.000638532099033998
"5","sp|Q00610|CLH1_HUMAN",36,24,37,22,24,29,56,51,47,51,45,47,42,44,41,43,47,45,24.9448633238527,25.7851885281124,25.262360420399,23.9004024175087,25.4334766893002,25.0502168386552,24.8498180656774,25.2008625446332,24.9986077307937,24.0949415433552,25.4877949018036,25.7709888588312,23.8461885800219,25.1302770682635,25.1595649586485,24.0768265223666,25.5275977486752,25.1380423854604,1.14202617133427,0.944456790000916,-0.19756938133335,9.9208175669056e-05,0.00236872544810122,0.120573456394352
"6","sp|P21333|FLNA_HUMAN",45,2,45,6,3,13,49,51,48,44,45,48,39,36,35,39,38,41,24.6305925311501,25.4585802096826,24.2808132398193,21.3007987024398,25.2427186695821,24.1685662338972,24.662769953107,24.7509323447499,24.2335130412899,23.967987413695,25.144397476552,25.16809440375,20.759891839485,24.8542859227838,24.3129849903889,24.0308028323976,25.1760046396734,24.3347907465075,1.87901266512488,1.19098656389638,-0.6880261012285,5.13671164459152e-05,0.083820963535811,0.00025245001185536
"7","sp|P78527|PRKDC_HUMAN",31,NA,33,NA,NA,12,50,40,35,39,43,42,26,29,24,22,24,32,23.6926589167366,24.5497975912561,23.4547992947595,19.3749871914376,24.1504489092985,23.5670540116078,23.759101973011,23.9096462886538,23.2888534043091,20.4380386147056,24.1932117569581,24.0441249257621,20.5428774204474,24.1547527614062,23.550660019132,21.7043968722675,24.4156761444628,23.5187275834368,2.64357874390497,1.98535970840027,-0.6582190355047,1.55210093387237e-05,0.00767965104641698,0.000573469317477165
"8","sp|Q13813|SPTN1_HUMAN",23,3,16,10,8,14,35,43,36,31,45,42,25,29,25,33,31,30,23.325366810975,23.9941103151883,23.373934473566,21.5697368448965,24.3584953355867,23.4490129660896,22.7642920311848,24.3458572959372,23.2366765706101,21.7926642121302,23.7796322991643,24.2459612995686,21.4732874581409,24.6892422691531,23.6841922573192,23.4854992791849,24.5640984240932,23.4937043675716,1.88676488376842,1.17877254970213,-0.707992334066284,1.8300714256106e-05,0.00844369552031245,0.00172600072581007
"9","sp|Q14204|DYHC1_HUMAN",9,NA,11,2,3,9,46,42,31,30,26,28,10,15,14,14,14,20,22.4670721459192,24.0514734969712,22.5848841891621,20.9658932012085,23.7624313122351,22.8211626234521,22.2378567691619,23.3749294908746,22.6919069495816,21.4190243048119,23.6398962046409,23.6516485682432,21.1652114057067,23.3134587983465,22.9186431736645,21.8263761488665,23.8296625467065,22.6922895279233,1.98173631235002,1.21318350939202,-0.768552802958,1.17788660513121e-06,0.000686686697668098,0.00358598271824451
"10","sp|P42704|LPPRC_HUMAN",NA,NA,NA,NA,NA,NA,48,46,41,44,39,40,4,2,2,5,NA,1,19.1890912714861,25.445781871097,21.3326169532299,18.6927480922426,25.0431563140435,20.9010922704115,20.1389512287724,24.8839006445354,20.3722744519812,19.1487366122699,24.9727046423502,22.0558478967305,19.0437941257966,24.7298060726317,20.5125655425525,19.4563738485224,25.1145797180509,20.4332380177453,5.75337234726979,1.65632332559348,-4.0970490216763,7.28178003997812e-12,0.000141606221818096,2.60795065277349e-09
