"protein_group","abundance_Cu.complex_1","abundance_Cu.complex_2","abundance_Cu.complex_3","abundance_Cu.complex_4","abundance_Cu.complex_5","abundance_Cu.complex_6","abundance_DMSO_1","abundance_DMSO_2","abundance_DMSO_3","abundance_DMSO_4","abundance_DMSO_5","abundance_DMSO_6","abundance_Mn.complex_1","abundance_Mn.complex_2","abundance_Mn.complex_3","abundance_Mn.complex_4","abundance_Mn.complex_5","abundance_Mn.complex_6","number_of_peptides_Cu.complex_1","number_of_peptides_Cu.complex_2","number_of_peptides_Cu.complex_3","number_of_peptides_Cu.complex_4","number_of_peptides_Cu.complex_5","number_of_peptides_Cu.complex_6","number_of_peptides_DMSO_1","number_of_peptides_DMSO_2","number_of_peptides_DMSO_3","number_of_peptides_DMSO_4","number_of_peptides_DMSO_5","number_of_peptides_DMSO_6","number_of_peptides_Mn.complex_1","number_of_peptides_Mn.complex_2","number_of_peptides_Mn.complex_3","number_of_peptides_Mn.complex_4","number_of_peptides_Mn.complex_5","number_of_peptides_Mn.complex_6","differential_abundance_pvalue_Cu.complex_vs_DMSO","differential_abundance_qvalue_Cu.complex_vs_DMSO","log_ratios_Cu.complex_vs_DMSO","differential_abundance_pvalue_Cu.complex_vs_Mn.complex","differential_abundance_qvalue_Cu.complex_vs_Mn.complex","log_ratios_Cu.complex_vs_Mn.complex","differential_abundance_pvalue_DMSO_vs_Mn.complex","differential_abundance_qvalue_DMSO_vs_Mn.complex","log_ratios_DMSO_vs_Mn.complex"
"CON__|ALBU_BOVIN|",-15.1885825732,-13.2406410128,-14.8705157557,-13.6092822838,-13.4085121548,-14.4619331627,-15.2279769981,-15.2665166024,-14.7598332547,-15.1608522279,-15.4975438119,-15.5717881025,-14.8170689936,-14.8395358677,-14.1331451036,-13.8983173768,-14.0254675617,-14.1865903749,27,61,47,59,59,34,20,26,26,22,21,22,37,35,38,51,39,36,0.0102774086378738,0.0606060606060606,1.11750734241667,0.523169407894737,0.705357142857143,0.186776389216666,0.0116837606837607,0.0283018867924528,-0.930730953199999
"CON__|ALBU_HUMAN|",-18.4787865677,-18.0213543049,-18.4873870934,-16.6344775741,-16.0739594812,NA,-16.8066298994,-16.6896948719,-16.0100325383,-16.4391751846,-16.6364477644,-16.5365750357,-18.2412213758,-18.3597746548,NA,NA,NA,-18.4425174599,5,7,6,7,7,9,13,13,13,12,10,13,3,2,4,3,4,3,0.0246428571428571,0.103448275862069,-1.01943378854333,0.122450657894737,0.463414634146341,0.808644825906665,0.00193874643874644,0,1.82807861445
"CON__|ANXA5_HUMAN|",-17.8176467015,-16.2776464001,NA,NA,NA,-17.6651353367,-17.7020608036,-16.8078655371,-18.1793248734,NA,NA,-18.3843814854,-16.3530680666,-17.8142254722,-17.5275408598,NA,-17.7950549489,NA,5,6,5,5,6,6,4,3,6,5,5,6,5,6,6,6,6,6,0.227624584717608,0.331550802139037,0.514932028775,0.725529605263158,0.817843866171004,0.118996190775,0.418334757834758,0.525925925925926,-0.395935838
"CON__|CATA_HUMAN|",-17.8850870584,-16.4716020604,-17.9562255128,-16.3517925164,-16.5131007167,-17.7066602736,-17.5157224543,-17.4273092171,-16.7718896019,-18.3156179721,-18.1753905316,-18.8780752967,-17.6435757182,-16.1811316333,-16.9204030877,-17.81352062,-16.9369786549,-17.8010658771,5,8,6,5,7,6,6,5,5,6,5,4,7,6,5,6,5,5,0.0890166112956811,0.176,0.699922822566666,0.777190789473684,0.855072463768116,0.0687012421499986,0.162212250712251,0.235576923076923,-0.631221580416668
"CON__|CATD_HUMAN|",-17.4609803838,NA,NA,-17.2166706086,NA,-17.309123988,-17.3946920811,-18.2913596283,NA,NA,-17.2210420036,-17.2201747464,-17.632274326,-17.371945897,-17.4000127384,-17.420891451,-17.5157302703,-16.7518277698,2,4,3,6,4,5,5,4,3,4,5,3,4,4,4,3,4,4,0.525355481727575,0.647058823529412,0.202892121383332,0.859685855263158,0.887755102040816,0.019855415283331,0.4647849002849,0.581818181818182,-0.183036706100001
"CON__|CYB5_HUMAN|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.6197319009,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,1,2,2,2,1,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|HBA_HUMAN|",NA,-15.8807437305,NA,-15.3575477742,-16.0153512031,-15.7949228813,NA,NA,NA,NA,-16.4056008229,NA,-15.930191768,NA,NA,NA,-15.0366707609,-15.832793078,6,9,6,7,7,7,2,1,4,2,1,NA,4,3,4,3,4,5,NA,NA,NA,0.515570723684211,0.705357142857143,-0.162256194975001,NA,NA,NA
"CON__|K2C1_HUMAN|",NA,NA,-18.5095263987,NA,NA,-18.1818472745,-18.7185657894,NA,NA,-18.6071582692,NA,NA,NA,NA,NA,-18.2028224936,NA,NA,3,3,5,1,1,6,5,1,4,3,1,1,1,1,NA,3,2,1,0.293114617940199,0.411167512690355,0.317175192699999,NA,NA,NA,NA,NA,NA
"CON__|KRHB1_HUMAN|",NA,NA,NA,NA,NA,NA,-18.5590888222,-18.6600149542,NA,-18.6587076011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|NQO1_HUMAN|",-15.5681655166,-16.8256679594,-17.5552794695,-17.2124574376,NA,-15.8638026146,-16.480810675,-16.407212139,-17.3082601065,-16.3654284793,-17.2923715902,-15.9218981789,-16.1075097545,-17.032066232,-14.9899705919,-15.4027698164,-16.2264594744,-16.1680707862,4,4,4,4,4,4,5,7,7,7,5,5,5,3,5,5,4,4,0.898941860465116,0.915540540540541,0.0242555952766672,0.126501644736842,0.463414634146341,-0.61726682364,0.126424501424501,0.18974358974359,-0.641522418916667
"CON__|PPIA_HUMAN|",-16.135561779,NA,-16.2721283352,NA,NA,NA,-16.6970217145,-15.5432443517,-16.9425582199,NA,-16.9350274415,-16.5211955631,-15.883800913,NA,NA,NA,-15.2869705202,-16.488645555,6,3,5,2,3,3,7,8,8,7,4,6,4,5,6,4,6,5,0.377870431893688,0.495412844036697,0.323964401040001,0.371896381578947,0.612359550561798,-0.3173727277,0.175150997150997,0.251162790697674,-0.641337128740002
"CON__|PRDX1_HUMAN|",NA,-16.1989091478,NA,NA,-15.4328804958,NA,-16.0683388009,-16.7016639908,-17.1831525966,NA,-15.9856601046,-17.11501374,-15.4328093829,-16.4365309029,-16.4701355124,-16.6032115708,-16.5334242184,-16.538234941,5,5,4,3,5,6,11,11,10,13,10,11,7,7,7,6,6,7,0.0635564784053156,0.16,0.794871024780003,0.131634868421053,0.463414634146341,0.5198295996,0.371978632478632,0.486381322957198,-0.275041425180003
"CON__|SUMO1_HUMAN|",-15.9422008721,NA,NA,NA,NA,NA,-16.1227837066,NA,NA,NA,-15.9306737489,-16.2161708165,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,2,2,1,1,1,2,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|SYH_HUMAN|",NA,NA,NA,NA,NA,NA,NA,NA,-18.3700738251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,3,3,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|THIO_HUMAN|",NA,NA,NA,NA,NA,NA,-16.4253957267,NA,NA,NA,-15.9257403755,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,1,6,4,4,5,4,5,1,3,3,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|TRFE_HUMAN|",-16.7221512472,-17.7845383554,-16.9899638451,-17.2911352451,-17.1683713632,-17.8289402493,-17.5449035811,NA,-18.7113360172,-18.6359446245,-17.6624353266,-17.9725342426,NA,NA,NA,NA,NA,-18.5922149698,7,7,9,8,9,5,8,6,8,8,6,8,NA,NA,NA,NA,1,2,0.0357176079734219,0.117647058823529,0.807914040850001,NA,NA,NA,NA,NA,NA
"CON__|UBE2I_HUMAN|",NA,NA,NA,NA,NA,NA,NA,-16.5089063691,NA,-16.388512179,NA,-16.6368489945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-18.9557791978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.9837417672,NA,-18.745429086,NA,NA,NA,-18.8318060274,3,NA,1,NA,1,2,NA,NA,2,1,NA,2,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NCC3|GOG8O_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.0652706628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NGB7|TM221_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.2131241702,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NGU5|GGT3_HUMAN",NA,-17.9127339037,NA,NA,NA,-18.1817496133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,2,NA,NA,NA,NA,1,1,NA,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NHG4|DDTL_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.122216812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|A6NIZ1|RP1BL_HUMAN",NA,NA,NA,NA,NA,NA,-17.0741312633,-16.8352698598,-16.9226054617,-16.9366787196,-16.8340517443,NA,-16.3785659062,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B2RPK0|HGB1A_HUMAN",NA,NA,NA,NA,NA,-16.5506121176,NA,NA,NA,NA,NA,NA,-16.6162478527,NA,NA,NA,NA,-16.60124562,NA,NA,NA,NA,NA,1,1,NA,1,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B2RXH8|HNRC2_HUMAN",NA,-16.6088059471,NA,-16.7982513888,-16.5742168856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,4,4,2,5,6,7,7,7,6,8,6,5,4,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|B5ME19|EIFCL_HUMAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1207370626,NA,NA,NA,3,1,1,NA,7,7,4,5,5,5,4,2,4,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",NA,NA,NA,NA,NA,NA,-18.427598567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,1,1,1,1,1,1,1,5,6,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00151|PDLI1_HUMAN",NA,NA,-17.3419645431,NA,NA,NA,NA,NA,-17.6978679349,NA,NA,-16.7353773436,NA,-17.2305090062,-17.22060015,-17.2044777728,NA,-17.3480020297,1,1,3,NA,1,1,4,4,4,5,3,4,1,1,2,3,2,1,NA,NA,NA,NA,NA,NA,0.857413105413105,0.882697947214076,0.0342746004250003
"sp|O00231|PSD11_HUMAN",-17.7664406016,-17.3080570349,-16.7176828541,-17.4984551542,-17.3088729759,-17.5889429209,-16.6895380266,-17.0149989073,-17.0388673709,-16.4448656697,-17.2166704454,-17.1833706751,-16.1076444725,-16.5430020206,-15.9701342788,-16.1092922929,-16.1606415879,-17.5933515309,4,1,4,1,2,3,6,8,7,7,6,6,5,6,7,5,5,8,0.175845514950166,0.27810650887574,-0.433356741099999,0.00970723684210526,0.230769230769231,-0.950730892999999,0.107594017094017,0.172972972972973,-0.5173741519
"sp|O00299|CLIC1_HUMAN",-16.0995275846,NA,-16.0774455131,-16.636162193,-16.7446335258,-16.8168509975,-16.4391281587,-17.148202516,NA,-16.4314584258,-16.2925641515,-16.4368458356,-16.901514743,-16.8244425452,-16.6977536839,-15.9153525288,-15.9719468857,-15.9435007533,3,1,4,1,2,1,4,4,3,3,4,4,3,3,4,3,4,3,0.767332225913621,0.819148936170213,0.0747158547199973,0.644592105263158,0.76953125,-0.0991721061500037,0.483304843304843,0.594982078853047,-0.173887960870001
"sp|O00303|EIF3F_HUMAN",NA,NA,-17.6624490121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00410|IPO5_HUMAN",NA,NA,-19.124092686,NA,NA,NA,-19.6277143652,-19.5855559926,-18.4844037546,-18.5934683608,NA,-19.832674784,NA,NA,-18.0990794717,NA,NA,NA,2,1,2,1,NA,2,8,6,8,9,6,7,2,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|O00469|PLOD2_HUMAN",-18.9212212797,-16.4795913699,-17.7926725952,-16.5704998826,-17.0212919653,-16.7358316375,NA,NA,NA,NA,NA,NA,NA,-18.7866674354,-18.8519926761,-17.5313612239,NA,-17.6889730327,4,8,4,7,8,7,1,NA,NA,NA,1,NA,4,4,4,4,4,7,NA,NA,NA,0.0505427631578947,0.411764705882353,0.961230470324999,NA,NA,NA
"sp|O00483|NDUA4_HUMAN",NA,-15.278893153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
