task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	ef/c664dc	1409	NFCORE_WOMBAT:WOMBAT:PREPARE_FILES	COMPLETED	0	2023-06-29 11:02:03.103	1m 55s	1.4s	140.5%	72 MB	413.6 MB	11.5 MB	10.3 MB
10	69/e133ab	1910	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (6)	COMPLETED	0	2023-06-29 11:03:58.716	4m 39s	4m 17s	135.4%	2.4 GB	5.6 GB	1.9 GB	586.4 MB
5	17/2da1da	1961	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (2)	COMPLETED	0	2023-06-29 11:03:58.752	4m 53s	4m 24s	132.9%	2.3 GB	5.6 GB	1.9 GB	590.2 MB
9	c5/fd93a3	1953	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (5)	COMPLETED	0	2023-06-29 11:03:58.747	4m 57s	4m 26s	134.6%	2.4 GB	5.7 GB	1.9 GB	604 MB
3	5a/863a7e	1931	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (1)	COMPLETED	0	2023-06-29 11:03:58.735	5m 4s	4m 31s	130.4%	2.3 GB	5.5 GB	1.9 GB	594 MB
4	ef/278149	1904	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (1)	COMPLETED	0	2023-06-29 11:03:58.698	5m 8s	4m 30s	131.5%	2.3 GB	5.5 GB	1.9 GB	594 MB
8	3b/643b05	25225	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (2)	COMPLETED	0	2023-06-29 11:08:37.907	4m	3m 55s	147.5%	2.4 GB	5.3 GB	1.9 GB	590.2 MB
15	ac/aaad40	27163	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (4)	COMPLETED	0	2023-06-29 11:08:52.244	4m 35s	4m 22s	135.2%	2.4 GB	5.6 GB	1.9 GB	599.1 MB
22	f3/d2c4a9	27382	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (8)	COMPLETED	0	2023-06-29 11:08:56.251	4m 37s	4m 24s	135.0%	2.4 GB	5.6 GB	1.9 GB	596.5 MB
12	fc/54afa0	27667	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (8)	COMPLETED	0	2023-06-29 11:09:02.287	4m 31s	4m 20s	136.5%	2.4 GB	5.6 GB	1.9 GB	596.5 MB
6	8b/1a0b98	28514	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (3)	COMPLETED	0	2023-06-29 11:09:07.137	4m 32s	4m 21s	137.0%	2.3 GB	5.7 GB	1.9 GB	605 MB
31	62/7ca123	46758	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (11)	COMPLETED	0	2023-06-29 11:12:37.753	4m 23s	4m 17s	137.5%	2.4 GB	5.6 GB	1.9 GB	586.7 MB
35	8b/5bc806	53106	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (11)	COMPLETED	0	2023-06-29 11:13:39.361	4m 6s	4m 1s	144.6%	2.3 GB	5.3 GB	1.9 GB	586.7 MB
16	71/5b3d68	52181	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (5)	COMPLETED	0	2023-06-29 11:13:33.184	4m 21s	4m 8s	144.7%	2.3 GB	5.6 GB	1.9 GB	604 MB
11	bf/ba530e	51287	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (7)	COMPLETED	0	2023-06-29 11:13:26.908	4m 35s	4m 25s	134.3%	2.3 GB	5.5 GB	1.9 GB	581.6 MB
7	ac/7e782f	52169	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (4)	COMPLETED	0	2023-06-29 11:13:33.165	4m 29s	4m 14s	141.5%	2.3 GB	5.6 GB	1.9 GB	599.1 MB
40	aa/300b2e	70357	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (13)	COMPLETED	0	2023-06-29 11:17:00.925	4m 34s	4m 30s	134.4%	2.3 GB	5.6 GB	1.9 GB	588.8 MB
18	ba/591a5f	74638	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (6)	COMPLETED	0	2023-06-29 11:17:44.937	4m 24s	4m 20s	139.3%	2.3 GB	5.3 GB	1.9 GB	586.4 MB
14	39/e85a49	75933	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (3)	COMPLETED	0	2023-06-29 11:17:54.462	4m 30s	4m 21s	141.2%	2.4 GB	5.6 GB	1.9 GB	605 MB
24	28/fc7952	76783	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (9)	COMPLETED	0	2023-06-29 11:18:01.818	4m 36s	4m 23s	135.9%	2.3 GB	5.5 GB	1.9 GB	585.8 MB
32	07/fabcb4	76799	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (12)	COMPLETED	0	2023-06-29 11:18:01.843	4m 36s	4m 22s	137.7%	2.3 GB	5.6 GB	1.9 GB	593.7 MB
50	da/c82476	94804	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (17)	COMPLETED	0	2023-06-29 11:21:35.345	4m 44s	4m 38s	134.3%	2.4 GB	5.6 GB	1.9 GB	605.7 MB
38	45/2acd80	98200	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (14)	COMPLETED	0	2023-06-29 11:22:08.952	4m 31s	4m 26s	135.8%	2.3 GB	5.5 GB	1.8 GB	589.6 MB
42	a7/7f6394	100140	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (16)	COMPLETED	0	2023-06-29 11:22:24.655	4m 15s	4m 9s	136.9%	2.2 GB	5.3 GB	1.8 GB	549.6 MB
47	f3/e34bc6	101852	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (14)	COMPLETED	0	2023-06-29 11:22:37.844	4m 17s	4m 8s	144.4%	2.3 GB	5.6 GB	1.8 GB	589.6 MB
39	9b/527636	101825	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (15)	COMPLETED	0	2023-06-29 11:22:37.817	4m 35s	4m 27s	137.2%	2.3 GB	5.5 GB	1.9 GB	596.1 MB
13	68/594fc8	119954	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (9)	COMPLETED	0	2023-06-29 11:26:18.887	4m 15s	4m 10s	144.9%	2.3 GB	5.6 GB	1.9 GB	585.8 MB
30	50/0d9613	122300	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (10)	COMPLETED	0	2023-06-29 11:26:39.858	4m 40s	4m 36s	134.6%	2.4 GB	5.6 GB	1.9 GB	605.2 MB
56	9a/1b2976	122295	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (20)	COMPLETED	0	2023-06-29 11:26:39.851	4m 54s	4m 44s	135.6%	2.4 GB	5.6 GB	1.9 GB	622.8 MB
33	e3/34df51	125051	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (13)	COMPLETED	0	2023-06-29 11:26:54.816	4m 49s	4m 37s	134.4%	2.3 GB	5.5 GB	1.9 GB	588.8 MB
65	2d/186b9b	127160	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (23)	COMPLETED	0	2023-06-29 11:27:13.119	4m 40s	4m 33s	137.9%	2.4 GB	5.7 GB	1.9 GB	613.5 MB
43	a6/9caa7d	143060	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (17)	COMPLETED	0	2023-06-29 11:30:34.261	4m 50s	4m 47s	133.9%	2.4 GB	5.8 GB	1.9 GB	605.7 MB
20	03/c46833	147528	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (7)	COMPLETED	0	2023-06-29 11:31:20.249	4m 21s	4m 17s	140.6%	2.3 GB	5.4 GB	1.9 GB	581.6 MB
36	2a/66e258	149297	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (12)	COMPLETED	0	2023-06-29 11:31:33.915	4m 33s	4m 26s	139.7%	2.3 GB	5.6 GB	1.9 GB	593.7 MB
34	6c/968eef	150298	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (10)	COMPLETED	0	2023-06-29 11:31:43.341	4m 34s	4m 26s	141.5%	2.4 GB	5.6 GB	1.9 GB	605.2 MB
48	0c/6675ae	151920	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (15)	COMPLETED	0	2023-06-29 11:31:52.920	4m 31s	4m 22s	141.5%	2.3 GB	5.5 GB	1.9 GB	596.1 MB
72	91/89021b	168955	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (23)	COMPLETED	0	2023-06-29 11:35:24.749	4m 34s	4m 29s	141.9%	2.4 GB	5.7 GB	1.9 GB	613.5 MB
52	de/cf06c7	171001	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (18)	COMPLETED	0	2023-06-29 11:35:41.587	4m 35s	4m 31s	139.7%	2.4 GB	5.9 GB	1.9 GB	612.5 MB
49	46/66f248	175126	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (16)	COMPLETED	0	2023-06-29 11:36:17.021	4m 15s	4m 4s	141.1%	2.2 GB	5.3 GB	1.8 GB	549.6 MB
