"protein_group","number_of_peptides_100.amol_1","number_of_peptides_100.amol_3","number_of_peptides_100.amol_2","number_of_peptides_100.amol_4","number_of_peptides_10.amol_1","number_of_peptides_10.amol_2","number_of_peptides_10.amol_3","number_of_peptides_10.amol_4","number_of_peptides_10.fmol_1","number_of_peptides_10.fmol_2","number_of_peptides_10.fmol_3","number_of_peptides_10.fmol_4","number_of_peptides_1.fmol_1","number_of_peptides_1.fmol_2","number_of_peptides_1.fmol_3","number_of_peptides_1.fmol_4","number_of_peptides_250.amol_1","number_of_peptides_250.amol_2","number_of_peptides_250.amol_3","number_of_peptides_250.amol_4","number_of_peptides_25.fmol_1","number_of_peptides_25.fmol_2","number_of_peptides_25.fmol_3","number_of_peptides_25.fmol_4","number_of_peptides_500.amol_1","number_of_peptides_500.amol_3","number_of_peptides_500.amol_2","number_of_peptides_500.amol_4","number_of_peptides_50.amol_1","number_of_peptides_50.amol_3","number_of_peptides_50.amol_2","number_of_peptides_50.amol_4","number_of_peptides_50.fmol_1","number_of_peptides_50.fmol_2","number_of_peptides_50.fmol_3","number_of_peptides_50.fmol_4","number_of_peptides_5.fmol_1","number_of_peptides_5.fmol_3","number_of_peptides_5.fmol_2","number_of_peptides_5.fmol_4","differential_abundance_pvalue_X1.fmol.100.amol","differential_abundance_pvalue_X10.amol.100.amol","differential_abundance_pvalue_X10.fmol.100.amol","differential_abundance_pvalue_X25.fmol.100.amol","differential_abundance_pvalue_X250.amol.100.amol","differential_abundance_pvalue_X5.fmol.100.amol","differential_abundance_pvalue_X50.amol.100.amol","differential_abundance_pvalue_X50.fmol.100.amol","differential_abundance_pvalue_X500.amol.100.amol","differential_abundance_qvalue_X1.fmol.100.amol","differential_abundance_qvalue_X10.amol.100.amol","differential_abundance_qvalue_X10.fmol.100.amol","differential_abundance_qvalue_X25.fmol.100.amol","differential_abundance_qvalue_X250.amol.100.amol","differential_abundance_qvalue_X5.fmol.100.amol","differential_abundance_qvalue_X50.amol.100.amol","differential_abundance_qvalue_X50.fmol.100.amol","differential_abundance_qvalue_X500.amol.100.amol","abundance_100.amol_1","abundance_100.amol_2","abundance_100.amol_3","abundance_100.amol_4","abundance_10.amol_1","abundance_10.amol_2","abundance_10.amol_3","abundance_10.amol_4","abundance_50.amol_1","abundance_50.amol_2","abundance_50.amol_3","abundance_50.amol_4","abundance_250.amol_1","abundance_250.amol_2","abundance_250.amol_3","abundance_250.amol_4","abundance_500.amol_1","abundance_500.amol_2","abundance_500.amol_3","abundance_500.amol_4","abundance_1.fmol_1","abundance_1.fmol_2","abundance_1.fmol_3","abundance_1.fmol_4","abundance_5.fmol_1","abundance_5.fmol_2","abundance_5.fmol_3","abundance_5.fmol_4","abundance_10.fmol_1","abundance_10.fmol_2","abundance_10.fmol_3","abundance_10.fmol_4","abundance_25.fmol_1","abundance_25.fmol_2","abundance_25.fmol_3","abundance_25.fmol_4","abundance_50.fmol_1","abundance_50.fmol_2","abundance_50.fmol_3","abundance_50.fmol_4"
"sp|P00761|CON__TRYP_PIG;CON__P00761",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.785618116911179,0.781972183470158,0.125264871124793,0.12432758640715,0.655179188043662,0.927855581943399,0.669552417241515,0.798667635819843,0.98706714886125,0.993565626383572,0.998605122602279,0.814988683244898,0.558626512706489,0.998263294761619,0.994979784212523,0.999173466223241,0.947193167701944,0.999867011537845,32.3587222473764,32.4969805586011,32.3474569903784,32.2859901411035,32.3182615474705,32.539302156329,32.4154220215397,32.5353293208452,32.4332313086528,32.5260309216574,32.5214978031574,32.5009758851524,32.5854119838812,32.524704137594,32.3411840684643,32.5533803028112,32.452525297961,32.3297614768921,32.327955812819,32.3975898612578,32.3731194130528,32.3834673423481,32.5359546383054,32.5102951172125,32.3224894740104,32.4305914902139,32.4464208622941,32.3940108367156,32.4422502322226,30.5816292828928,32.3146991780021,32.3498153647914,32.417634605937,30.5661439376263,32.2845518929671,32.4154101281544,32.348139931593,32.4446938341784,32.2468443370182,32.1553344123585
"sp|P02533|CON__K1C14_HUMAN;CON__P02533;sp|Q04695|CON__K1C17_HUMAN;CON__Q04695;sp|Q9QWL7|CON__K1C17_MOUSE;CON__Q9QWL7;sp|Q9Z2K1|CON__K1C16_MOUSE;CON__Q9Z2K1;tr|Q3ZAW8|CON__Q3ZAW8_MOUSE;CON__Q3ZAW8;sp|Q6IFX2|CON__K1C42_MOUSE;CON__Q6IFX2;tr|Q61782|CON__Q61782_MOUSE;CON__Q61782",5,2,2,4,3,3,1,2,6,4,2,7,4,2,2,4,2,4,3,4,6,5,7,4,2,2,2,3,3,2,2,3,7,9,8,8,4,3,3,3,0.460358270349007,0.193675056150831,0.332997710591491,0.0226580698003751,0.720946063426272,0.0912409032348285,0.957294863087088,0.000137801911026196,0.296536353373842,0.993565626383572,0.998605122602279,0.919774476419373,0.303485211946204,0.998263294761619,0.768397543168357,0.999173466223241,0.00666134437900634,0.999867011537845,24.2613530711567,23.0034861813843,22.864677084721,24.127113081395,23.384506726869,22.6547533570852,23.0965329834872,22.9222012767718,23.4677436002156,24.1224094766481,22.7215061974887,24.0343268935024,23.261568085676,23.2501979886946,24.1243047787854,24.2172082977117,22.7756053830099,24.0117525998295,22.8629398410487,22.8490883029998,23.7639766818252,23.0266522997061,24.0442487905016,24.6590628997971,24.644690048405,24.5967775014215,23.8521806099847,24.0468999006235,24.0879239591695,23.4025751313392,23.3381152255264,25.0556625336877,25.165037231144,24.4699936643883,25.1236540769916,23.4651888844537,25.358584830322,25.4167179928901,25.4293985366401,25.2315422514293
"sp|P02538|CON__K2C6A_HUMAN;CON__P02538;sp|Q8VED5|CON__K2C79_MOUSE;CON__Q8VED5;sp|P19013|CON__K2C4_HUMAN;CON__P19013",0,0,0,0,0,0,0,0,1,1,0,2,0,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.6788571214942,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8579370802075,23.1236420836873,NA,NA,NA,23.7846452217389,NA,23.4352031930799,23.1149631429116
"P02768ups|ALBU_HUMAN_UPS;sp|P02768|CON__ALBU_HUMAN;CON__P02768-1;sp|P02768-2|CON__ALBU_HUMAN;sp|P02768-3|CON__ALBU_HUMAN;sp|P02769|CON__ALBU_BOVIN;CON__P02769",15,4,6,5,5,6,7,4,36,40,26,38,11,11,22,19,8,7,12,8,45,45,42,41,8,8,11,13,5,4,6,9,46,44,47,47,29,31,33,30,4.79163780171451e-09,0.0474884138743433,4.88105387007423e-20,4.35417255683878e-23,0.00760312169218948,1.28978083295342e-17,0.146331972936284,6.82468577067407e-25,7.57102176188766e-05,1.90787045138266e-06,0.998605122602279,5.852383590219e-17,5.7888770855974e-20,0.998263294761619,1.55096145162649e-14,0.999173466223241,1.64952655077192e-21,0.0302083768299318,26.8788296815774,25.9476650413173,25.5346977442062,25.8030720654352,26.2110988958626,26.5499558531984,26.9300276274803,26.5531556311285,26.0511776316616,26.5979180862847,25.8753799415438,27.1418464519796,26.1984460864801,26.6417056244383,27.2838536807112,26.9164393900267,26.7639242874592,27.5011048354994,26.9677210753951,27.5171181664161,27.5578320143461,27.9696068201317,28.5417320578136,28.1249906871181,30.2810706601325,30.5373256080062,30.3299110947166,30.3944998466263,31.3218172065713,31.3792033600499,31.1546604351596,31.3593301847719,32.7112400331781,32.7248503182378,32.6772905028926,32.6735628857218,33.6849434245061,33.6878269984727,33.598030436617,33.7148987981886
"sp|P05787|CON__K2C8_HUMAN;CON__P05787;sp|P05787-2|CON__K2C8_HUMAN;CON__H-INV:HIT000292931",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4826897276809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sp|P07744|CON__K2C4_MOUSE;CON__P07744",0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.78865773765728,0.786676457655638,0.799492047687983,0.793591763201702,NA,0.873267676422376,NA,NA,NA,0.993565626383572,0.998605122602279,0.99026174205498,0.972569246236657,NA,0.992731508945582,NA,NA,NA,NA,NA,NA,25.9507036345018,NA,NA,NA,26.046071781699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0451495232316,NA,NA,NA,26.0066099340196,NA,NA,25.7732434420082,25.9732817614147,NA,NA,NA,26.0428574093546,NA,NA,NA,NA
"sp|P08779|CON__K1C16_HUMAN;CON__P08779",1,0,1,1,0,0,1,1,1,1,0,3,0,0,0,1,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,0.752764633973207,0.963379386241228,0.03892286328328,0.000962613723933075,NA,0.666928960277159,NA,1.96897676701436e-05,NA,0.993565626383572,0.998605122602279,0.603405037705004,0.0465983623095766,NA,0.991548442232006,NA,0.00118975421146843,NA,19.9900049168269,21.8681485516506,NA,NA,NA,NA,20.890656930678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.6650041611398,21.663112721454,21.0313775857349,21.1125990676115,20.9313612109531,21.3991984837201,21.7861118348005,NA,23.8003085570726,23.5091379263602,23.343437105176,23.1826307964639,23.4230587628167,24.7583206844595,24.8165633111162,24.0173222515457,24.9528773881617
"CON__P13645;sp|P13645|CON__K1C10_HUMAN;CON__P02535-1;sp|P02535|CON__K1C10_MOUSE;sp|P02535-2|CON__K1C10_MOUSE;sp|P02535-3|CON__K1C10_MOUSE;sp|P08730-2|CON__K1C13_MOUSE;CON__Q7Z3Y8;CON__Q7Z3Z0;sp|Q7Z3Y8|CON__K1C27_HUMAN;sp|Q99456|CON__K1C12_HUMAN;sp|P13646-2|CON__K1C13_HUMAN;CON__Q99456;sp|Q7Z3Z0|CON__K1C25_HUMAN;CON__P05784;sp|P05784|CON__K1C18_MOUSE;CON__Q2M2I5;sp|Q2M2I5|CON__K1C24_HUMAN;CON__O76013;CON__Q14525;sp|Q14525|CON__KT33B_HUMAN;CON__Q7Z3Y9;sp|Q7Z3Y9|CON__K1C26_HUMAN;CON__A2AB72;sp|O76013|CON__KRT36_HUMAN;CON__Q15323;CON__Q9UE12;CON__A2A5Y0;sp|Q61765|CON__K1H1_MOUSE;sp|Q497I4|CON__KRT35_MOUSE;sp|Q15323|CON__K1H1_HUMAN;CON__Q497I4;CON__Q14532;sp|Q14532|CON__K1H2_HUMAN;CON__Q92764;CON__REFSEQ:XP_986630;sp|O76013-2|CON__KRT36_HUMAN;sp|Q92764|CON__KRT35_HUMAN",20,14,13,13,15,14,12,14,17,17,16,14,15,15,15,13,16,16,13,15,19,16,15,19,16,15,15,18,16,16,15,13,21,20,23,21,15,14,11,15,0.251906118656024,0.911735461818113,0.207451913927614,0.00795322814508075,0.385470821005267,0.453648588091313,0.435024395166089,0.000354849088873364,0.172512971022266,0.993565626383572,0.998605122602279,0.852210913159875,0.174602712747244,0.998263294761619,0.951874498609355,0.999173466223241,0.0134507292890891,0.999867011537845,29.1882300724169,28.8965198972161,29.2852047841466,28.8786240186875,29.2272834497154,29.2109756076927,28.8786943472342,28.9870280355278,29.3207565793944,29.1359020905979,29.3308393513296,28.8531119636446,29.2838965536629,29.3814372583827,29.117061452364,28.9025305908985,29.3751090415488,29.0704164636539,29.3399335306884,29.155170609173,29.0152025149523,29.354050636775,29.3250970553776,29.1328909295356,29.1930810085952,28.9986798289418,29.2023055967027,29.230691461631,29.318002805175,29.2974160371979,29.0991492050286,29.1721140475087,29.4235993740538,29.3729724631221,29.2378022098129,29.6191506607321,29.6128872260514,29.6538847402341,29.3141363619172,29.651707451004
"sp|P13647|CON__K2C5_HUMAN;CON__P13647;CON__H-INV:HIT000016045;sp|Q9DCV7|CON__K2C7_MOUSE;CON__Q9DCV7;sp|P08729|CON__K2C7_HUMAN;CON__Q3KNV1;CON__P08729;CON__Q9H552;sp|Q9NSB2|CON__KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0",3,2,2,2,3,2,1,1,2,5,1,2,2,2,2,2,3,3,0,3,4,4,2,3,2,2,2,2,2,2,2,2,5,2,5,6,3,2,3,1,0.0109134257510245,0.617199010121083,0.832881943324152,0.108172221288334,0.308836737602215,0.0854421324753497,0.919046352381003,0.00275719901518237,0.480913843929508,0.611596899790758,0.998605122602279,0.995301703574562,0.530189645080829,0.998263294761619,0.761106669880544,0.999173466223241,0.0537431453201273,0.999867011537845,23.2342861499159,23.5208117917912,23.5719910355988,23.3633293249973,24.3419112889439,23.48019637346,23.3003438968845,23.392436033689,23.6985648305762,23.4121117356164,23.0878170161869,23.6591749571081,24.3211404866059,24.0327941729425,NA,23.2844512506102,23.8770669419168,23.6818619216278,NA,NA,23.5328410051441,NA,22.2606251965874,20.8508707064512,23.0881723662397,22.2264636805428,22.5802380956933,22.8802654273787,NA,24.6936188694041,22.8322513960187,23.0233291027226,24.4523644551924,23.7518906433759,NA,24.2609749083659,24.6162100691829,24.6179775198514,24.5353898331908,25.3192352961015
"sp|P35527|CON__K1C9_HUMAN;CON__P35527",14,11,12,13,13,12,12,13,15,15,12,14,15,12,12,11,13,13,12,12,17,16,15,16,12,13,12,13,12,12,12,13,18,19,18,19,13,15,13,13,0.575841767399953,0.357543823017892,0.386208593337163,1.06930020406789e-06,0.966415304107422,0.640936998650849,0.689370590307956,4.36996626201493e-13,0.46641817870037,0.993565626383572,0.998605122602279,0.937153838684756,7.45994142367362e-05,0.998263294761619,0.986357218395178,0.999173466223241,5.86789358627226e-11,0.999867011537845,28.4215379829616,28.3931185248112,28.323011219859,28.4997008811374,28.4993385875165,28.538340902408,28.4531841642539,28.4825120455227,28.3669304333312,28.4066646230494,28.4916876833979,28.5172568771377,28.5523417466065,28.4959602374149,28.3958862190645,28.1779077504829,28.5449415475565,28.4985081190465,28.4652207348659,28.394006696338,28.6055712144964,28.4665929607618,28.4583335099391,28.3103154614564,28.3823159854298,28.44549863783,28.5783636894868,28.0617232042334,28.4870878252575,28.6366387061596,28.3253044985475,28.5045472663252,28.9482492169895,28.9776588207208,28.8832665018864,28.9956987764969,29.4105776402421,29.4331136828017,29.4165188081241,29.6139385922673
