"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3","log_fold_change_infected_vs_control","differential_abundance_pvalue_infected_vs_control","differential_abundance_qvalue_infected_vs_control"
"Q3TW96",NA,NA,NA,1,NA,NA,18.8740262495651,18.8976996797685,16.9904559334725,18.556865814456,18.0148023857247,19.0408663866878,2.20422454321829e-19,0.999999999262997,1
"P28352",6,10,6,6,4,7,20.8516463957874,20.5390642305976,19.7159265385873,19.9987026905965,19.4842579913209,20.2946334692033,-0.34936164278412,0.00137593778821859,0.0185232379602635
"Q60864",15,10,9,15,9,12,20.985434639911,20.3955132491499,19.6821511392516,20.6181298326601,19.8663743823621,20.7154005240909,1.81413677934011e-11,0.999993349929401,1
"Q9Z2D6",6,8,4,5,2,5,19.5401477448099,19.5844577030007,18.8152943645411,18.730335873649,18.2895038878867,19.382704860912,-0.444662877863981,0.0125149193226529,0.0888497008628143
"Q78PY7",8,7,4,11,6,12,19.2017335852449,18.7021162826411,18.0767797304653,18.9898030724581,18.5981386090965,19.4837909447221,0.388318384096082,6.80689990082083e-09,1.21418076980891e-06
"Q61233",33,31,29,29,28,25,22.799285546777,22.370989434815,21.670545554404,22.232407806389,21.7451997276766,22.7636446578549,-8.35991745468391e-20,0.999999999420192,1
"P21107",6,5,6,7,6,6,22.6315801394804,21.8525056259074,20.7463237615653,21.4965194931023,20.9795344397403,22.1617356578836,-0.0882910839894052,0.328052803248645,0.781521452814386
"Q9ERK4",6,5,6,6,5,5,19.5373302872329,19.3005987727264,18.4446275698637,19.3413145389138,18.8777650421794,19.9168796334775,0.32704581492279,0.00287551113990055,0.0310860181563491
"P07724",18,9,13,11,9,11,20.8602869141993,20.1231001010227,19.2908978952504,19.9904154436808,19.2332289112575,20.1018154887858,-2.62510572338009e-08,0.999692593412185,1
"P52480",27,25,25,28,23,29,21.3123838433622,20.9548328968093,20.2046186595188,20.813240747298,20.4830535736776,21.394014418047,6.18919114552384e-09,0.999709964435677,1
"P67778",11,10,8,10,9,10,20.8199393404499,20.3130345309706,19.5283419838724,20.157453583844,19.8359727678185,20.7152675993506,5.19520204314866e-10,0.999898567421325,1
"P62259",8,6,7,8,8,8,21.794473234215,21.1564770620786,20.3533035668223,20.9195647576915,20.4282719400168,21.3428907675518,-0.031034533171541,0.555030289250611,1
"Q8K2B3",15,10,11,9,5,8,20.512921328731,19.7749437430391,19.0761808503557,19.2926467241152,19.1723577009826,20.1222264181939,-0.159042056080055,0.0754551958613861,0.2760886269082
"Q63829",NA,1,NA,NA,NA,NA,17.9844956592143,18.316655394231,16.2381353720767,17.3119684619807,17.5163149351335,17.7047246348178,1.50641710684573e-20,0.999999999938705,1
"Q64674",3,3,NA,3,4,3,19.1459594746134,18.7755106451343,18.1903065208097,18.6905404520055,18.4394784319189,19.10123754591,3.1883950805189e-07,0.998716684145226,1
"Q8BK67",11,14,14,10,14,16,20.0113503618712,19.896809571792,19.0967105954605,19.2570975651379,19.003996592222,20.1519712716607,-1.45395344765669e-09,0.999933202998721,1
"Q64737",4,NA,NA,4,3,7,17.7665727089989,17.064008893845,16.6125895952888,17.6669404894304,16.4730602936941,17.7659079585845,0.170401274802623,0.340386994839651,0.797878062353927
"Q61878",6,4,5,6,8,10,19.1967675678436,17.9917829480782,17.6999383695906,20.6250848632499,19.1542313107371,20.6451674075201,1.82598564465479,6.71526809307083e-07,4.16638589948351e-05
"P47955",1,1,1,1,1,2,24.5103154334764,24.1415577186761,23.8336335298332,23.9357044493713,23.4402739759725,24.4877116399472,-2.69583448577549e-20,0.999999999850705,1
"Q9WTM5",5,7,6,5,6,7,19.5532041974926,19.377933752555,18.7239509983981,19.1356512541597,18.8013756518253,19.6252192208746,1.51653487641524e-20,0.999999999776922,1
"Q64324",NA,3,NA,NA,1,1,19.7013352575504,18.6146373912213,18.2857169739534,18.7489103816068,18.5734559508887,20.1680562104383,2.45331941662506e-19,0.999999999194362,1
"Q9CR57",4,5,2,3,3,3,22.5018645921985,21.8013351012413,20.9367431250538,21.7723220132765,21.2032210302212,22.269362312191,5.96391556473232e-20,0.999999999513009,1
"P56959",7,6,6,4,5,8,21.3984708560142,20.7494916996765,19.8913822887856,19.8770771065768,19.8970558590713,20.9093321865528,-0.298478422452289,0.0581711437949901,0.238535121251296
"Q9JIK5",18,16,8,15,13,19,20.0874012229612,19.8219985499288,19.1585607282375,19.5273574555728,19.3496571889631,20.3971126839184,2.45862532372094e-10,0.999960904345075,1
"Q9CZN7",5,6,4,5,4,7,20.2585292444973,19.7292737032153,18.5102270896315,19.7634350378936,19.5127986958919,20.3606869489696,0.420922053124746,0.00111699671615752,0.0157817258807602
"Q9DBR1",10,5,3,4,4,7,19.453249616006,18.5638675125965,18.1642773674624,18.5579662174593,18.4741336975249,18.9980686010036,-4.11423281017363e-17,0.999999992663971,1
"Q6P4T2",15,17,12,17,13,23,19.3350959851182,19.1027793378851,18.5100795979713,19.0464200412369,18.6905391032248,19.5850400448103,0.174691721775658,0.0500122690892727,0.215611806617499
"O88593",4,3,3,3,3,4,21.260603037577,20.4817195567978,19.542788297172,19.9556713049016,19.64031737088,20.6607889868048,-0.211172422792595,0.0524917990832756,0.222272395524731
"P62852",5,5,5,4,4,5,21.1372124444656,20.5100035094047,19.634756401343,20.621252851721,20.0061706617801,20.9204266147266,0.145254953765425,0.220394957401766,0.58676045562
"O54786",5,6,2,4,2,5,19.5882620695735,19.4179048315648,18.2598469659252,18.5461973798349,18.1004110263038,19.1983586401225,-0.326108227845218,0.00110208705213073,0.0157267822339055
