"protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","differential_abundance_pvalue_infected.control","differential_abundance_qvalue_infected.control","abundance_control_1","abundance_control_2","abundance_control_3","abundance_infected_1","abundance_infected_2","abundance_infected_3"
"CON__P00761",4,4,4,4,4,4,0.186441356162635,0.518374887353755,30.6222801660316,30.0256707651846,30.7359422016074,30.1501464904047,30.3298725642109,29.6754717460176
"CON__P01966",1,1,1,1,1,1,0.0344165640931083,0.275487935317213,30.2022949547458,29.4668162843743,29.8958139161718,22.0003323109125,29.4796572012018,22.4059968865575
"CON__P02533;CON__P08779;sp|Q61781|K1C14_MOUSE;sp|Q6IFX2|K1C42_MOUSE;CON__Q3ZAW8;CON__Q9Z2K1;sp|Q9Z2K1|K1C16_MOUSE;CON__A2A4G1;CON__P19012;sp|Q61414|K1C15_MOUSE;CON__Q6IFX2;sp|Q9QWL7|K1C17_MOUSE;CON__Q9QWL7;CON__Q04695;sp|Q8CCX5|KT222_MOUSE;CON__Q9D312;sp|Q9D312|K1C20_MOUSE;CON__P35900;CON__P19001;sp|P19001|K1C19_MOUSE;CON__P08727;CON__Q8N1A0;CON__Q61782",0,3,5,1,0,0,0.575115717113694,0.814800382816534,NA,21.3148835672909,24.0312608191366,21.850338174205,NA,NA
"CON__P48668;CON__P04259;CON__P02538;CON__O95678",1,1,2,1,0,0,0.72683909136975,0.894019257499219,18.6922250072067,20.6740137664605,22.6327421785583,20.0815369215617,NA,NA
"CON__P04264;sp|P04104|K2C1_MOUSE",20,26,27,24,14,12,0.111880960433232,0.442551354602562,26.0531535362669,27.7544511126055,29.6263774192769,27.8472707471038,24.5538763478831,24.0243989553936
"CON__P13645;sp|P02535|K1C10_MOUSE;CON__P02535-1;CON__Q7Z3Z0;CON__Q7Z3Y8;CON__Q148H6;CON__Q7Z3Y7;sp|Q8VCW2|K1C25_MOUSE;sp|Q9Z320|K1C27_MOUSE;CON__Q7Z3Y9;CON__Q2M2I5",17,19,20,19,12,11,0.0694184929166155,0.369638641769671,26.8920304508866,28.0993192735097,29.1058467911507,27.8338403354314,25.1670822836459,25.5278968379095
"CON__P13647",0,3,3,1,0,0,0.104448902528507,0.433542270844012,NA,22.7760907813659,24.2586155513666,21.8137852053662,NA,NA
"CON__P35527",9,13,13,14,7,7,0.192793529185344,0.525647127713214,25.0833348517395,27.1956209114194,29.2495318132625,27.2207848709626,24.8755024166155,24.0741731321082
"CON__P35908v2;CON__P35908;sp|P07744|K2C4_MOUSE;CON__P07744;CON__Q5XKE5;sp|Q6NXH9|K2C73_MOUSE;CON__Q6NXH9;CON__Q01546;CON__Q8N1N4-2;CON__Q7RTT2;CON__Q7RTS7;sp|Q8VED5|K2C79_MOUSE;CON__Q8VED5;CON__Q32MB2",7,10,12,10,5,2,0.114730563615496,0.446929649819721,24.2272166662675,25.3654724019152,26.6916952885182,25.4402933125656,23.4370283189889,21.6384865133625
"CON__Q61726;sp|Q9ERE2|KRT81_MOUSE;sp|P97861|KRT86_MOUSE;CON__O43790;CON__Q6NT21;CON__P78385;sp|Q6IMF0|KRT87_MOUSE;CON__Q14533;sp|Q9Z2T6|KRT85_MOUSE",0,0,0,0,2,0,NA,NA,NA,NA,NA,NA,23.3748903789447,NA
"REV__sp|Q80YF9|RHG33_MOUSE",1,2,1,1,1,1,0.00938740316900105,0.181064408589858,23.9343678268454,24.4814508255013,24.2393542961677,23.0840192102564,19.6989464633817,20.9073117472769
