"","protein_group","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_infected_1","number_of_peptides_infected_2","number_of_peptides_infected_3","abundance_control_1","abundance_infected_1","abundance_control_2","abundance_infected_2","abundance_control_3","abundance_infected_3","log_ratios_infected..vs.control.","differential_abundance_qvalue_infected..vs.control."
"1","sp|Q8VDD5|MYH9_MOUSE",73,62,56,65,47,74,28.2609625917574,27.7692706693047,27.8821197540948,27.2449138388233,27.2713944914684,28.3279022182302,-0.0241300369874663,1
"2","sp|Q8BTM8|FLNA_MOUSE",54,41,35,55,28,58,27.1979741882444,26.609366674531,26.8513006911589,26.2241899938379,26.1750055088068,27.2237065562982,-0.0556723878476681,1
"3","sp|P60710|ACTB_MOUSE",47,44,31,38,31,41,31.986998000368,31.132110273412,31.3340005683174,30.6344770666376,30.6489341866387,31.5696315138265,-0.211237967149334,1
"4","sp|P26039|TLN1_MOUSE",36,32,21,36,27,43,26.0141172084769,25.7217704006464,25.6863126497852,25.4605297632252,25.1732193295405,26.3321105974675,0.213587191178833,1
"5","sp|P63017|HSP7C_MOUSE",33,34,28,32,28,32,27.99868949911,27.3186761618768,27.6084828108708,26.9436074422877,26.6514255484188,27.7996017864199,-0.0655708226050666,1
"6","sp|Q61233|PLSL_MOUSE",30,25,25,26,26,28,27.9673640088166,27.4254798523839,27.5523158958094,27.0427085806817,26.8903565046174,28.0869773233555,0.0483764490592347,1
"7","sp|P14733|LMNB1_MOUSE",31,27,21,21,19,27,27.0883463591513,26.2671621555083,26.962209753378,26.0525760105668,26.1249135902985,27.1952310119048,-0.220166841615968,1
"8","sp|P11499|HS90B_MOUSE",30,29,26,30,27,31,27.4554402324887,27.238709984209,27.2506082403281,26.7104599509012,26.1871780670039,27.5825418216971,0.2128284056622,1
"9","sp|P26041|MOES_MOUSE",31,19,17,21,16,25,27.454506518934,28.426374435468,28.8993919601359,28.2001336619169,26.1201166679021,29.1596211585048,1.1040380363059,0.999963427709092
"10","sp|P52480|KPYM_MOUSE",28,21,21,29,19,28,26.9840082879195,26.3519888534971,26.6821752885275,26.0769077258522,25.9162330144292,26.9826634172406,-0.0569521980954318,1
"11","sp|P07901|HS90A_MOUSE",27,26,23,26,25,27,26.9119213186882,26.7599703453457,26.7109176016286,26.195603948356,25.6576061948214,27.076028267344,0.250385815302498,1
"12","sp|Q7TPR4|ACTN1_MOUSE",31,28,17,15,10,15,26.4844873486565,25.1970431225831,25.8220356911216,24.7708448305516,25.1839285154175,25.6643110992269,-0.619417500944666,0.336091586425764
"13","sp|Q68FD5|CLH1_MOUSE",20,14,11,20,12,27,25.7184126771336,25.2660671969486,25.3089080817308,24.9618795724839,24.6846815343436,25.7866121343584,0.100852203527635,1
"14","sp|P08071|TRFL_MOUSE",22,27,18,23,16,26,26.6083292805015,25.4623147922572,26.5525066964468,25.1632797510388,25.3761844890172,26.1565716570036,-0.584951421888634,0.616431816931572
"15","sp|P14824|ANXA6_MOUSE",24,20,14,20,11,21,27.1397321350888,25.8321146891109,26.4265163553787,25.315186470287,25.4361979864879,26.7293022994474,-0.3752810060367,1
"16","sp|P62806|H4_MOUSE",21,19,18,16,20,22,31.8879448659787,31.3389542260456,31.9359958024314,31.2175220143252,31.3627076971599,32.063348831037,-0.188941098054067,1
"17","sp|O89053|COR1A_MOUSE",23,20,19,18,16,24,28.5637393996216,27.8233490652,28.05029058487,27.4574627943098,27.6813575654872,28.5659360069589,-0.149546561170034,1
"18","sp|P27773|PDIA3_MOUSE",27,21,19,20,17,23,26.6970944048961,26.0597100041727,26.1299798992039,25.7432011233333,25.3466100360089,26.6529293065562,0.0940520313177669,1
"19","sp|P20152|VIME_MOUSE",27,23,14,16,12,25,26.7450061401958,25.9183528275671,26.4327976325988,25.7895747367732,25.652754289789,26.7127551490557,-0.136625116395867,1
"20","sp|P57780|ACTN4_MOUSE",24,22,10,13,13,17,25.9799277067014,24.8602936237851,25.2588082549795,24.454470623767,24.6197433317209,25.2929419579657,-0.416924362628,1
"21","sp|P20029|BIP_MOUSE",22,18,15,19,18,24,26.7998739695169,26.255463879767,26.2903383981639,25.9423490345578,25.377181001829,26.8294633846175,0.186627643144167,1
"22","sp|P16546|SPTN1_MOUSE",21,19,13,15,8,19,25.2549575186865,24.3637937519055,24.9264300169511,24.1618399953154,24.2692137326356,25.1983417697123,-0.242208583779999,1
"23","sp|P68033|ACTC_MOUSE",25,20,17,20,16,18,31.3865093093283,30.5243114262486,30.5636183861492,29.903630894402,29.9822511800075,30.9148245195855,-0.196537345082966,1
"24","sp|Q60710|SAMH1_MOUSE",21,19,13,16,12,19,26.60667584807,25.9376795783801,26.4687233423075,25.6109860615439,25.7812881669679,27.2635478833049,-0.0148246113721674,1
"25","sp|P58252|EF2_MOUSE",20,19,16,21,15,24,27.0093900686911,26.5958877887808,26.4095767463675,26.0704813111083,25.8050438855501,27.1933178031944,0.2118920674916,1
"26","sp|P15864|H12_MOUSE",19,21,16,16,16,16,30.5003198960102,29.6755789276875,30.5302655849343,29.5695485413644,29.8476847816097,30.5336833354312,-0.3664864860237,1
"27","sp|P09405|NUCL_MOUSE",22,20,17,19,12,17,26.9041552686491,26.0770503915897,26.3712322613332,25.8176046588706,25.6539588503173,26.6682859986006,-0.1221351104129,1
"28","sp|P17182|ENOA_MOUSE",20,19,15,16,12,21,28.4351896606235,27.2749718432167,27.7975476433367,26.874221472915,26.885711173225,27.8927593020454,-0.358831953002701,1
"29","sp|Q8BFZ3|ACTBL_MOUSE",21,18,14,16,12,15,31.0642725675383,30.0847584403908,30.2701541461781,29.6550937114325,29.5862577510565,30.4493083702796,-0.243841314223334,1
"30","sp|P49290|PERE_MOUSE",15,8,11,21,19,23,25.0275611571621,26.3802672383303,24.1678154876821,25.7368972466418,23.6204087903781,26.9480549051371,2.08314465162897,0.00216752150662995
"31","sp|Q8VEK3|HNRPU_MOUSE",17,13,11,15,10,14,26.9364867997522,26.0871814906677,26.4504700005957,26.0062464542965,25.8999640527497,26.8589864466693,-0.111502153821366,1
"32","sp|P43277|H13_MOUSE",19,19,16,15,14,14,30.4589925270209,29.6114364131461,30.4851308392362,29.5225633334816,29.8023938913275,30.4568832755924,-0.385211411788166,1
"33","sp|P56480|ATPB_MOUSE",19,15,16,18,17,18,26.9285765654599,26.1699962387193,26.4019635656829,25.3815796513514,25.6158516377603,26.8980952930743,-0.165573528586034,1
"34","sp|P99024|TBB5_MOUSE",17,16,14,16,16,18,26.6859257034346,26.1298121940338,26.5608754082797,26.2493061915496,25.429204053642,27.4797220527492,0.394278424325434,1
"35","sp|P10126|EF1A1_MOUSE",15,15,14,16,16,16,27.8722632401915,27.3512087156001,27.4176227036237,27.0781838789352,26.8753893068104,28.1625740353973,0.142230459768999,1
"36","sp|P43274|H14_MOUSE",18,18,15,14,13,14,29.7549057449486,28.8623619107485,29.7579780427551,28.70794253725,28.8870811338835,29.7121569955613,-0.372501159342466,1
"37","sp|P40142|TKT_MOUSE",19,17,14,16,14,20,26.9576057458251,26.1387664491724,26.3673960869075,25.7454959462321,25.714873088343,26.8361052680358,-0.106502419211766,1
"38","sp|P29351|PTN6_MOUSE",18,18,14,18,14,19,25.6943325917457,25.2453121666254,25.2682996945313,24.8756790555745,24.7906535498736,25.92445253794,0.0973859746631002,1
"39","sp|P68372|TBB4B_MOUSE",19,15,13,15,15,18,26.5374570658651,25.8617375149928,26.402572331326,26.0528287102013,25.2933417002949,27.3379853727684,0.339726833492167,1
"40","sp|P16858|G3P_MOUSE",17,13,12,13,13,15,28.8390659310324,27.4514814157186,28.0431147518082,26.9865632181233,27.3334263161925,28.1183522819607,-0.553070027743501,0.63463161641064
"41","sp|Q01853|TERA_MOUSE",12,16,9,14,10,17,26.0819113379413,25.3038122358976,25.5778935781544,24.9901705448041,24.6468138991089,25.9856581732016,-0.00899262043376581,1
"42","sp|Q9JKF1|IQGA1_MOUSE",18,14,12,16,13,19,25.3890841976188,24.9576693274261,25.1643043750002,24.6849460087298,24.4817236899613,25.5906269082956,0.0660433272904003,1
"43","sp|P40124|CAP1_MOUSE",19,16,14,15,10,16,26.5617340376577,25.8736336344819,26.3245151447346,25.4884354480556,25.5057124733703,26.9286724296029,-0.0337400478740655,1
"44","sp|Q03265|ATPA_MOUSE",16,15,15,17,15,18,26.9623213268431,26.0654665918828,26.4371597531026,25.7712463403219,25.66638861584,26.6223423273943,-0.2022714787289,1
"45","sp|O88569|ROA2_MOUSE",17,16,17,15,13,18,27.3747089215753,26.1162781167193,26.6786455896521,25.8631549077405,25.8888274003851,26.8903972350492,-0.357450550701166,1
"46","sp|Q99KI0|ACON_MOUSE",18,13,12,13,10,15,25.4926495306684,24.596176217891,24.882900382415,24.4026643135404,24.6720350841634,25.8080093886956,-0.0802450257066004,1
"47","sp|Q02053|UBA1_MOUSE",15,11,11,12,12,13,25.2512058664889,24.6496183313764,24.9128814806691,24.4693121628219,24.5295523248254,25.1082229322064,-0.1554954151929,1
"48","sp|O88342|WDR1_MOUSE",16,15,11,14,9,9,26.1383897751417,25.0628934914076,25.6633800286255,24.6105532537886,24.766491502381,25.598774371494,-0.432013396486001,1
"49","sp|P18760|COF1_MOUSE",14,14,15,14,12,13,28.4175983685232,27.6528981332486,27.9288932272032,27.6120110827799,27.3062390407299,28.5922923237345,0.0681569677688998,1
"50","sp|P24527|LKHA4_MOUSE",15,10,9,9,8,11,25.6428617048184,24.56555443056,25.0501126906202,24.0620850165374,24.0437627527815,24.944059742815,-0.388345986102568,1
"51","sp|P05064|ALDOA_MOUSE",16,13,8,12,9,12,26.3367583768295,25.229162358034,25.605588819824,24.8544191942044,24.7195505073992,25.8543649739128,-0.2413170593005,1
"52","sp|P06800|PTPRC_MOUSE",14,11,12,13,9,18,25.5656650562744,24.8060093904669,25.0247546712062,24.3877286459694,24.3485624336262,25.3289778160894,-0.1387554361937,1
"53","sp|P08113|ENPL_MOUSE",15,10,10,15,13,19,25.616942065652,25.529565430646,25.133468363677,25.2421473256991,24.4006501621384,26.0106505156599,0.543767560179199,0.342328721994693
"54","sp|P10853|H2B1F_MOUSE; sp|Q64478|H2B1H_MOUSE; sp|Q6ZWY9|H2B1C_MOUSE; sp|Q8CGP1|H2B1K_MOUSE",17,16,15,11,12,13,31.7569557218926,30.8595353550916,31.8377231065468,30.8776364046065,30.9999641411717,31.9558554435027,-0.300538588803433,1
"55","sp|P08249|MDHM_MOUSE",16,15,14,15,13,17,27.0116894707378,26.1925267060269,26.308312918922,25.8182835587939,25.8242264448518,27.0114374802308,-0.0406603631533322,1
"56","sp|P61979|HNRPK_MOUSE",17,13,11,14,12,14,26.2618437086756,25.910691583079,25.7777402141859,25.4573073518023,25.3899052916752,26.2628307926713,0.0671135043386333,1
"57","sp|Q99JY9|ARP3_MOUSE",12,11,10,12,8,13,26.162818632453,25.6701998029134,25.8164912310827,25.4867438340791,25.3833517652999,26.5081516546832,0.100811220946701,1
"58","sp|P26040|EZRI_MOUSE",16,7,6,8,6,12,26.0811602757868,24.7608817364994,25.4907637368697,24.6482228321855,24.6798608339521,25.9030912471542,-0.313196343589834,1
"59","sp|P10107|ANXA1_MOUSE",17,12,10,11,12,12,26.2690984213148,25.7773708107852,25.9104473949863,25.4273804985501,25.5834832651075,26.133685338873,-0.141530811066766,1
