"protein_group","number_of_peptides_SARS-Covid19-Negative_1","number_of_peptides_SARS-Covid19-Negative_1","number_of_peptides_SARS-Covid19-Negative_2","number_of_peptides_SARS-Covid19-Negative_2","number_of_peptides_SARS-Covid19-Negative_3","number_of_peptides_SARS-Covid19-Negative_3","number_of_peptides_SARS-Covid19-Negative_4","number_of_peptides_SARS-Covid19-Negative_4","number_of_peptides_SARS-Covid19-Negative_5","number_of_peptides_SARS-Covid19-Negative_5","number_of_peptides_SARS-Covid19-Positive_1","number_of_peptides_SARS-Covid19-Positive_1","number_of_peptides_SARS-Covid19-Positive_2","number_of_peptides_SARS-Covid19-Positive_2","number_of_peptides_SARS-Covid19-Positive_3","number_of_peptides_SARS-Covid19-Positive_3","number_of_peptides_SARS-Covid19-Positive_4","number_of_peptides_SARS-Covid19-Positive_4","number_of_peptides_SARS-Covid19-Positive_5","number_of_peptides_SARS-Covid19-Positive_5","abundance_SARS-Covid19-Negative_1","abundance_SARS-Covid19-Negative_2","abundance_SARS-Covid19-Negative_3","abundance_SARS-Covid19-Negative_4","abundance_SARS-Covid19-Negative_5","abundance_SARS-Covid19-Positive_1","abundance_SARS-Covid19-Positive_2","abundance_SARS-Covid19-Positive_3","abundance_SARS-Covid19-Positive_4","abundance_SARS-Covid19-Positive_5","log_fold_change_SARS-Covid19-Positive_vs_SARS-Covid19-Negative","differential_abundance_pvalue_SARS-Covid19-Positive_vs_SARS-Covid19-Negative","differential_abundance_qvalue_SARS-Covid19-Positive_vs_SARS-Covid19-Negative"
"P36578",6,3,5,4,4,3,5,5,6,5,11,15,7,7,9,10,9,10,10,13,17.4308881773143,18.0737544088762,16.7171735842876,17.6534900309236,17.9175856432253,18.9142840917635,18.2581273921286,18.2437687374071,18.2437687374071,18.4709470933251,1.40103298027519,2.21056167981745e-36,2.93783647247739e-33
"P07954",2,2,7,6,4,4,NA,NA,4,NA,9,8,7,8,5,5,5,5,2,4,19.0735286123419,19.5763552184602,17.6652190481911,17.7328320356818,19.0253241506539,18.9549110291387,18.5475849039853,NA,NA,18.5566369503764,0.347773775938639,0.00683316123223599,0.0171993774197758
"P0DMV8,P0DMV9",16,15,15,17,11,10,11,11,10,9,17,16,15,15,9,11,9,11,13,13,18.4296099197598,19.96060272578,18.0915612801786,17.9331177817066,18.6977333916736,19.2893793944049,18.084265550716,17.0523398424326,17.0523398424326,18.4858184437644,-0.34472745023135,0.0808124277595367,0.147324713981378
"Q9NX63",3,2,3,3,1,NA,NA,2,NA,NA,6,5,4,5,4,4,4,4,4,3,17.9632868443194,18.5454305166695,17.3363481031288,17.9863026013119,18.0668026600646,19.2169692548761,18.3118170159733,18.2802218624335,18.2802218624335,18.063419071677,0.815093595755692,6.05960873403456e-11,1.71345106543233e-09
"P20810",2,2,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3266010527019,18.4154259006639,16.9033698300984,17.3872812234509,17.4469424531165,17.9503335139188,16.3642087477337,16.2954783209337,16.2954783209337,16.2858970283673,-0.515292796427874,0.00826551969986669,0.020570928241803
"O95336",7,7,8,7,6,4,9,7,3,3,10,9,5,7,8,7,8,7,10,8,19.1667484946164,19.9239312262507,17.1893048075135,18.3371171933121,18.7688273133734,18.6942200404623,17.4863142824485,17.9027074602874,17.9027074602874,18.3871802608861,-0.320548634302626,0.00399888862422778,0.0107581436874468
"P02768",72,74,66,63,31,32,70,71,57,57,67,66,55,58,52,50,52,50,68,60,20.4000199270155,20.378553928473,17.7389153531128,20.1472685646284,19.7429435457795,20.5806693762273,19.2863788193312,18.7328118250268,18.7328118250268,19.6502210293873,-8.49293653036712e-21,0.999999999902198,1
"P06753",2,NA,3,4,NA,NA,2,1,NA,NA,3,2,2,2,2,2,2,2,NA,2,18.2433037395982,18.6003644411358,16.763186270193,17.5807463142219,17.0199929213304,19.2390216812011,17.1775902133653,18.0340271074005,18.0340271074005,17.7421519014515,0.903559586856596,6.19122640037921e-06,3.88177308609058e-05
"Q9H6L2",4,2,4,5,1,NA,NA,NA,NA,NA,4,3,1,2,2,NA,2,NA,2,2,18.5352042231866,18.783404282257,16.949564524861,17.0144114599701,18.256521733408,17.6697296078455,17.4542969792685,NA,NA,17.3691941353061,-9.44557005668087e-20,0.99999999956871,1
"Q9UNF0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,1,NA,1,NA,2,1,16.2264263606447,18.1030299545153,16.5048759550232,16.4323117933999,17.0734138160551,18.0948531703969,17.0981877057975,17.2317024183055,17.2317024183055,17.736064952132,1.21623379271444,1.42803583706359e-09,2.81018946688083e-08
