"","protein_group","number_of_peptides_SARS.Covid19.Negative_1","number_of_peptides_SARS.Covid19.Negative_2","number_of_peptides_SARS.Covid19.Negative_3","number_of_peptides_SARS.Covid19.Negative_4","number_of_peptides_SARS.Covid19.Negative_5","number_of_peptides_SARS.Covid19.Negative_6","number_of_peptides_SARS.Covid19.Negative_7","number_of_peptides_SARS.Covid19.Negative_8","number_of_peptides_SARS.Covid19.Negative_9","number_of_peptides_SARS.Covid19.Negative_10","number_of_peptides_SARS.Covid19.Positive_1","number_of_peptides_SARS.Covid19.Positive_2","number_of_peptides_SARS.Covid19.Positive_3","number_of_peptides_SARS.Covid19.Positive_4","number_of_peptides_SARS.Covid19.Positive_5","number_of_peptides_SARS.Covid19.Positive_6","number_of_peptides_SARS.Covid19.Positive_7","number_of_peptides_SARS.Covid19.Positive_8","number_of_peptides_SARS.Covid19.Positive_9","number_of_peptides_SARS.Covid19.Positive_10","abundance_SARS.Covid19.Negative_1","abundance_SARS.Covid19.Positive_1","abundance_SARS.Covid19.Negative_2","abundance_SARS.Covid19.Positive_2","abundance_SARS.Covid19.Negative_3","abundance_SARS.Covid19.Positive_3","abundance_SARS.Covid19.Negative_4","abundance_SARS.Covid19.Positive_4","abundance_SARS.Covid19.Negative_5","abundance_SARS.Covid19.Positive_5","abundance_SARS.Covid19.Negative_6","abundance_SARS.Covid19.Positive_6","abundance_SARS.Covid19.Negative_7","abundance_SARS.Covid19.Positive_7","abundance_SARS.Covid19.Negative_8","abundance_SARS.Covid19.Positive_8","abundance_SARS.Covid19.Negative_9","abundance_SARS.Covid19.Positive_9","abundance_SARS.Covid19.Negative_10","abundance_SARS.Covid19.Positive_10","log_ratios_SARS.Covid19.Positive..vs.SARS.Covid19.Negative.","differential_abundance_qvalue_SARS.Covid19.Positive..vs.SARS.Covid19.Negative."
"1","sp|P02768|ALBU_HUMAN",46,42,49,47,24,22,49,49,40,41,63,58,51,54,47,45,47,45,55,54,30.4440928150891,30.5220719068166,30.1605891460557,30.4018935372571,30.2833734086031,29.0030952885884,30.1285601549538,29.1051212312749,28.3560251319405,28.6149231149166,27.6828769578177,28.4249097592118,30.268446624925,28.6149231149166,30.0904970642262,28.4249097592118,29.8686930561437,29.7439567143668,29.4751803833623,29.3904725897325,-0.4512057726824,0.577604313764482
"2","sp|P02788|TRFL_HUMAN",44,53,41,43,30,30,70,62,50,45,33,37,36,30,42,39,42,39,39,41,28.767209633412,26.7751768217239,28.5912437162428,26.4311694484507,28.2838095745153,25.6745590998636,27.8987406821218,25.6808330438854,27.3034606769085,26.7691846959987,27.0089026739649,26.6098948397231,29.6664841889848,26.7691846959987,29.5105154918723,26.6098948397231,29.059445303929,26.7123691432982,29.1922595488207,26.5206814986324,-2.07291233634743,1.47727011997248e-10
"3","sp|P04264|K2C1_HUMAN",18,17,31,34,31,28,45,37,45,46,42,45,52,49,60,48,60,48,39,41,26.9567696262066,28.0272508324647,26.7075892577825,28.1953191856073,27.8113064822574,28.8849320647263,27.4582115895755,28.8168881457007,27.4762682172035,29.3046505874934,27.2213937410374,28.9754057008913,28.4394990384155,29.3046505874934,28.1704080007388,28.9754057008913,30.0165287961121,27.8865815862011,30.6717283943759,27.5843112274255,0.502569247518978,0.000651113329199029
"4","sp|P05787|K2C8_HUMAN",27,26,41,45,29,25,33,22,29,30,56,54,54,50,44,43,44,43,38,38,28.2475310661224,29.074403480531,28.1375506149581,28.9680488689914,29.2632405409774,28.2125967192679,28.9321536438477,28.4894525767539,27.8598353178089,28.3603868474571,27.2793151446592,28.1801214693975,27.8735511264927,28.3603868474571,27.4800735046297,28.1801214693975,29.1520229745025,27.9373286468955,29.5525093935091,27.5538299964101,-0.0461106404948701,0.043197139904395
"5","sp|P29508|SPB3_HUMAN",19,20,26,23,34,32,30,29,22,21,48,44,36,34,41,33,41,33,40,37,27.3665307297042,29.1739698612797,27.1892810478791,28.5573891420537,27.7175227890346,26.9050372212824,27.3647192545953,26.8461594016721,27.9292037682731,27.6969493846443,27.5507777804516,27.6001454432683,27.973551461538,27.6969493846443,27.6081962678033,27.6001454432683,28.1111829612676,28.0853468343546,27.2413844542854,27.8476892732325,0.1957430874868,0.238656741502033
"6","sp|P98088|MUC5A_HUMAN",22,23,27,26,16,13,46,36,29,28,30,27,27,29,35,36,35,36,31,28,26.1330514100545,25.7430510057313,25.9436585891298,25.4925705671019,26.0155673329098,24.7146877171991,25.6566683855015,24.7287267434768,25.8546832274125,25.5453709378958,25.0705368323271,25.5189569648572,27.0455603781395,25.5453709378958,26.8408044263095,25.5189569648572,26.4173976204738,25.2337375663358,26.126730621353,24.8175680658814,-0.82456613523787,5.32382864528725e-05
"7","sp|P08727|K1C19_HUMAN",25,28,38,37,27,26,32,27,28,31,51,45,48,47,45,41,45,41,41,45,28.3898265373247,29.9145943505428,28.100641487916,29.543819379855,29.5279420243972,29.014543085809,29.2600530752647,28.9741755257397,27.8184169793535,28.8214709627081,27.3412313175463,28.6229791172284,28.3451197330837,28.8214709627081,28.2156399357229,28.6229791172284,28.6661642866509,28.3326306102171,28.3554718142677,27.9322971266659,0.458045304717491,0.0997822684704988
"8","sp|P13645|K1C10_HUMAN",13,19,27,22,23,21,33,29,42,45,29,31,36,38,39,38,39,38,33,30,26.6106323243835,27.4950735395296,25.8872433961795,27.34129403614,27.1505054653858,27.9928445747263,28.0227633294884,28.0406591205558,26.6310877763788,28.5699253555668,26.3141659679336,28.5333651440506,27.5946389708665,28.5699253555668,27.431686837023,28.5333651440506,29.8444008191969,27.0668438685282,29.2171776336311,26.6323598183181,0.40713534365657,0.185235554924664
"9","sp|P13647|K2C5_HUMAN",17,15,20,23,13,12,19,22,44,46,37,38,52,45,44,37,44,37,26,28,26.1824351218931,28.0035304362112,25.7759174614584,27.7876932638924,26.5707961011213,28.107137081327,26.3392919407797,28.2006564892609,26.3491927997344,27.8997054131265,25.0916807252751,27.7340383021692,26.8404465025319,27.8997054131265,26.3727633216539,27.7340383021692,30.7436768549137,26.8201416553953,29.9696553608447,26.2612042673441,0.621199443381611,2.73764923054581e-05
"10","sp|P60709|ACTB_HUMAN; sp|P63261|ACTG_HUMAN",28,31,32,30,20,20,32,30,21,21,34,37,30,26,25,27,25,27,28,28,28.1760122511833,28.9526103581133,28.1181036726358,28.8515416586163,29.210990833305,27.133867798532,28.8129213213974,27.3214298095041,27.9239280577161,27.4363314446599,27.8089272639409,27.3169130422183,28.3558106574904,27.4363314446599,28.210832286187,27.3169130422183,27.9638887983318,27.9843603047432,27.7221130311977,27.6155148071785,-0.493771446294162,2.73764923054581e-05
