"protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high grade_1","number_of_peptides_high grade_2","number_of_peptides_cystitis_4","number_of_peptides_high grade_3","number_of_peptides_high grade_4","number_of_peptides_control_2","number_of_peptides_high grade_5","number_of_peptides_cystitis_5","number_of_peptides_high grade_6","number_of_peptides_high grade_7","number_of_peptides_cystitis_6","number_of_peptides_high grade_8","number_of_peptides_high grade_9","number_of_peptides_cystitis_7","number_of_peptides_high grade_10","number_of_peptides_control_3","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high grade_1","abundance_high grade_2","abundance_high grade_3","abundance_high grade_4","abundance_high grade_5","abundance_high grade_6","abundance_high grade_7","abundance_high grade_8","abundance_high grade_9","abundance_high grade_10","log_fold_change_genotypecystitis.genotypecontrol.","differential_abundance_pvalue_genotypecystitis.genotypecontrol.","differential_abundance_qvalue_genotypecystitis.genotypecontrol.","log_fold_change_genotypehigh.grade.genotypecontrol.","differential_abundance_pvalue_genotypehigh.grade.genotypecontrol.","differential_abundance_qvalue_genotypehigh.grade.genotypecontrol."
"P55011",5,NA,NA,NA,20,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,15.1155121636426,NA,11.3252088366901,NA,NA,13.8795236125482,NA,NA,13.3798002690131,18.350709013001,12.7574760069396,14.8744348554367,11.9512561710806,NA,NA,14.5275790221962,NA,NA,NA,-1.90161355810904,0.0606111067430397,0.621263844116157,-0.480747566313571,0.532880849880524,1
"P37108",2,2,3,3,2,2,3,2,1,3,1,2,4,1,2,1,2,3,2,2,17.1584937083637,17.0382819435038,16.8484132132969,17.4743190628638,19.0085088353916,18.492732574273,19.2762090966619,19.0744516338916,16.8353987037602,19.4027232168339,18.8209630426301,17.9551011727958,18.0203182129561,17.4570105236932,17.8796752424702,19.3334056856271,17.9719135534893,18.2040496487735,17.9771229320406,19.0715393568355,0.806777121693728,0.000790589363378561,0.0713111605767462,0.504736859179992,0.0210721812216299,0.270879482024323
"Q9NQP4",1,1,2,NA,NA,3,3,2,2,NA,NA,1,1,NA,NA,1,2,1,2,1,15.4682731622746,14.9841596670131,15.5433959234126,15.1168944981471,16.6837627532884,16.6215421671242,17.4643609256594,16.236867418131,15.5627201167889,16.6215116683836,16.1889783910541,16.1181468597362,15.8682337367305,16.2789644387311,16.2687293205666,17.0668595239125,15.9608842011151,16.4791656922165,16.1280475573868,16.8955879657833,1.69164546818047e-10,0.999992334766574,1,5.42910424617726e-10,0.999973797808319,1
"P07954",1,2,3,NA,2,2,3,2,NA,2,NA,4,NA,3,NA,NA,2,NA,3,1,14.7624448415298,15.0158062502358,14.8420484970235,14.84625643406,16.8805125580461,15.7029138655176,16.0753886074645,17.2649130019286,15.0524148578749,15.9794338763547,17.117782621889,15.2760131654825,15.8705995046844,14.4055174494426,15.290588455569,16.3896393029533,17.0290075922607,NA,15.0494487906285,16.3899730630341,1.6049473780009e-20,0.99999999996171,1,9.93929269429726e-21,0.999999999975552,1
"Q9Y490",17,12,13,14,5,6,26,18,25,19,22,14,25,21,21,36,27,19,9,15,14.6255998070997,15.0221068260745,14.9223742251884,14.6652187073728,15.5943337426046,16.108802114039,15.6884395025244,16.1063047621473,16.0818994758454,16.3677252548777,16.2243164067525,14.5881821301947,15.3091458525403,15.9229255945649,16.7485690537056,17.1699223048053,16.3120036320594,17.3193334867862,16.0409294891518,15.3934418188565,-2.00984947312295e-21,0.999999999972461,1,5.34777921735365e-21,0.999999999922584,1
"Q96S52",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.7068165998991,14.5387613543885,14.8558828474671,13.2059625087748,14.6144250653996,14.980079071171,15.3790506021813,15.465160330785,NA,14.7568168084315,NA,13.7150675192391,14.9295656055008,13.1769498788534,NA,NA,13.9969641323116,14.6732139565347,14.4189108431949,14.3680386233785,-1.09788159553779,0.00071074830413896,0.0663201693448285,-1.31345742638621,0.000101448351251493,0.0163868925021529
"P23381",9,3,2,3,6,4,3,3,28,11,29,4,3,3,6,13,8,4,3,9,13.7000870455624,13.9347280591809,14.2952028478545,12.5153756538576,13.7126039899035,14.3621016315609,13.5756921476773,14.1038964442512,13.9562462682244,13.9996405908764,15.4935032583465,12.8381110411906,13.2719507033852,17.3980557186579,18.4000321727277,14.5475125159352,13.4789022578539,16.4151158213222,14.3072649056824,13.8743897824078,-0.613638899334625,0.332242818296064,1,-0.0411375625975236,0.944016981754404,1
"P35221",10,15,20,19,9,8,17,11,4,14,5,19,4,6,4,11,11,19,16,10,15.5279038271241,15.8513425961819,15.2465654076967,16.6901167065389,18.0439161749392,17.8288689195602,16.5390746012129,18.2912314760743,15.0444319094699,17.9482565953049,17.3492864076192,16.0917918920198,16.1754430967234,15.0639093108294,16.1979675607864,16.441079832185,16.2941240362908,16.6019593473683,16.4655950591971,17.5119289917719,0.474065857866015,0.176360470615005,0.954462866968407,-0.10865923778732,0.746206224865994,1
"Q96C19",4,6,8,4,NA,9,5,8,6,5,6,3,5,NA,5,5,5,5,7,5,15.5024207580252,15.0995851374739,15.243680937808,15.593594174816,16.845823979027,15.730264231406,16.0273292979897,15.9574424459595,15.3389822922662,16.6403731795072,14.3421123697064,16.8141387580199,16.6097907658931,14.9042056830885,15.8875045338792,16.4605303222522,15.1849781569044,16.2154757802744,15.8140460476241,16.829854422314,-2.03232739003872e-20,0.999999999875142,1,-1.80615021963002e-20,0.99999999988668,1
"P0DMV8,P0DMV9",7,7,9,7,7,8,7,7,5,7,7,10,6,6,4,7,9,7,7,6,16.5386268728406,16.5030476873263,16.8243353260576,16.9731842040453,18.7447770598581,18.3869574588344,17.2998578332176,19.6829880942629,16.0764387867275,18.4799700033699,17.7884481483618,17.9354530476725,17.5089247066213,15.9292156280997,17.3943816290928,17.0117368913885,17.1118350675174,16.8409101362117,18.1324473387346,18.1548553623294,0.0632673116736243,0.801230524125223,1,-0.0839666461098785,0.726657107373833,1
