"protein_group","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_cystitis_4","number_of_peptides_cystitis_5","number_of_peptides_cystitis_6","number_of_peptides_cystitis_7","number_of_peptides_high.grade_1","number_of_peptides_high.grade_10","number_of_peptides_high.grade_2","number_of_peptides_high.grade_3","number_of_peptides_high.grade_4","number_of_peptides_high.grade_5","number_of_peptides_high.grade_6","number_of_peptides_high.grade_7","number_of_peptides_high.grade_8","number_of_peptides_high.grade_9","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","differential_abundance_pvalue_cystitis.control","differential_abundance_pvalue_high.grade.control","differential_abundance_qvalue_cystitis.control","differential_abundance_qvalue_high.grade.control","abundance_control_1","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_high.grade_1","abundance_high.grade_2","abundance_cystitis_4","abundance_high.grade_3","abundance_high.grade_4","abundance_control_2","abundance_high.grade_5","abundance_cystitis_5","abundance_high.grade_6","abundance_high.grade_7","abundance_cystitis_6","abundance_high.grade_8","abundance_high.grade_9","abundance_cystitis_7","abundance_high.grade_10","abundance_control_3"
"sp|P02768|ALBU_HUMAN;CON__P02768-1;CON__|ALBU_HUMAN|;CON__P02769;CON__|ALBU_BOVIN|",42,48,52,36,51,50,45,35,45,43,46,41,46,47,46,47,50,47,42,40,0.781743144387524,0.449232852732158,0.932110263363899,0.838877540674692,31.5301404036171,31.1937358709634,31.1067472731031,32.6505226434152,29.0390460188519,31.3053262447864,29.9186768407433,30.8964507358641,30.99252995328,31.4100234834458,30.8080679024609,32.471126320151,31.2412490910113,31.5619713653005,32.4484431273129,31.784946802409,32.0487398136326,31.5420124309251,30.4664241710513,31.4153829106533
"sp|P01008|ANT3_HUMAN;CON__|ANT3_HUMAN|",3,4,3,2,2,2,7,0,2,1,1,0,0,3,0,1,2,2,2,2,0.0105758785322526,0.24461499983752,0.367685511617498,0.728006897471854,20.8562688038436,22.2967117315301,22.9028982853942,20.5520629809066,NA,19.8131126227677,20.7572654050822,20.1445871540812,NA,19.1842028243943,NA,20.8022786552898,21.4428986837795,NA,20.428874996213,19.8720641216057,20.3038413864435,23.2625132826605,21.2016238299231,18.8180090126166
"CON__|ANXA5_HUMAN|;sp|P08758|ANXA5_HUMAN",7,7,7,7,9,9,7,11,9,4,11,10,11,10,8,10,9,11,11,10,0.123626421290367,0.707870804042132,0.622099350935426,0.925053588404667,25.6493656785281,24.2803997984935,23.8195665453519,24.8840194073598,26.1883050004927,22.4650263508997,23.8528153685022,26.0728605185792,26.340045011249,25.8220395228914,25.8573852769297,24.3769581827491,25.6251732015721,25.0876955827687,25.8398391565901,25.709339397973,25.0926225187613,24.6910769623064,24.7993409984781,25.1916134543566
"sp|P61769|B2MG_HUMAN;CON__|B2MG_HUMAN|",1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,0.533152881577187,0.230508124329293,0.860097994949033,0.722169961771543,23.222297728344,22.2789524198328,21.7828686024126,22.3759452327518,24.2323380147173,20.7455391780217,22.6110116700114,22.8338675565644,25.1182877462139,21.9259864616872,25.0607389084077,23.514538964269,23.2367681970829,22.9772846863534,23.2206425534286,21.6143253712769,25.595925252653,24.3564894308695,22.007620649901,21.8572750030198
"sp|P55957|BID_HUMAN;CON__|BID_HUMAN|",1,1,0,1,0,2,3,0,3,3,3,0,1,1,0,0,1,1,0,2,0.351541840421176,0.03339334185488,0.758320744217584,0.469555693202508,17.3162562826978,18.5970436768948,18.2412986972048,NA,NA,21.9987482031841,18.8149060410175,21.1556884579001,NA,NA,19.3372449125052,NA,20.3804486690263,NA,21.0807564651084,NA,NA,21.2508090960859,22.4311876434296,19.8559295879471
"CON__|CAH1_HUMAN|;sp|P00915|CAH1_HUMAN",5,6,5,4,6,1,4,1,1,0,5,8,4,1,0,3,4,5,4,4,0.838651027289048,0.305861457345995,0.954184181981447,0.760239394742099,23.5119178972079,23.6429820090882,24.4867012298012,23.0143620660538,19.5849230249334,NA,21.904661652252,21.9431178939341,25.6027669425221,21.7149347386142,21.6296901639311,24.1744337190791,19.435620906243,NA,20.1679335726118,22.3360536329905,22.199346766864,22.5250457692881,19.1395902791337,22.6277309492181
"CON__|CAH2_HUMAN|;sp|P00918|CAH2_HUMAN",3,3,1,4,2,2,1,0,0,0,1,4,0,2,0,2,2,1,3,3,0.550955494163798,0.935771168269412,0.867270270139115,0.983943600440815,21.1494387454095,22.1603844249631,22.2807123751923,19.4608057053702,NA,NA,22.0297284775038,20.007889995961,24.7441998751143,21.9591446033882,NA,21.6276235167807,20.845088685098,NA,20.2940762598358,21.7076422034861,20.8613478207569,20.4913801482151,NA,22.0106140656985
"CON__P02662;CON__|CAS1_BOVIN|",0,0,0,1,0,0,0,0,2,1,0,0,2,1,0,0,2,1,1,1,NA,0.0173516681005146,NA,0.425817893532291,18.4171253257858,NA,NA,NA,NA,18.7387346126572,NA,NA,NA,17.778105210885,19.5542735949037,NA,20.0361110221256,NA,NA,NA,20.925368248228,NA,21.6943955965767,18.5673783810616
"CON__|CATA_HUMAN|;sp|P04040|CATA_HUMAN",8,11,6,10,10,6,7,3,7,6,3,6,5,7,4,3,4,5,6,5,0.756042724982031,0.000337158282210998,0.926751897520538,0.243653051944481,24.2508500855856,25.2471281928349,24.707429598435,24.5628796512444,22.1149744674805,22.8599397126629,24.5548801491809,21.5454522721085,22.882149782596,24.3075915523605,22.3299055689073,24.9083131738218,22.9152388294947,22.8442680514179,24.3216007955733,21.3261580586035,22.481131082475,23.1457540321595,23.1232496740282,24.4752844698317
"sp|P07339|CATD_HUMAN;CON__|CATD_HUMAN|",6,13,7,4,9,5,11,4,7,3,4,5,5,6,7,6,5,9,5,5,0.846677272896074,0.0944205449371743,0.95758255064095,0.567887316665855,25.4308943018815,25.5424444088997,27.228671088877,24.9304221956804,23.5546234924662,23.0791829283366,23.126699393913,24.030647538477,24.0445862873498,25.4098005237453,23.8737417345949,25.7670596480971,24.6811765888868,25.5431675845705,25.0037122133477,24.5419639902402,24.059384419421,26.4372811883222,24.9885948165993,25.0843980459861
"sp|P08311|CATG_HUMAN;CON__|CATG_HUMAN|",0,0,0,0,0,3,0,0,0,0,0,3,2,1,5,2,3,0,0,1,0.000465127574570408,0.000186516762619641,0.133663662032516,0.203730382975546,NA,NA,NA,NA,NA,NA,NA,NA,23.0202399504131,NA,22.4730629139515,NA,21.2924848802402,22.9651506305593,23.2572429703101,22.3014043843241,22.7390701306368,NA,NA,17.5716706418123
"CON__|CYB5_HUMAN|;sp|P00167|CYB5_HUMAN",6,6,6,6,6,4,5,0,6,5,5,1,0,5,3,0,5,6,6,6,0.732796798548133,0.049815248764356,0.924696814233328,0.507207789069796,25.364291081468,25.0777966273034,26.4655000880219,25.8973242523027,NA,23.6748996304444,25.9788860803551,24.0617075977038,19.0773537494943,24.9338516037877,NA,26.176411528001,24.3496740453935,22.709458818606,23.4049535765321,NA,23.6247428347543,25.3135397768506,25.0709950161386,25.1646985585511
