task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	f4/019433	1184805	NFCORE_WOMBAT:WOMBAT:PROLINE:CREATE_DECOY_DATABASE	CACHED	0	2023-10-20 16:58:51.614	4.2s	3s	191.4%	282.4 MB	6.9 GB	58.9 MB	26.1 MB
1	0e/a3fb03	1184819	NFCORE_WOMBAT:WOMBAT:COMPOMICS:CREATE_DECOY_DATABASE	CACHED	0	2023-10-20 16:58:51.634	4.4s	3s	188.1%	284.1 MB	6.8 GB	58.9 MB	26.1 MB
3	78/4a5d43	1945366	NFCORE_WOMBAT:WOMBAT:PREPARE_FILES	COMPLETED	0	2023-10-21 07:54:01.941	2.9s	1.7s	398.2%	68.6 MB	2 GB	11.5 MB	10.3 MB
5	a7/b39e41	1946032	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (1)	COMPLETED	0	2023-10-21 07:54:04.949	1m 10s	1m 8s	123.7%	903.5 MB	204 GB	665.9 MB	406.3 MB
7	d2/631c41	1946056	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (2)	COMPLETED	0	2023-10-21 07:54:04.986	1m 10s	1m 8s	121.9%	908.1 MB	204 GB	675.2 MB	410.9 MB
22	63/c7c8f3	1946119	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (10)	COMPLETED	0	2023-10-21 07:54:05.021	1m 14s	1m 11s	121.5%	975.4 MB	204 GB	672.8 MB	409.6 MB
36	c4/d27f94	1946326	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (20)	COMPLETED	0	2023-10-21 07:54:05.081	1m 15s	1m 11s	122.5%	980.7 MB	204 GB	664.4 MB	406.2 MB
19	d9/aa3e9b	1946103	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (7)	COMPLETED	0	2023-10-21 07:54:05.014	1m 34s	1m 14s	122.1%	940.5 MB	204.1 GB	751.2 MB	446 MB
32	21/1af868	1946390	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (18)	COMPLETED	0	2023-10-21 07:54:05.097	1m 36s	1m 27s	113.9%	1 GB	204.2 GB	891.8 MB	512.5 MB
23	75/e4f5af	1946576	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (11)	COMPLETED	0	2023-10-21 07:54:05.192	1m 36s	1m 29s	114.8%	1015.7 MB	204.2 GB	913.3 MB	523.9 MB
18	65/2d4a60	1946277	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (6)	COMPLETED	0	2023-10-21 07:54:05.067	1m 37s	1m 19s	111.4%	926.8 MB	204.1 GB	713.7 MB	429.2 MB
33	9c/8f83ca	1946231	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (19)	COMPLETED	0	2023-10-21 07:54:05.056	1m 38s	1m 35s	103.7%	1016 MB	204.2 GB	886.1 MB	509.4 MB
21	82/7a4b89	1990535	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (9)	COMPLETED	0	2023-10-21 07:55:15.184	1m 16s	1m 15s	105.9%	920.3 MB	204 GB	715.1 MB	430.1 MB
26	e6/878c38	1992669	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (14)	COMPLETED	0	2023-10-21 07:55:18.812	1m 23s	1m 20s	115.1%	1002.1 MB	204.2 GB	888.9 MB	511.7 MB
20	35/b8777b	2003589	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (8)	COMPLETED	0	2023-10-21 07:55:39.362	1m 15s	1m 11s	117.4%	927.9 MB	204.1 GB	741.5 MB	441.9 MB
40	bd/de1dad	1946551	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (10)	COMPLETED	0	2023-10-21 07:54:05.183	2m 50s	2m 47s	137.4%	602.6 MB	2.2 GB	479.4 MB	368.6 MB
8	ff/6ad20e	1946173	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (1)	COMPLETED	0	2023-10-21 07:54:05.039	2m 50s	2m 48s	136.6%	589.9 MB	2.2 GB	474.5 MB	367.2 MB
6	1f/4b3ffd	1946490	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (1)	COMPLETED	0	2023-10-21 07:54:05.165	2m 50s	2m 47s	136.6%	605.4 MB	2.2 GB	474.5 MB	367.2 MB
11	d5/9061d4	1946469	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (2)	COMPLETED	0	2023-10-21 07:54:05.127	3m 11s	2m 52s	138.5%	593.6 MB	2.2 GB	477.8 MB	370.5 MB
28	6c/f90a34	1990544	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (16)	COMPLETED	0	2023-10-21 07:55:15.191	2m 5s	1m 48s	90.1%	1019.6 MB	204.9 GB	905.6 MB	519.1 MB
9	62/900ed2	2004697	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (3)	COMPLETED	0	2023-10-21 07:55:41.187	1m 39s	1m 22s	107.1%	1 GB	204.1 GB	837 MB	486.2 MB
34	bb/9feed8	1946610	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (7)	COMPLETED	0	2023-10-21 07:54:05.200	3m 16s	3m 5s	134.1%	665 MB	2.3 GB	503.1 MB	402.8 MB
25	34/498185	2006543	NFCORE_WOMBAT:WOMBAT:PROLINE:RAW2MZDB (13)	COMPLETED	0	2023-10-21 07:55:43.159	1m 38s	1m 36s	102.2%	1.1 GB	204.3 GB	983.1 MB	556 MB
14	43/bfc2ed	1946144	NFCORE_WOMBAT:WOMBAT:TPP:RAW2MZML (3)	COMPLETED	0	2023-10-21 07:54:05.029	3m 51s	3m 16s	135.4%	702.6 MB	2.3 GB	518.9 MB	439.4 MB
47	39/30895c	1946525	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (15)	COMPLETED	0	2023-10-21 07:54:05.176	3m 51s	3m 10s	136.4%	696.5 MB	2.3 GB	513.3 MB	421.6 MB
50	32/8d6b0b	1946706	NFCORE_WOMBAT:WOMBAT:COMPOMICS:RAW2MZML (17)	COMPLETED	0	2023-10-21 07:54:05.224	3m 51s	3m 15s	135.5%	678.7 MB	3 GB	523.4 MB	428.1 MB
