"","protein_group","number_of_peptides_control_1","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_high.grade_1","number_of_peptides_high.grade_2","number_of_peptides_cystitis_4","number_of_peptides_high.grade_3","number_of_peptides_high.grade_4","number_of_peptides_control_2","number_of_peptides_high.grade_5","number_of_peptides_cystitis_5","number_of_peptides_high.grade_6","number_of_peptides_high.grade_7","number_of_peptides_cystitis_6","number_of_peptides_high.grade_8","number_of_peptides_high.grade_9","number_of_peptides_cystitis_7","number_of_peptides_high.grade_10","number_of_peptides_control_3","abundance_control_1","abundance_cystitis_1","abundance_high.grade_1","abundance_control_2","abundance_cystitis_2","abundance_high.grade_2","abundance_control_3","abundance_cystitis_3","abundance_high.grade_3","abundance_control_4","abundance_cystitis_4","abundance_high.grade_4","abundance_control_5","abundance_cystitis_5","abundance_high.grade_5","abundance_control_6","abundance_cystitis_6","abundance_high.grade_6","abundance_control_7","abundance_cystitis_7","abundance_high.grade_7","abundance_control_8","abundance_cystitis_8","abundance_high.grade_8","abundance_control_9","abundance_cystitis_9","abundance_high.grade_9","abundance_control_10","abundance_cystitis_10","abundance_high.grade_10","log_ratios_cystitis..vs.control.","log_ratios_high.grade..vs.control.","log_ratios_high.grade..vs.cystitis.","differential_abundance_qvalue_cystitis..vs.control.","differential_abundance_qvalue_high.grade..vs.control.","differential_abundance_qvalue_high.grade..vs.cystitis."
"1","sp|Q15149|PLEC_HUMAN",62,40,61,66,12,92,20,88,63,56,92,87,25,54,31,44,41,146,81,63,23.465953197642,23.0860427393809,22.845995417936,23.5406157188107,24.2579787844289,24.4577826450539,23.6624984479246,25.0603001240611,24.6574307631917,NA,22.4533252748817,23.558513670318,NA,25.389728875959,25.3326295176629,NA,22.8562566276943,23.4974683869532,NA,26.6606112762304,24.3457191246647,NA,NA,24.1580940537826,NA,NA,23.5880804993913,NA,NA,25.1375348242528,0.695679026536562,0.601569102194943,-0.0941099243416185,0.00381615682230573,2.59730617385762e-06,0.0331490416993219
"2","sp|Q09666|AHNK_HUMAN",48,33,81,52,26,65,NA,86,39,56,85,99,35,28,45,110,77,68,98,47,23.090938608602,22.0936016422437,24.0552878975564,22.9629526488999,24.8204202171596,23.6320533432376,22.8821382298646,24.5014391208611,24.6980953577726,NA,20.1175817484147,22.6980658873592,NA,25.4693351441895,25.1488268981534,NA,23.2173681774388,24.0690891430057,NA,24.8152368882011,22.987709944485,NA,NA,25.8043814738981,NA,NA,24.3957646161922,NA,NA,25.619459352531,0.59774963828381,1.33219689563029,0.734447257346477,0.000924034436109714,6.5719742583063e-09,0.0749868203559742
"3","sp|P35579|MYH9_HUMAN",50,41,54,44,38,52,62,50,75,50,81,53,39,55,33,61,58,52,54,47,23.4430815181728,23.3019446342291,24.5645443462803,23.4669288096931,24.6393309921928,24.0784259435567,23.4795645498636,24.6345406568581,24.1647818952639,NA,24.8271984746644,24.7372208282379,NA,24.763837939278,25.8828954395158,NA,23.4267832651982,24.5186072966558,NA,24.9591860422575,24.7472784248708,NA,NA,25.3216769783636,NA,NA,24.5332446454999,NA,NA,24.9806332121177,0.901497231901323,1.28973927512641,0.388242043225083,0.000177480602153255,6.19438983411837e-14,0.00926235487269488
"4","CON__|ALBU_HUMAN|; sp|P02768|ALBU_HUMAN",52,51,62,79,35,58,45,52,47,51,56,82,60,59,76,68,69,60,47,44,26.7288728591126,26.8555747432712,26.3732302500458,26.8123915994944,28.1361304802956,27.0131943551825,26.8015223705744,29.6208739927087,26.9615415443549,NA,26.3449934067464,26.7012407761056,NA,29.6593793748976,27.3351993742221,NA,28.2982413246185,28.2266644288029,NA,28.4106920111042,27.9419932394294,NA,NA,28.3206311756963,NA,NA,28.1094394930966,NA,NA,27.0955711907742,1.40848324745985,0.626941639710563,-0.781541607749284,0.000177480602153255,2.77413137802656e-11,0.061560351900142
"5","sp|P21333|FLNA_HUMAN",39,7,3,23,16,14,32,48,73,42,67,22,54,67,47,77,55,14,14,47,23.4361579466287,20.6578358918679,23.3037308679921,23.850545977682,22.0519966572915,21.6058167783423,23.6488076078766,23.6579502361838,24.267166871511,NA,23.3112413721035,25.0109634072449,NA,25.881946928871,25.5653799919013,NA,24.475714756235,25.1281752986949,NA,23.9678864771413,25.9016018256765,NA,NA,26.5947066191427,NA,NA,24.4888540281984,NA,NA,24.5853202949192,-0.215945893629957,1.00000108763323,1.21594698126319,0.510132737919093,1.58854490405269e-09,0.000385761681490743
"6","sp|P15924|DESP_HUMAN",27,11,15,11,57,NA,13,10,6,22,51,15,NA,8,NA,69,29,5,32,24,22.4097044041961,21.0515904902951,25.5970025011601,22.2342404633998,22.3313852443648,19.8586482682156,22.3441460709664,22.1782201763178,21.5663345558949,NA,21.8575339132991,20.2458796481764,NA,22.7611916630596,24.4465587109271,NA,19.6759904116886,21.1275376841149,NA,22.8499456437729,21.6309830549057,NA,NA,25.5423908585476,NA,NA,23.02145479903,NA,NA,23.8954970706763,-0.514241140073447,0.363865068977427,0.878106209050874,0.608678571428571,0.00204360226305005,0.0488976855183197
"7","sp|P12111|CO6A3_HUMAN",35,NA,15,21,27,14,1,30,56,37,43,29,60,62,66,36,18,29,48,35,23.0635132513538,18.1023710779789,24.0743417374848,23.1364916295526,22.4325359110987,21.6936814526124,23.1114193931821,23.5939893176061,22.6820366931327,NA,19.1698861588288,23.9486875098888,NA,23.6808401245878,24.5188754672109,NA,25.5362880110175,25.7786040602215,NA,23.9778650044782,25.511721411956,NA,NA,24.1114012442263,NA,NA,22.4840945505393,NA,NA,24.7754353654683,-0.747554433420548,0.854079857911266,1.60163429133181,0.00879388013443224,1.01730212805408e-07,0.106457501901556
"8","sp|O75369|FLNB_HUMAN",35,31,55,41,22,21,64,33,25,42,51,59,49,18,11,29,24,52,49,31,22.6651421178458,22.5478967392366,23.6879591108259,22.7366333542248,24.3692879554455,22.4554216694967,22.6355642508903,24.1917570087258,22.818909007294,NA,24.430857675934,22.0098726869574,NA,24.8208184865281,24.3758921469371,NA,21.478522155352,24.5563925023695,NA,24.6796898057806,22.4673424800925,NA,NA,23.1361810278554,NA,NA,22.7053541696392,NA,NA,24.3946491291343,1.1092910200134,0.581684152073234,-0.527606867940171,0.000177480602153255,2.07611761954327e-05,0.970982210086079
"9","sp|P13645|K1C10_HUMAN",30,20,12,8,74,15,12,15,30,30,22,11,22,28,10,20,17,10,25,27,25.7252379923481,24.264564869956,29.7806891380619,25.730168261576,23.5139566897086,23.2223698177253,25.7811555713104,23.4080485071703,24.0379028169558,NA,22.3671488949528,25.9005967224461,NA,23.8141517578262,24.8627003472772,NA,21.9816107426762,25.5687090459761,NA,24.0363634636664,26.5665079501319,NA,NA,24.069042583101,NA,NA,24.2892413330193,NA,NA,26.456536029107,-2.40468561898914,-0.27009103003134,2.1345945889578,0.00718700375314487,1.05931611540516e-06,1.14274431004134e-05
"10","sp|P49327|FAS_HUMAN",38,5,9,5,65,44,54,26,1,32,9,1,45,8,NA,5,24,3,40,29,22.5267128241456,19.3719268180131,26.3700935111039,22.5898895213365,21.6369576649611,23.5349507703673,22.5037255505958,21.1495415395668,22.4302900872077,NA,24.4147689663753,18.9347631384932,NA,20.0276524295303,21.5766971165567,NA,20.6951198426037,24.5599140742765,NA,20.4495574957499,21.8316338130303,NA,NA,20.1338585444326,NA,NA,22.4694377484243,NA,NA,24.4211984596594,-1.43360576200689,0.0861744276625566,1.51978018966945,0.495561211335385,0.0114972506128003,0.0488976855183197
"11","sp|P05787|K2C8_HUMAN",29,31,45,33,16,41,42,35,18,32,17,45,30,24,15,19,31,49,26,26,25.5773310881551,26.2467769796549,26.2179381792174,25.5332343063981,27.5213326554349,26.673365800707,25.6242106826127,26.7450048061861,26.381926144676,NA,27.0615096348678,23.8487423160723,NA,27.840684392009,24.531007891867,NA,23.102662962086,26.1662409430334,NA,28.4135890654651,25.2414365372702,NA,NA,24.5282595059662,NA,NA,25.5477849778677,NA,NA,25.755548884991,1.12624994985477,-0.0890335742218123,-1.21528352407658,0.000177480602153255,3.65832582937062e-07,0.188227464071382
"12","sp|P04264|K2C1_HUMAN",32,25,8,8,55,19,13,10,34,39,20,6,30,39,11,31,20,6,37,37,25.3942607948283,24.5574787766486,29.2456324903996,25.5438899253457,22.194547069642,24.9075925726351,25.5685049523021,22.40019880248,22.6323441743532,NA,22.8053088438058,26.2121364015428,NA,22.6949477412221,24.9723990311193,NA,22.9135503289121,26.1790089770715,NA,21.9248426703213,27.1194104125007,NA,NA,26.1010255807784,NA,NA,24.8648216643453,NA,NA,27.2612968223905,-2.71780795277319,0.447348255221608,3.1651562079948,0.0334975595719554,5.11621290725798e-09,3.9042142241253e-08
"13","sp|P13647|K2C5_HUMAN",32,17,8,8,39,9,6,24,32,34,43,14,7,13,6,57,10,28,19,32,25.3221145120365,24.2799130395711,27.8481546060265,25.3529953465874,22.5041728226127,22.3768905833901,25.3778954763038,23.0345585327675,25.8268340562951,NA,21.6193132555325,25.6775523379694,NA,24.2427592220358,27.1892134717127,NA,21.179762880748,23.2914937895811,NA,27.1340403615633,24.4774749308546,NA,NA,28.7378034222974,NA,NA,23.5294713043827,NA,NA,24.8918569261418,-1.92321319047625,0.033672764555908,1.95688595503215,0.236708423970944,5.79492781797542e-07,9.32512840743431e-05
"14","sp|Q13813|SPTN1_HUMAN",22,24,35,35,31,41,16,22,13,20,5,41,8,19,11,23,17,40,20,22,21.4224025707448,21.6996611940195,23.5064765982791,21.4542435598676,23.3286180943677,22.599394631003,21.7273750951071,23.5088976893357,22.2188236459498,NA,21.6297796006443,21.045334068303,NA,23.7417020209266,21.1095163310063,NA,21.5447503498472,21.6033426845517,NA,23.6859738101494,21.9771881091417,NA,NA,22.748935597815,NA,NA,21.4733147120935,NA,NA,22.7094127456008,1.19952379513499,0.56450017046789,-0.635023624667096,0.002083482288812,9.06059746734597e-05,0.970982210086079
"15","sp|P02751|FINC_HUMAN",18,1,NA,8,2,1,NA,26,41,21,43,5,35,27,15,30,38,3,6,20,21.9567029035544,19.496157085296,21.2242669931465,22.1014671211149,20.2044554680219,17.686183767559,22.0881761703066,21.3091954383024,22.9162264529085,NA,17.8568772120089,24.3022252912942,NA,21.3051012490785,25.5619136942576,NA,22.0826238434873,24.7230021771614,NA,21.0929187275251,24.4416841123949,NA,NA,23.7876474359806,NA,NA,24.4129886776986,NA,NA,21.0039858622385,-1.57059220446052,0.957230381472013,2.52782258593254,0.463069624809804,2.59730617385762e-06,0.000244111502545852
"16","sp|P02533|K1C14_HUMAN",33,13,9,7,40,20,10,10,16,24,42,12,14,21,3,53,19,9,24,26,25.2583618753366,24.2168556639274,27.4977781513268,25.2926662284191,25.2498248089631,24.6694145158871,25.4243954446347,25.2302919806353,25.3152782524571,NA,24.2604071872569,24.9967632700094,NA,26.3687102660668,26.7967376407466,NA,23.5533271916399,23.9642075008751,NA,27.1629255538175,25.5207130265214,NA,NA,28.3253688698521,NA,NA,25.0659544729813,NA,NA,26.2081477148619,-0.1762350896101,0.510895158755079,0.68713024836518,0.00879388013443224,1.01730212805408e-07,0.00354449414873918
"17","sp|P08729|K2C7_HUMAN",33,3,43,35,4,30,30,39,22,30,21,50,28,29,26,21,37,47,33,28,25.3396626018146,21.4601077584935,25.9564702805351,25.3917829655082,27.1135579378955,24.6516256875802,25.4662329538379,26.8020265061909,27.2356182546174,NA,25.1369751588447,23.6994759759643,NA,28.4811593814713,24.2397009288365,NA,24.334466843525,26.0913916405884,NA,28.945990192609,26.0711407127528,NA,NA,24.259153475523,NA,NA,26.2596592282195,NA,NA,26.594414137139,0.639957223284039,0.106638858455388,-0.533318364828651,0.000177480602153255,5.11621290725798e-09,0.188227464071382
"18","sp|P58107|EPIPL_HUMAN",7,15,13,12,6,17,7,20,5,17,11,13,2,23,2,6,NA,47,38,9,20.4096416124567,20.9865849169504,21.1997542577305,20.7770533051193,22.1252009243026,21.5662797343589,20.792274578372,22.1715796718361,22.1920624980886,NA,20.7924198553546,19.4482390957867,NA,22.407254536464,21.8905192339037,NA,18.4037924620298,20.8491997637565,NA,24.2762010964024,22.6476277195027,NA,NA,21.5190706217811,NA,NA,19.5737027651488,NA,NA,23.6918936416086,0.93506256754208,0.798178434517277,-0.136884133024803,0.0694675440549711,0.000266617369752657,1
"19","sp|P60709|ACTB_HUMAN; sp|P63261|ACTG_HUMAN",27,20,29,19,30,27,30,34,34,30,32,25,24,29,29,32,35,27,22,29,26.1917095760395,25.4767863688724,27.2967552068232,26.1403770231227,27.1691627258612,26.1293204398844,25.9000625743234,26.7293410973754,27.4209718784177,NA,27.1928836411494,26.9255215716251,NA,27.4152328153527,27.8373664387055,NA,26.642994643462,27.7495699475544,NA,27.560007868402,27.3479684113075,NA,NA,28.0871455489541,NA,NA,27.2368779832223,NA,NA,26.7606964997453,0.806389679382195,1.20183633479542,0.395446655413222,0.00122895286049336,2.77413137802656e-11,0.00284687714700887
"20","CON__|K22E_HUMAN|",29,22,7,6,51,16,7,14,29,27,16,9,22,31,3,16,12,7,29,26,24.1807828483169,23.5284564954647,28.3065395840166,24.1971314856423,21.6670426559845,22.6659774274046,24.144821742274,22.197643704729,23.9505600795483,NA,21.2142014126942,25.1384427435462,NA,22.8508227359078,25.6948484042117,NA,20.618081422393,24.3063458582876,NA,24.5800172153258,25.4464312439662,NA,NA,26.6711217316858,NA,NA,23.1663837783302,NA,NA,25.005415531635,-1.7947788383874,0.860961279518821,2.65574011790622,0.279295911799158,1.55380399588918e-07,3.32406910147582e-05
"21","sp|P02538|K2C6A_HUMAN",23,13,3,4,30,6,7,27,33,21,36,5,12,13,4,42,18,12,26,19,24.5894511372519,22.8154609894132,27.3353693630736,24.6757116849264,21.8663702792837,21.7853733411071,24.6557195952963,22.0447262890581,25.8000742950833,NA,21.7639547165263,26.0866968497756,NA,22.8684020891853,27.136435773121,NA,21.7909740446805,23.4101917564156,NA,25.086329819885,24.2931936345031,NA,NA,28.0086074569135,NA,NA,24.4237687683819,NA,NA,25.9865494174995,-2.03512010658219,0.786331926429219,2.82145203301141,0.136223658260065,5.11621290725798e-09,3.2063331047992e-06
"22","sp|P98160|PGBM_HUMAN",14,NA,5,18,7,10,2,12,14,13,10,13,34,20,28,5,6,31,11,10,20.9651282164645,16.2349934546153,22.9884705132036,21.0614728830531,20.358300547351,20.7358561547676,20.8524754085449,22.8162184537495,21.3400680858809,NA,18.3267196612707,21.1440968211292,NA,22.2177966611309,21.5091581242728,NA,22.8196625202379,24.1473465516181,NA,23.6522798875896,22.3966618721683,NA,NA,21.11839505936,NA,NA,20.4899192355607,NA,NA,21.6820759256628,-0.041696285647752,0.795512665008233,0.837208950655985,0.0826919552002421,1.22813660741725e-05,0.367906259536156
