"protein_group","abundance_control_1","abundance_control_2","abundance_control_3","abundance_cystitis_1","abundance_cystitis_2","abundance_cystitis_3","abundance_cystitis_4","abundance_cystitis_5","abundance_cystitis_6","abundance_cystitis_7","abundance_high.grade_1","abundance_high.grade_10","abundance_high.grade_2","abundance_high.grade_3","abundance_high.grade_4","abundance_high.grade_5","abundance_high.grade_6","abundance_high.grade_7","abundance_high.grade_8","abundance_high.grade_9","number_of_peptides_control_1","number_of_peptides_control_2","number_of_peptides_control_3","number_of_peptides_cystitis_1","number_of_peptides_cystitis_2","number_of_peptides_cystitis_3","number_of_peptides_cystitis_4","number_of_peptides_cystitis_5","number_of_peptides_cystitis_6","number_of_peptides_cystitis_7","number_of_peptides_high.grade_1","number_of_peptides_high.grade_10","number_of_peptides_high.grade_2","number_of_peptides_high.grade_3","number_of_peptides_high.grade_4","number_of_peptides_high.grade_5","number_of_peptides_high.grade_6","number_of_peptides_high.grade_7","number_of_peptides_high.grade_8","number_of_peptides_high.grade_9","differential_abundance_pvalue_control_vs_cystitis","differential_abundance_qvalue_control_vs_cystitis","log_ratios_control_vs_cystitis","differential_abundance_pvalue_control_vs_high.grade","differential_abundance_qvalue_control_vs_high.grade","log_ratios_control_vs_high.grade","differential_abundance_pvalue_cystitis_vs_high.grade","differential_abundance_qvalue_cystitis_vs_high.grade","log_ratios_cystitis_vs_high.grade"
"CON__|ALBU_HUMAN|",-13.8518577286,-13.9150196229,-13.8763836882,-13.8341645827,-14.6193967973,-13.1043691333,-15.2893993178,-13.7007103587,-12.6885283889,-14.2082063971,-14.8652571695,-15.1490381319,-13.8968919185,-14.141118665,-13.9565867086,-13.9072171504,-13.9708658273,-14.1276394782,-13.7181730813,-13.789150468,47,48,51,39,42,61,33,64,56,44,20,30,41,41,35,36,42,39,39,54,0.732153333333333,0.788288288288288,0.0395951261666667,0.271366,0.610619469026549,0.271106846636666,0.376225,0.747368421052632,0.231511720469999
"CON__|ALDOA_RABIT|",NA,-17.0239926674,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8741045057,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,4,NA,5,NA,1,1,2,2,4,4,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|ANT3_HUMAN|",NA,NA,NA,-17.30581087,NA,NA,-18.6544018028,NA,NA,-17.4218867662,NA,-17.4731275155,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,3,NA,1,1,NA,3,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|ANXA5_HUMAN|",-17.0540355957,-16.4971650579,NA,NA,NA,NA,NA,-18.0275611568,NA,NA,-17.7316369782,NA,NA,-17.863017084,-17.6468587199,-17.332471554,NA,NA,NA,NA,5,5,5,3,3,4,3,3,5,4,7,2,2,5,7,7,7,5,6,6,NA,NA,NA,0.007374,0.222222222222222,0.867895757225,NA,NA,NA
"CON__|CAH2_HUMAN|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8462979671,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|CAS1_BOVIN|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.8578225409,NA,NA,NA,NA,-16.8447125942,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|CATA_HUMAN|",-17.8080251964,NA,NA,NA,-18.2353105969,NA,-17.2635155505,NA,-17.2602524079,NA,NA,NA,-17.9213823027,NA,NA,NA,NA,NA,NA,-18.1056953205,3,3,2,3,3,2,3,3,2,3,1,1,2,1,2,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,0.169394736842105,0.627272727272727,0.427179293166667
"CON__|CATD_HUMAN|",NA,NA,NA,NA,-18.0065850894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,3,6,1,2,NA,2,4,1,1,1,1,1,NA,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|CATG_HUMAN|",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.9287848441,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CON__|CYB5_HUMAN|",NA,NA,NA,NA,-16.5003552423,NA,NA,NA,NA,NA,NA,NA,-16.5680957691,NA,NA,NA,-16.400983388,NA,NA,NA,1,1,1,3,3,2,3,3,NA,1,NA,2,2,2,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
