"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","log_fold_change_B_vs_A","differential_abundance_pvalue_B_vs_A","differential_abundance_qvalue_B_vs_A"
"Q86U42",4,7,8,6,7,7,21.1879840895581,21.2101853523104,0.128521816956863,0.10770660194036,0.246413283502912
"O75822",12,14,14,11,11,14,22.1900102661214,22.1917855955279,0.0396570529559846,0.445178508987402,0.783739883400769
"Q9H3H3",NA,NA,NA,3,2,NA,19.3828312532196,19.5712712777854,0.11996538280721,0.714976930357158,1
"Q96P70",6,9,9,3,9,11,20.8567509246795,20.9493022852969,0.0293880441883479,0.713283725408404,1
"P28482",11,11,14,14,11,13,22.1381570837284,22.1681183822667,0.0407344721636962,0.489652346117229,0.8498471170032
"Q8WVM8",11,10,12,14,14,12,20.6625200446614,20.6825775683903,0.154428320837629,0.0153362444903719,0.0486664457620188
"Q9Y2Z0",13,12,12,12,15,14,22.1257480603469,22.0204958446648,0.0983091479515911,0.0478895825682987,0.125814443402429
"Q7L5D6",7,NA,NA,7,5,5,21.2886985920272,21.3599530310293,2.06019390503022e-17,0.999999992065717,1
"P27361",2,NA,NA,NA,NA,NA,20.7044200270358,19.9576998693932,-0.458825196637708,0.0292684344038149,0.0837114648254494
"Q5VYK3",28,22,21,29,28,17,20.304675415596,20.3667758005185,0.202116132364224,0.0170574771174277,0.0533665466661432
"O43324",7,5,7,7,7,5,22.7520156284888,22.7675715234913,0.215121923662164,0.0198051812712311,0.0605981140577147
"Q00796",9,11,11,8,6,8,20.7883047429816,20.8977924725173,0.118504343243088,0.423532789872762,0.753169159349203
"P42566",14,13,16,16,14,14,20.1748587699026,20.3329817576487,0.287447261562555,0.000256963635387776,0.00140105241931289
"A6NHR9",30,36,35,36,35,38,20.9097033066039,20.8982281740809,0.130953758632403,0.00271382771346449,0.0107615196631597
"P55263",NA,8,7,7,5,9,20.4431438851642,20.2709509372616,2.25349711109223e-20,0.999999999776008,1
NA,NA,NA,NA,NA,NA,NA,20.3667968014141,20.3558866889937,1.52115083478674e-19,0.999999999378765,1
"P62877",1,3,2,2,2,3,21.0809950019095,21.0675469637535,1.532255076885e-19,0.999999999243528,1
"Q9NWH9",7,9,10,7,8,10,20.7582446482822,20.6997833027232,1.27190404046784e-20,0.999999999803898,1
NA,NA,NA,NA,NA,NA,NA,19.5585398668647,19.7904474822831,8.80332245708629e-20,0.999999999647487,1
"Q9NS69",7,7,8,8,7,8,21.0678801544042,21.0598749075825,0.0641280239928651,0.264929427996252,0.512196894126088
"O75427",2,NA,NA,NA,NA,NA,18.2904446999547,18.4039505734921,7.12958533823242e-20,0.999999999828357,1
"O43583",8,9,8,7,9,8,21.6552775826318,21.4722605147323,1.6394505791729e-20,0.999999999809432,1
"Q96BP3",12,9,12,10,10,9,20.0964231506268,19.993005346073,3.69104143119972e-20,0.999999999655189,1
"Q9UL63",7,3,6,9,6,NA,19.5375455586494,19.8690421342952,0.612942690249056,0.000494521161655655,0.00241450757744546
"P30566",12,11,9,10,12,10,21.1543586129703,21.0649817194952,0.0779711579872455,0.134034117282519,0.296492904868874
"P26641",20,20,21,22,18,19,22.5096087219788,22.404801611494,0.0673875584566576,0.165522224266905,0.352268669226099
"O95249",2,NA,NA,3,NA,2,20.2593276411926,20.5267246690946,0.422513899963453,0.0288407677924705,0.0828642201462489
"P52272",46,48,54,46,49,54,21.9772081127532,21.8564703186727,0.0270015055734073,0.31209539184772,0.587251150863553
"O94888",NA,5,7,8,8,8,20.4457412263161,20.5152166866974,0.272582374685101,0.000468485342725924,0.00231739984902289
"Q9H7E9",NA,2,NA,2,2,2,20.3164249344488,20.2490004719442,0.0150625170375216,0.730094782127953,1
"P35269",7,8,8,7,8,9,20.8649341778198,20.6871954007279,2.7311150042993e-20,0.999999999661734,1
