"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","abundance_A_1","abundance_B_1","abundance_A_2","abundance_B_2","abundance_A_3","abundance_B_3","log_ratios_B..vs.A.","differential_abundance_qvalue_B..vs.A."
"P00925",79,82,80,58,62,61,32.3532249150788,31.3644343319663,32.5492844469696,31.3172988829238,32.70770193753,31.7223082921232,-1.06872326418837,0.0525800274553096
"P49327",65,61,72,69,67,74,29.1154348826078,29.2401210843291,29.4016646846075,29.2272141681321,29.560657377032,29.6054891260977,-0.0016441885627998,1
"P63261",58,64,68,65,66,74,32.4250880736262,32.3520756292203,32.7119944783211,32.4405379409916,32.733914217818,32.7312354280385,-0.115715923838299,1
"Cont_P60712,P60709",57,63,66,66,65,73,32.4477375619664,32.3857711837126,32.7365713216637,32.4615954755336,32.7554982552424,32.7525461296357,-0.113298116663536,1
"P06169",69,72,79,51,60,58,32.0791875468431,30.9382970931081,32.4798159049458,31.197647903724,32.4729752397719,31.4764211357995,-1.1398708529764,0.0521659955115152
"P08238",70,69,77,69,72,76,32.1147573036647,32.1853217526172,32.5186416310312,32.2876556004926,32.564137043568,32.584208102263,-0.0467835076303705,1
"P21333",63,59,63,63,68,72,28.810750773618,28.9150845673311,29.2807055059389,29.1267616524034,29.4534119423637,29.4858065885834,-0.00573847120090084,1
"Cont_Q2KJD0,P07437",64,63,66,62,68,73,31.5956806759038,31.8710785796296,31.8672637495208,31.7101026617548,32.0049019394045,32.0421897239909,0.0518415335154015,1
"P00359",65,70,65,51,47,54,33.1175619393941,32.007026753453,33.4186060647084,32.1492574623684,33.3690733131862,32.460623997421,-1.0961110346821,0.0513697858444269
"P78527",56,54,63,56,61,67,28.3085485972078,28.2410933077763,28.6676117340593,28.3209162069483,28.7954941384849,28.6968971865163,-0.170915922837034,1
"Q14204",53,56,54,54,55,64,27.6148247379903,27.7297294341146,27.924314797643,27.7690158626145,28.0775423578787,28.136990017256,0.00635114015769981,1
"Q9Y490",52,54,55,55,58,61,28.0857214071628,28.337049089786,28.5882779533476,28.1881481255402,28.6826835720519,28.6532767613028,-0.0594029853111013,1
"P68371",60,61,65,60,65,70,31.3836978333267,31.6596664916823,31.666074761981,31.4677897327163,31.7619333288764,31.7761531767835,0.0306344923326674,1
"Q9BQE3",51,51,54,53,57,57,31.0769902291304,31.2350535894962,31.2526537398381,31.1875832937521,31.4290417040017,31.5108489011284,0.0582667038021671,1
"P00924",58,61,60,46,48,46,32.2381517773671,31.2214742824054,32.4552278726491,31.2435738087289,32.6173061433359,31.6140057929889,-1.07721063640963,0.0525800274553096
"Cont_P81948,P68366",48,50,52,50,57,54,30.4837908117008,30.6708519018845,30.7885752671421,30.5761545781609,30.8680944801795,30.9082126509119,0.00491952397829939,0.999228499599805
"P07900",60,61,60,59,60,63,31.5876994718652,31.743066007919,32.0154574203137,31.7866217054304,32.0641913077198,32.0910362985909,-0.0155413959861346,1
"Q9BVA1",55,57,58,54,58,63,31.1275463428282,31.4547006636769,31.4526870409266,31.2300444838636,31.5236315849178,31.5527981845274,0.0445594544650992,1
"P06733",46,51,51,49,44,50,31.5610070272376,31.5515480991864,31.7385012351949,31.6570897607686,31.9361346791374,31.9848882124321,-0.0140389563942662,1
"P04406",34,43,44,41,47,51,31.4575973055729,31.2469784364141,31.570905399428,31.1020753404506,31.6162297909819,31.4633931576961,-0.277428520474,1
"Cont_P68103,P68104",47,51,54,46,55,54,32.5143064030755,32.2420405916083,32.8601943380902,32.4777525854574,32.9314373682783,32.792942570988,-0.264400787130102,1
"P11142",54,59,57,58,53,56,31.6081297004408,31.675203200486,31.9934961123681,31.685728983732,32.0501387698609,32.0213931201089,-0.089813092780967,1
"P10591",57,55,56,47,47,47,31.4988510321377,30.8738461248009,31.8440768400706,30.8549126954141,31.8921853640137,31.1364856841529,-0.789956243951367,0.129518317551976
"P14540",46,50,46,34,34,40,31.0594723702728,29.8821412158254,31.279661018822,30.0288875951969,31.3650050557364,30.3518272804417,-1.14709411778907,0.0231854592537912
"Q00610",43,40,45,46,49,53,28.9022476727681,29.0355770625739,29.2632909811323,28.9847306599454,29.3371524251503,29.309252902749,-0.0577101512608008,1
"P00549",52,56,56,42,38,45,32.0357334375481,31.0195564560169,32.3855918920749,31.0456706871488,32.418745534434,31.4294822153545,-1.1151205018456,0.0513697858444269
"Q13885",51,53,59,52,59,59,31.105945424128,31.4352663588399,31.4354117308375,31.2138350329305,31.505613386016,31.5341632225353,0.0454313577747338,1
"P13639",46,50,50,43,49,60,30.5984599957752,30.4588456329297,30.9587447424542,30.720170033274,31.0077286278237,31.0141543351335,-0.123921121571965,0.999228499599805
"P10592",51,48,48,42,44,45,31.3248304420493,30.7500429704243,31.6839728206839,30.758591250371,31.7608685423393,31.0218886797697,-0.746382968169166,0.171727340219681
"P04075",45,43,46,42,44,49,31.0032588275174,31.0500326227447,31.4743560467433,31.1231866464952,31.4457669714776,31.4458325033993,-0.101443357699701,1
"Q15149",32,29,33,31,29,37,29.1442718998414,26.9697828686334,29.5180314138168,28.4762392881762,29.6375057875384,28.9477763035222,-1.30200354695493,0.191440213885456
"O75369",29,36,34,39,38,33,27.1034061176184,27.1095341848724,27.6281947587283,27.292353792925,27.6165077881975,27.5437861113865,-0.134144858453433,1
"Q14315",41,42,44,45,48,43,28.1396890490427,28.234585326927,28.584410445457,28.3142618263092,28.626905895904,28.6696589909433,-0.0441664154080665,1
"Q13263",31,34,37,36,40,34,28.4411155741973,28.4289336310916,28.740467379188,28.4405892645551,28.7304425646298,28.7712904753923,-0.0904040489920348,1
