"protein_group","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_A_vs_B","differential_abundance_qvalue_A_vs_B","log_ratios_A_vs_B"
"A0A0B4J2D5",-20.2608326116,-20.0240763449,-20.024598807,-21.3903494836,-19.8942502265,-20.3959098428,7,6,8,6,6,7,0.280707434450714,0.714036617262424,0.457000596466667
"A0A3B3IRV3",-20.8392081065,NA,NA,-20.1830420865,-20.1184470826,-21.190110683,4,4,5,5,3,4,NA,NA,NA
"A0AVT1",-20.9068554823,-20.8119901068,-20.1116191875,-20.6160836168,-20.5783609154,-20.0256844157,20,22,31,30,28,33,0.57559309658148,0.867326732673267,-0.203445276233332
"A0FGR8",NA,NA,-24.3310497877,-24.3675980551,-23.1676265923,-23.2349098881,NA,1,2,5,3,2,NA,NA,NA
"A0MZ66",NA,NA,-22.0302597792,-22.3741944064,NA,-22.7134099986,4,7,10,6,6,7,NA,NA,NA
"A2RRP1",-25.6690627262,-25.7479914606,NA,-24.2267520841,-25.4119904797,-25.4450359235,5,4,4,4,5,6,0.14307849319615,0.545454545454545,-0.680600930966669
"A3KN83",-24.6458892069,-24.6003175922,-23.7151075629,-24.8619401385,-22.9104243822,-23.5531213835,5,6,7,6,8,9,0.247964819117159,0.699608610567515,-0.5452761526
"A4D1E9",-22.2337915971,NA,-22.6676772768,-22.573064784,-22.7444502521,NA,4,2,4,6,3,4,0.554162462661799,0.860634425377015,0.208023081099999
"A5D8V6",NA,NA,NA,-23.3571330157,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA
"A5YKK6",-23.1392962169,-23.1365723756,-22.3511812706,-22.9875227224,-22.9635701224,-22.1384446068,18,22,34,25,28,35,0.627458513109857,0.895522388059702,-0.179170803833333
"A6NCE7",-20.3897463369,-20.7586755779,-20.7685788337,-20.3523184615,-20.3957055435,NA,2,2,3,2,3,1,0.44336342515765,0.808277541083384,-0.264988246999998
"A6NDG6",-20.171596017,-20.687100288,-20.8101270571,-19.6964524232,-20.1987862426,-20.7742515839,10,10,6,9,11,9,0.394283936276137,0.796742671009772,-0.333111037466665
"A6NHG4",NA,-20.6846356572,NA,NA,NA,NA,3,4,5,2,3,3,NA,NA,NA
