"protein_group","number_of_peptides_A_1","number_of_peptides_A_2","number_of_peptides_A_3","number_of_peptides_B_1","number_of_peptides_B_2","number_of_peptides_B_3","differential_abundance_pvalue_B.A","differential_abundance_qvalue_B.A","abundance_A_1","abundance_A_2","abundance_A_3","abundance_B_1","abundance_B_2","abundance_B_3"
"Biognosys|iRT-Kit_WR_fusion",11,11,11,11,11,11,0.536843850247077,0.668965213009332,33.6922408658677,33.6281889109343,33.4425417611287,33.7208404847816,33.6540383776979,33.6233457706149
"Cont_A2I7N1,CON__A2I7N1,Cont_A2I7N2,Cont_A6QPQ2",5,6,4,5,4,5,0.109809283190278,0.249104898017925,25.0615366803406,25.1589994581316,23.949835995899,25.4977135639769,25.3203466498442,25.2944601250151
"Cont_A2I7N3,CON__REFSEQ:XP_001252647,CON__A2I7N3",0,0,1,0,1,1,0.430412684214504,0.579760199125832,NA,NA,23.2900411087726,NA,23.4439602365791,23.5430307438338
"CON__ENSEMBL:ENSBTAP00000007350,CON__P01030,Cont_P01030",8,9,10,10,10,10,0.159402786253058,0.312503442581199,26.436335995233,26.6697622425698,26.9797628014854,27.1362406405035,26.8590652319417,26.9529083415359
"CON__ENSEMBL:ENSBTAP00000014147",3,3,2,2,2,2,0.806061281021079,0.871386626544588,26.6930721723989,26.6845497651506,26.6275445357847,26.2975006275272,26.7879775887886,26.7889676747907
"CON__ENSEMBL:ENSBTAP00000024146,Cont_Q7SIH1,P01023,P20742",20,22,21,19,20,23,0.588475885150173,0.71177689058118,28.4965800708645,28.6028885643084,28.2111474874915,28.6135801587112,28.3402674732502,28.6310591492733
"CON__ENSEMBL:ENSBTAP00000024466,CON__ENSEMBL:ENSBTAP00000024462",9,10,9,10,9,9,0.257216364693007,0.417040537899568,26.6743442127048,26.6543521797755,26.4813020522319,26.6219128225829,26.8376747913736,26.8245915845215
"Cont_E1BJK2,CON__ENSEMBL:ENSBTAP00000025008",0,1,1,1,0,1,0.0141427302639001,0.0587071296304935,NA,22.3158981877973,22.3769705485732,23.3678577726165,NA,24.1595513831859
"CON__ENSEMBL:ENSBTAP00000034412",4,5,3,6,2,3,0.696627425782328,0.792996135220094,27.1684684356632,27.7367523940897,26.4979630133887,27.4910669993859,26.6689249171448,26.7740394332634
"CON__P00735,Cont_P00735,P00734",7,7,8,8,9,8,0.18520302972244,0.343091830956436,28.6604506264443,28.3187372713559,28.6148216300427,28.8969647459157,28.5760668193528,28.8255974175838
"Cont_P00761,CON__P00761",6,5,6,5,6,6,0.672296240238929,0.774890209188983,33.4917406982067,33.4352636889655,33.3663943846423,33.5685987518453,33.493752466126,32.9839819637
"Cont_P01044,CON__Q2KJ62,CON__P01044-1,Cont_P01045,CON__P01045-1",1,1,1,1,1,2,0.289284729555105,0.450108095576531,23.6541718796574,23.6276278212037,23.4218281779399,23.3940669624027,23.9913951380068,24.0566307589696
"Cont_P01966,CON__P01966",7,7,7,7,7,7,0.256347732866973,0.416622143690463,31.892262342345,32.205630938132,31.8210692994734,32.3300017464413,32.0567274119818,32.1208213298813
"Cont_P02070,CON__P02070",0,3,2,2,2,3,0.429748087738349,0.579760199125832,NA,24.7662786934461,23.9461048216244,24.8037967683719,24.3073788860948,24.7818782500044
"Cont_P50446,CON__P50446,P48668,P04259,P02538,Cont_P48668,Cont_P04259,Cont_P02538,CON__P48668,CON__P04259,CON__P02538",1,1,0,1,0,0,0.0861608718446715,0.212238605483473,22.1891392050044,22.5725073844783,NA,21.6097718174183,NA,NA
"Cont_P02769,CON__P02769,P02768,CON__P02768-1",25,26,27,26,26,28,0.162399285798955,0.316463264233145,30.8198358847154,30.8979614847776,30.988314556494,30.9479566531652,31.1537397174956,31.2091893737626
